"","characteristic","total","percent_total_percent","percent_total_nm_percent","population_percent","crude_rate","adj_case_rate","rate_unstable","POP"
"1","Male",35014,"50.5%","50.7%","49%",736,718,"",4760352
"2","Female",33988,"49%","49.2%","51%",695,661,"",4890980
"3","Other",10,"0%","0%",NA,NA,NA,NA,NA
"4","Unknown/Missing",370,"0.5%","-",NA,NA,NA,NA,NA
