,Date,Age,Cases,Case Rate
150,2020-05-06,41 to 65,11350,360.37
151,2020-05-06,over 65,5856,499.42
152,2020-05-07,0 to 17,876,41.77
153,2020-05-07,18 to 40,9491,293.63
154,2020-05-07,41 to 65,11648,369.83
155,2020-05-07,over 65,6028,514.09
156,2020-05-08,0 to 17,897,42.78
157,2020-05-08,18 to 40,9774,302.39
158,2020-05-08,41 to 65,11946,379.3
159,2020-05-08,over 65,6189,527.82
160,2020-05-09,0 to 17,942,44.92
161,2020-05-09,18 to 40,10112,312.85
162,2020-05-09,41 to 65,12281,389.93
163,2020-05-09,over 65,6332,540.02
164,2020-05-10,0 to 17,952,45.4
165,2020-05-10,18 to 40,10236,316.68
166,2020-05-10,41 to 65,12464,395.74
167,2020-05-10,over 65,6456,550.59
168,2020-05-11,0 to 17,979,46.69
169,2020-05-11,18 to 40,10426,322.56
170,2020-05-11,41 to 65,12673,402.38
171,2020-05-11,over 65,6583,561.42
172,2020-05-12,0 to 17,1037,49.45
173,2020-05-12,18 to 40,10828,335.0
174,2020-05-12,41 to 65,13005,412.92
175,2020-05-12,over 65,6694,570.89
176,2020-05-13,0 to 17,1099,52.41
177,2020-05-13,18 to 40,11236,347.62
178,2020-05-13,41 to 65,13466,427.56
179,2020-05-13,over 65,6937,591.61
180,2020-05-14,0 to 17,1150,54.84
181,2020-05-14,18 to 40,11580,358.26
182,2020-05-14,41 to 65,13736,436.13
183,2020-05-14,over 65,7043,600.65
184,2020-05-15,0 to 17,1193,56.89
185,2020-05-15,18 to 40,11879,367.51
186,2020-05-15,41 to 65,14044,445.91
187,2020-05-15,over 65,7210,614.9
188,2020-05-16,0 to 17,1252,59.7
189,2020-05-16,18 to 40,12253,379.08
190,2020-05-16,41 to 65,14415,457.69
191,2020-05-16,over 65,7378,629.22
192,2020-05-17,0 to 17,1295,61.76
193,2020-05-17,18 to 40,12531,387.68
194,2020-05-17,41 to 65,14619,464.17
195,2020-05-17,over 65,7452,635.54
196,2020-05-18,0 to 17,1325,63.19
197,2020-05-18,18 to 40,12723,393.62
198,2020-05-18,41 to 65,14775,469.12
199,2020-05-18,over 65,7510,640.48
200,2020-05-19,0 to 17,1423,67.86
201,2020-05-19,18 to 40,13159,407.11
202,2020-05-19,41 to 65,15193,482.39
203,2020-05-19,over 65,7510,640.48
204,2020-05-20,0 to 17,1524,72.68
205,2020-05-20,18 to 40,13660,422.61
206,2020-05-20,41 to 65,15663,497.31
207,2020-05-20,over 65,7798,665.04
208,2020-05-21,0 to 17,1601,76.35
209,2020-05-21,18 to 40,14063,435.08
210,2020-05-21,41 to 65,16040,509.28
211,2020-05-21,over 65,7991,681.5
212,2020-05-22,0 to 17,1668,79.54
213,2020-05-22,18 to 40,14411,445.85
214,2020-05-22,41 to 65,16394,520.52
215,2020-05-22,over 65,8123,692.76
216,2020-05-23,0 to 17,1740,82.98
217,2020-05-23,18 to 40,14814,458.32
218,2020-05-23,41 to 65,16761,532.18
219,2020-05-23,over 65,8247,703.34
220,2020-05-24,0 to 17,1795,85.6
221,2020-05-24,18 to 40,15155,468.87
222,2020-05-24,41 to 65,17106,543.13
223,2020-05-24,over 65,8376,714.34
224,2020-05-25,0 to 17,1888,90.03
225,2020-05-25,18 to 40,15593,482.42
226,2020-05-25,41 to 65,17436,553.61
227,2020-05-25,over 65,8495,724.49
228,2020-05-26,0 to 17,2070,98.71
229,2020-05-26,18 to 40,16380,506.77
230,2020-05-26,41 to 65,18098,574.63
231,2020-05-26,over 65,8650,737.71
232,2020-05-27,0 to 17,2153,102.67
233,2020-05-27,18 to 40,16727,517.5
234,2020-05-27,41 to 65,18380,583.58
235,2020-05-27,over 65,8752,746.4
236,2020-05-28,0 to 17,2225,106.1
237,2020-05-28,18 to 40,17139,530.25
238,2020-05-28,41 to 65,18772,596.03
239,2020-05-28,over 65,8865,756.04
240,2020-05-29,0 to 17,2382,113.59
241,2020-05-29,18 to 40,17908,554.04
242,2020-05-29,41 to 65,19375,615.17
243,2020-05-29,over 65,9023,769.52
244,2020-05-30,0 to 17,2590,123.51
245,2020-05-30,18 to 40,18811,581.98
246,2020-05-30,41 to 65,20052,636.67
247,2020-05-30,over 65,9185,783.33
248,2020-05-31,0 to 17,2702,128.85
249,2020-05-31,18 to 40,19389,599.86
250,2020-05-31,41 to 65,20460,649.62
251,2020-05-31,over 65,9325,795.27
252,2020-06-01,0 to 17,2770,132.09
253,2020-06-01,18 to 40,19827,613.41
254,2020-06-01,41 to 65,20815,660.9
255,2020-06-01,over 65,9422,803.55
256,2020-06-02,0 to 17,2865,136.62
257,2020-06-02,18 to 40,20322,628.72
258,2020-06-02,41 to 65,21203,673.21
259,2020-06-02,over 65,9534,813.1
260,2020-06-03,0 to 17,2946,140.49
261,2020-06-03,18 to 40,20790,643.2
262,2020-06-03,41 to 65,21562,684.61
263,2020-06-03,over 65,9631,821.37
264,2020-06-04,0 to 17,3061,145.97
265,2020-06-04,18 to 40,21348,660.47
266,2020-06-04,41 to 65,22063,700.52
267,2020-06-04,over 65,9842,839.36
268,2020-06-05,0 to 17,3139,149.69
269,2020-06-05,18 to 40,21925,678.32
270,2020-06-05,41 to 65,22572,716.68
271,2020-06-05,over 65,9997,852.58
272,2020-06-06,0 to 17,3230,154.03
273,2020-06-06,18 to 40,22503,696.2
274,2020-06-06,41 to 65,23009,730.56
275,2020-06-06,over 65,10146,865.29
276,2020-06-07,0 to 17,3392,161.76
277,2020-06-07,18 to 40,23146,716.09
278,2020-06-07,41 to 65,23522,746.84
279,2020-06-07,over 65,10274,876.21
280,2020-06-08,0 to 17,3473,165.62
281,2020-06-08,18 to 40,23512,727.42
282,2020-06-08,41 to 65,23798,755.61
283,2020-06-08,over 65,10337,881.58
284,2020-06-09,0 to 17,3577,170.58
285,2020-06-09,18 to 40,23996,742.39
286,2020-06-09,41 to 65,24219,768.98
287,2020-06-09,over 65,10446,890.88
288,2020-06-10,0 to 17,3711,176.97
289,2020-06-10,18 to 40,24457,756.65
290,2020-06-10,41 to 65,24605,781.23
291,2020-06-10,over 65,10562,900.77
292,2020-06-11,0 to 17,3937,187.74
293,2020-06-11,18 to 40,25248,781.12
294,2020-06-11,41 to 65,25223,800.85
295,2020-06-11,over 65,10675,910.41
296,2020-06-12,0 to 17,4086,194.85
297,2020-06-12,18 to 40,25944,802.66
298,2020-06-12,41 to 65,25748,817.52
299,2020-06-12,over 65,10804,921.41
300,2020-06-13,0 to 17,4254,202.86
301,2020-06-13,18 to 40,26623,823.66
302,2020-06-13,41 to 65,26221,832.54
303,2020-06-13,over 65,10960,934.71
304,2020-06-14,0 to 17,4340,206.96
305,2020-06-14,18 to 40,27048,836.81
306,2020-06-14,41 to 65,26554,843.11
307,2020-06-14,over 65,11060,943.24
308,2020-06-15,0 to 17,4428,211.16
309,2020-06-15,18 to 40,27455,849.4
310,2020-06-15,41 to 65,26792,850.67
311,2020-06-15,over 65,11090,945.8
312,2020-06-16,0 to 17,4545,216.74
313,2020-06-16,18 to 40,27987,865.86
314,2020-06-16,41 to 65,27235,864.74
315,2020-06-16,over 65,11243,958.85
316,2020-06-17,0 to 17,4829,230.28
317,2020-06-17,18 to 40,28887,893.71
318,2020-06-17,41 to 65,27897,885.76
319,2020-06-17,over 65,11400,972.24
320,2020-06-18,0 to 17,4915,234.38
321,2020-06-18,18 to 40,29311,906.83
322,2020-06-18,41 to 65,28226,896.2
323,2020-06-18,over 65,11499,980.68
324,2020-06-19,0 to 17,5042,240.44
325,2020-06-19,18 to 40,29881,924.46
326,2020-06-19,41 to 65,28672,910.36
327,2020-06-19,over 65,11611,990.23
328,2020-06-20,0 to 17,5244,250.07
329,2020-06-20,18 to 40,30795,952.74
330,2020-06-20,41 to 65,29348,931.83
331,2020-06-20,over 65,11779,1004.56
332,2020-06-21,0 to 17,5419,258.42
333,2020-06-21,18 to 40,31572,976.78
334,2020-06-21,41 to 65,29948,950.88
335,2020-06-21,over 65,11912,1015.9
336,2020-06-22,0 to 17,5720,272.77
337,2020-06-22,18 to 40,32831,1015.73
338,2020-06-22,41 to 65,30739,975.99
339,2020-06-22,over 65,12071,1029.46
