,Date,Region,Area,Cases,"Cases per 100,000"
104,2020-03-30,Central LA,Los Angeles - Central,6,15.34
105,2020-03-30,Westside,Los Angeles - Century City,9,74.31
106,2020-03-30,South LA,Los Angeles - Century Palms/Cove,8,23.62
107,2020-03-30,San Fernando Valley,Los Angeles - Chatsworth,10,27.75
108,2020-03-30,Westside,Los Angeles - Cheviot Hills,5,53.97
109,2020-03-30,Central LA,Los Angeles - Chinatown,0,0.0
110,2020-03-30,Central LA,Los Angeles - Cloverdale/Cochran,,
111,2020-03-30,Central LA,Los Angeles - Country Club Park,,
112,2020-03-30,South LA,Los Angeles - Crenshaw District,,
113,2020-03-30,Central LA,Los Angeles - Crestview,13,113.58
114,2020-03-30,Westside,Los Angeles - Del Rey,14,47.85
115,2020-03-30,Central LA,Los Angeles - Downtown,11,45.36
116,2020-03-30,Northeast LA,Los Angeles - Eagle Rock,8,20.42
117,2020-03-30,Central LA,Los Angeles - East Hollywood,10,33.57
118,2020-03-30,Central LA,Los Angeles - Echo Park,5,34.85
119,2020-03-30,Eastside,Los Angeles - El Sereno,3,7.19
120,2020-03-30,Central LA,Los Angeles - Elysian Park,,
121,2020-03-30,Central LA,Los Angeles - Elysian Valley,,
122,2020-03-30,San Fernando Valley,Los Angeles - Encino,29,68.18
123,2020-03-30,South LA,Los Angeles - Exposition,0,0.0
124,2020-03-30,Central LA,Los Angeles - Exposition Park,4,8.85
125,2020-03-30,Central LA,Los Angeles - Faircrest Heights,0,0.0
126,2020-03-30,South LA,Los Angeles - Figueroa Park Square,0,0.0
127,2020-03-30,South LA,Los Angeles - Florence-Firestone,7,14.33
128,2020-03-30,Northeast LA,Los Angeles - Glassell Park,8,25.49
129,2020-03-30,South LA,Los Angeles - Gramercy Place,,
130,2020-03-30,San Fernando Valley,Los Angeles - Granada Hills,9,15.52
131,2020-03-30,South LA,Los Angeles - Green Meadows,,
132,2020-03-30,Central LA,Los Angeles - Hancock Park,26,158.3
133,2020-03-30,Harbor,Los Angeles - Harbor City,4,13.81
134,2020-03-30,Harbor,Los Angeles - Harbor Gateway,6,13.73
135,2020-03-30,Harbor,Los Angeles - Harbor Pines,0,0.0
136,2020-03-30,Central LA,Los Angeles - Harvard Heights,,
