,Date,Region,Area,Cases,"Cases per 100,000"
7989,2020-04-22,Central LA,Los Angeles - Brookside,0,0.0
7990,2020-04-22,Central LA,Los Angeles - Cadillac-Corning,12,168.52
7991,2020-04-22,San Fernando Valley,Los Angeles - Canoga Park,167,255.79
7992,2020-04-22,Central LA,Los Angeles - Carthay,56,389.89
7993,2020-04-22,Central LA,Los Angeles - Central,81,207.73
7994,2020-04-22,Westside,Los Angeles - Century City,30,234.52
7995,2020-04-22,South LA,Los Angeles - Century Palms/Cove,57,168.81
7996,2020-04-22,San Fernando Valley,Los Angeles - Chatsworth,58,156.5
7997,2020-04-22,Westside,Los Angeles - Cheviot Hills,15,163.56
7998,2020-04-22,Central LA,Los Angeles - Chinatown,,
7999,2020-04-22,Central LA,Los Angeles - Cloverdale/Cochran,23,158.04
8000,2020-04-22,Central LA,Los Angeles - Country Club Park,50,329.97
8001,2020-04-22,South LA,Los Angeles - Crenshaw District,43,310.94
8002,2020-04-22,Central LA,Los Angeles - Crestview,57,501.41
8003,2020-04-22,Westside,Los Angeles - Del Rey,43,143.64
8004,2020-04-22,Central LA,Los Angeles - Downtown,41,149.05
8005,2020-04-22,Northeast LA,Los Angeles - Eagle Rock,68,171.76
8006,2020-04-22,Central LA,Los Angeles - East Hollywood,91,310.72
8007,2020-04-22,Central LA,Los Angeles - Echo Park,14,98.2
8008,2020-04-22,Eastside,Los Angeles - El Sereno,70,167.43
8009,2020-04-22,Central LA,Los Angeles - Elysian Park,7,122.55
8010,2020-04-22,Central LA,Los Angeles - Elysian Valley,16,157.31
8011,2020-04-22,San Fernando Valley,Los Angeles - Encino,73,161.6
8012,2020-04-22,South LA,Los Angeles - Exposition,,
8013,2020-04-22,Central LA,Los Angeles - Exposition Park,86,191.46
8014,2020-04-22,Central LA,Los Angeles - Faircrest Heights,,
8015,2020-04-22,South LA,Los Angeles - Figueroa Park Square,16,183.47
8016,2020-04-22,South LA,Los Angeles - Florence-Firestone,86,181.26
8017,2020-04-22,Northeast LA,Los Angeles - Glassell Park,92,291.1
8018,2020-04-22,South LA,Los Angeles - Gramercy Place,20,185.8
8019,2020-04-22,San Fernando Valley,Los Angeles - Granada Hills,88,151.23
8020,2020-04-22,South LA,Los Angeles - Green Meadows,36,167.4
8021,2020-04-22,Central LA,Los Angeles - Hancock Park,60,352.13
8022,2020-04-22,Harbor,Los Angeles - Harbor City,33,113.52
8023,2020-04-22,Harbor,Los Angeles - Harbor Gateway,49,112.39
8024,2020-04-22,Harbor,Los Angeles - Harbor Pines,0,0.0
8025,2020-04-22,Central LA,Los Angeles - Harvard Heights,37,205.16
8026,2020-04-22,South LA,Los Angeles - Harvard Park,69,181.89
8027,2020-04-22,Northeast LA,Los Angeles - Highland Park,59,121.92
8028,2020-04-22,Central LA,Los Angeles - Historic Filipinotown,38,273.97
8029,2020-04-22,Central LA,Los Angeles - Hollywood,166,243.21
8030,2020-04-22,Central LA,Los Angeles - Hollywood Hills,55,186.86
8031,2020-04-22,South LA,Los Angeles - Hyde Park,39,136.65
8032,2020-04-22,South LA,Los Angeles - Jefferson Park,6,74.32
8033,2020-04-22,Central LA,Los Angeles - Koreatown,104,201.19
8034,2020-04-22,Central LA,Los Angeles - Lafayette Square,9,197.41
8035,2020-04-22,San Fernando Valley,Los Angeles - Lake Balboa,54,127.94
8036,2020-04-22,San Fernando Valley,Los Angeles - Lakeview Terrace,40,304.58
8037,2020-04-22,South LA,Los Angeles - Leimert Park,26,170.66
8038,2020-04-22,Eastside,Los Angeles - Lincoln Heights,44,134.98
8039,2020-04-22,Central LA,Los Angeles - Little Armenia,74,922.12
8040,2020-04-22,Central LA,Los Angeles - Little Bangladesh,58,204.64
8041,2020-04-22,Central LA,Los Angeles - Little Tokyo,,
8042,2020-04-22,Central LA,Los Angeles - Longwood,9,209.11
8043,2020-04-22,Central LA,Los Angeles - Los Feliz,30,138.84
8044,2020-04-22,South LA,Los Angeles - Manchester Square,9,105.44
8045,2020-04-22,Westside,Los Angeles - Mandeville Canyon,,
8046,2020-04-22,Westside,Los Angeles - Mar Vista,46,108.31
8047,2020-04-22,Westside,Los Angeles - Marina Peninsula,9,206.42
8048,2020-04-22,Central LA,Los Angeles - Melrose,281,361.67
8049,2020-04-22,Central LA,Los Angeles - Mid-city,34,226.21
8050,2020-04-22,Central LA,Los Angeles - Miracle Mile,32,177.93
8051,2020-04-22,San Fernando Valley,Los Angeles - Mission Hills,49,203.12
8052,2020-04-22,Northeast LA,Los Angeles - Mt. Washington,31,128.39
8053,2020-04-22,San Fernando Valley,Los Angeles - North Hills,101,164.03
8054,2020-04-22,San Fernando Valley,Los Angeles - North Hollywood,226,149.25
8055,2020-04-22,San Fernando Valley,Los Angeles - Northridge,109,156.17
8056,2020-04-22,San Fernando Valley,Los Angeles - Pacoima,151,196.16
8057,2020-04-22,Westside,Los Angeles - Palisades Highlands,,
8058,2020-04-22,Westside,Los Angeles - Palms,85,193.72
8059,2020-04-22,San Fernando Valley,Los Angeles - Panorama City,166,220.6
8060,2020-04-22,Central LA,Los Angeles - Pico-Union,133,317.86
8061,2020-04-22,South Bay,Los Angeles - Playa Del Rey,,
8062,2020-04-22,Westside,Los Angeles - Playa Vista,16,146.16
8063,2020-04-22,San Fernando Valley,Los Angeles - Porter Ranch,46,129.26
8064,2020-04-22,Westside,Los Angeles - Rancho Park,10,152.44
8065,2020-04-22,Central LA,Los Angeles - Regent Square,,
8066,2020-04-22,San Fernando Valley,Los Angeles - Reseda,143,186.64
8067,2020-04-22,San Fernando Valley,Los Angeles - Reseda Ranch,13,280.41
8068,2020-04-22,Central LA,Los Angeles - Reynier Village,6,141.91
8069,2020-04-22,Harbor,Los Angeles - San Pedro,104,133.27
8070,2020-04-22,San Fernando Valley,Los Angeles - Shadow Hills,11,247.64
8071,2020-04-22,San Fernando Valley,Los Angeles - Sherman Oaks,102,116.9
8072,2020-04-22,Central LA,Los Angeles - Silverlake,97,220.04
8073,2020-04-22,Central LA,Los Angeles - South Carthay,22,207.65
8074,2020-04-22,South LA,Los Angeles - South Park,80,210.74
8075,2020-04-22,Central LA,Los Angeles - St Elmo Village,6,130.89
8076,2020-04-22,San Fernando Valley,Los Angeles - Studio City,27,120.32
8077,2020-04-22,San Fernando Valley,Los Angeles - Sun Valley,77,146.71
8078,2020-04-22,Verdugos,Los Angeles - Sunland,52,254.8
8079,2020-04-22,Central LA,Los Angeles - Sycamore Square,0,0.0
8080,2020-04-22,San Fernando Valley,Los Angeles - Tarzana,65,210.52
8081,2020-04-22,Central LA,Los Angeles - Temple-Beaudry,112,283.67
8082,2020-04-22,Central LA,Los Angeles - Thai Town,12,122.34
8083,2020-04-22,San Fernando Valley,Los Angeles - Toluca Lake,9,103.4
8084,2020-04-22,San Fernando Valley,Los Angeles - Toluca Terrace,,
8085,2020-04-22,San Fernando Valley,Los Angeles - Toluca Woods,,
8086,2020-04-22,Verdugos,Los Angeles - Tujunga,42,151.02
8087,2020-04-22,San Gabriel Valley,Los Angeles - University Hills,,
8088,2020-04-22,South LA,Los Angeles - University Park,45,163.9
8089,2020-04-22,San Fernando Valley,Los Angeles - Valley Glen,61,203.22
8090,2020-04-22,San Fernando Valley,Los Angeles - Valley Village,66,266.99
8091,2020-04-22,San Fernando Valley,Los Angeles - Van Nuys,191,204.95
8092,2020-04-22,South LA,Los Angeles - Vermont Knolls,36,209.3
8093,2020-04-22,South LA,Los Angeles - Vermont Square,29,378.74
8094,2020-04-22,South LA,Los Angeles - Vermont Vista,70,169.96
8095,2020-04-22,South LA,Los Angeles - Vernon Central,112,215.39
8096,2020-04-22,Central LA,Los Angeles - Victoria Park,28,333.37
8097,2020-04-22,South LA,Los Angeles - View Heights,7,189.5
8098,2020-04-22,South LA,Los Angeles - Watts,62,145.29
8099,2020-04-22,Central LA,Los Angeles - Wellington Square,6,122.08
8100,2020-04-22,South LA,Los Angeles - West Adams,78,282.3
8101,2020-04-22,San Fernando Valley,Los Angeles - West Hills,38,93.72
8102,2020-04-22,Westside,Los Angeles - West Los Angeles,49,130.19
8103,2020-04-22,South LA,Los Angeles - West Vernon,133,247.93
8104,2020-04-22,South Bay,Los Angeles - Westchester,54,104.65
8105,2020-04-22,Central LA,Los Angeles - Westlake,164,276.3
8106,2020-04-22,Westside,Los Angeles - Westwood,42,77.62
8107,2020-04-22,Central LA,Los Angeles - Wholesale District,58,160.54
8108,2020-04-22,Harbor,Los Angeles - Wilmington,61,107.99
8109,2020-04-22,Central LA,Los Angeles - Wilshire Center,79,157.46
8110,2020-04-22,San Fernando Valley,Los Angeles - Winnetka,95,183.45
8111,2020-04-22,San Fernando Valley,Los Angeles - Woodland Hills,96,141.06
8112,2020-04-22,Antelope Valley,Unincorporated - Acton,8,100.36
8113,2020-04-22,Northwest County,Unincorporated - Agua Dulce,,
8114,2020-04-22,Verdugos,Unincorporated - Altadena,54,123.8
8115,2020-04-22,Antelope Valley,Unincorporated - Anaverde,,
8116,2020-04-22,Angeles Forest,Unincorporated - Angeles National Forest,,
8117,2020-04-22,San Gabriel Valley,Unincorporated - Arcadia,,
8118,2020-04-22,South LA,Unincorporated - Athens-Westmont,64,150.79
8119,2020-04-22,South LA,Unincorporated - Athens Village,12,245.05
8120,2020-04-22,San Gabriel Valley,Unincorporated - Avocado Heights,7,103.32
8121,2020-04-22,San Gabriel Valley,Unincorporated - Azusa,10,62.8
8122,2020-04-22,Eastside,Unincorporated - Bandini Islands,0,0.0
8123,2020-04-22,San Gabriel Valley,Unincorporated - Bassett,22,148.48
8124,2020-04-22,Northwest County,Unincorporated - Bouquet Canyon,0,0.0
8125,2020-04-22,San Gabriel Valley,Unincorporated - Bradbury,0,0.0
8126,2020-04-22,Northwest County,Unincorporated - Canyon Country,21,271.74
8127,2020-04-22,Northwest County,Unincorporated - Castaic,16,58.84
8128,2020-04-22,Southeast,Unincorporated - Cerritos,0,0.0
8129,2020-04-22,San Gabriel Valley,Unincorporated - Charter Oak,0,0.0
8130,2020-04-22,Pomona Valley,Unincorporated - Claremont,0,0.0
8131,2020-04-22,San Gabriel Valley,Unincorporated - Covina,18,107.02
8132,2020-04-22,South Bay,Unincorporated - Del Aire,6,136.58
8133,2020-04-22,Westside,Unincorporated - Del Rey,0,0.0
8134,2020-04-22,Antelope Valley,Unincorporated - Del Sur,,
8135,2020-04-22,Antelope Valley,Unincorporated - Desert View Highlands,,
8136,2020-04-22,San Gabriel Valley,Unincorporated - Duarte,5,112.92
8137,2020-04-22,San Gabriel Valley,Unincorporated - East Covina,0,0.0
8138,2020-04-22,Southeast,Unincorporated - East La Mirada,6,113.38
8139,2020-04-22,Antelope Valley,Unincorporated - East Lancaster,0,0.0
8140,2020-04-22,Eastside,Unincorporated - East Los Angeles,227,181.21
8141,2020-04-22,San Gabriel Valley,Unincorporated - East Pasadena,0,0.0
8142,2020-04-22,Harbor,Unincorporated - East Rancho Dominguez,15,97.99
8143,2020-04-22,Southeast,Unincorporated - East Whittier,,
8144,2020-04-22,South Bay,Unincorporated - El Camino Village,,
8145,2020-04-22,San Gabriel Valley,Unincorporated - El Monte,0,0.0
8146,2020-04-22,Northwest County,Unincorporated - Elizabeth Lake,0,0.0
8147,2020-04-22,South LA,Unincorporated - Florence-Firestone,126,194.73
8148,2020-04-22,Central LA,Unincorporated - Franklin Canyon,0,0.0
8149,2020-04-22,San Gabriel Valley,Unincorporated - Glendora,0,0.0
8150,2020-04-22,San Gabriel Valley,Unincorporated - Hacienda Heights,43,76.89
8151,2020-04-22,Harbor,Unincorporated - Harbor Gateway,0,0.0
8152,2020-04-22,South Bay,Unincorporated - Hawthorne,,
8153,2020-04-22,Antelope Valley,Unincorporated - Hi Vista,0,0.0
8154,2020-04-22,Angeles Forest,Unincorporated - Kagel/Lopez Canyons,,
8155,2020-04-22,Verdugos,Unincorporated - La Crescenta-Montrose,13,65.65
8156,2020-04-22,San Gabriel Valley,Unincorporated - La Habra Heights,0,0.0
8157,2020-04-22,Harbor,Unincorporated - La Rambla,6,289.16
8158,2020-04-22,Pomona Valley,Unincorporated - La Verne,,
8159,2020-04-22,Westside,Unincorporated - Ladera Heights,16,226.28
8160,2020-04-22,Northwest County,Unincorporated - Lake Hughes,0,0.0
8161,2020-04-22,Antelope Valley,Unincorporated - Lake Los Angeles,13,100.05
8162,2020-04-22,San Fernando Valley,Unincorporated - Lake Manor,,
8163,2020-04-22,Harbor,Unincorporated - Lakewood,0,0.0
8164,2020-04-22,South Bay,Unincorporated - Lennox,31,137.52
8165,2020-04-22,Antelope Valley,Unincorporated - Leona Valley,,
8166,2020-04-22,Antelope Valley,Unincorporated - Littlerock,,
8167,2020-04-22,Antelope Valley,Unincorporated - Littlerock/Juniper Hills,,
8168,2020-04-22,Antelope Valley,Unincorporated - Littlerock/Pearblossom,,
8169,2020-04-22,Antelope Valley,Unincorporated - Llano,,
8170,2020-04-22,Southeast,Unincorporated - Lynwood,0,0.0
8171,2020-04-22,Westside,Unincorporated - Marina del Rey,9,95.63
8172,2020-04-22,Central LA,Unincorporated - Miracle Mile,0,0.0
8173,2020-04-22,San Gabriel Valley,Unincorporated - Monrovia,5,128.83
8174,2020-04-22,Northwest County,Unincorporated - Newhall,0,0.0
8175,2020-04-22,Antelope Valley,Unincorporated - North Lancaster,0,0.0
8176,2020-04-22,San Gabriel Valley,Unincorporated - North Whittier,6,71.77
8177,2020-04-22,San Gabriel Valley,Unincorporated - Northeast San Gabriel,10,41.6
8178,2020-04-22,Antelope Valley,Unincorporated - Palmdale,,
8179,2020-04-22,South Bay,Unincorporated - Palos Verdes Peninsula,0,0.0
8180,2020-04-22,Antelope Valley,Unincorporated - Pearblossom/Llano,,
8181,2020-04-22,San Gabriel Valley,Unincorporated - Pellissier Village,0,0.0
8182,2020-04-22,Angeles Forest,Unincorporated - Placerita Canyon,0,0.0
8183,2020-04-22,Pomona Valley,Unincorporated - Pomona,0,0.0
8184,2020-04-22,Antelope Valley,Unincorporated - Quartz Hill,19,147.22
8185,2020-04-22,Harbor,Unincorporated - Rancho Dominguez,10,375.8
8186,2020-04-22,Antelope Valley,Unincorporated - Roosevelt,0,0.0
8187,2020-04-22,Southeast,Unincorporated - Rosewood,,
8188,2020-04-22,South LA,Unincorporated - Rosewood/East Gardena,0,0.0
8189,2020-04-22,Southeast,Unincorporated - Rosewood/West Rancho Dominguez,,
8190,2020-04-22,San Gabriel Valley,Unincorporated - Rowland Heights,32,62.72
8191,2020-04-22,Harbor,Unincorporated - San Clemente Island,0,0.0
8192,2020-04-22,Northwest County,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0.0
8193,2020-04-22,San Gabriel Valley,Unincorporated - San Jose Hills,14,69.23
8194,2020-04-22,San Gabriel Valley,Unincorporated - San Pasqual,0,0.0
8195,2020-04-22,Angeles Forest,Unincorporated - Sand Canyon,0,0.0
8196,2020-04-22,Harbor,Unincorporated - Santa Catalina Island,,
8197,2020-04-22,Santa Monica Mountains,Unincorporated - Santa Monica Mountains,8,42.96
8198,2020-04-22,Northwest County,Unincorporated - Saugus,,
8199,2020-04-22,Northwest County,Unincorporated - Saugus/Canyon Country,0,0.0
8200,2020-04-22,Antelope Valley,Unincorporated - South Antelope Valley,0,0.0
8201,2020-04-22,Antelope Valley,Unincorporated - South Edwards,0,0.0
8202,2020-04-22,San Gabriel Valley,Unincorporated - South El Monte,,
8203,2020-04-22,San Gabriel Valley,Unincorporated - South San Gabriel,7,79.11
8204,2020-04-22,Southeast,Unincorporated - South Whittier,52,87.81
8205,2020-04-22,Antelope Valley,Unincorporated - Southeast Antelope Valley,0,0.0
8206,2020-04-22,Northwest County,Unincorporated - Stevenson Ranch,16,76.31
8207,2020-04-22,Antelope Valley,Unincorporated - Sun Village,,
8208,2020-04-22,San Gabriel Valley,Unincorporated - Sunrise Village,,
8209,2020-04-22,Northwest County,Unincorporated - Twin Lakes/Oat Mountain,,
8210,2020-04-22,San Fernando Valley,Unincorporated - Universal City,0,0.0
8211,2020-04-22,Northwest County,Unincorporated - Val Verde,,
8212,2020-04-22,Northwest County,Unincorporated - Valencia,,
8213,2020-04-22,San Gabriel Valley,Unincorporated - Valinda,23,98.41
8214,2020-04-22,South LA,Unincorporated - View Park/Windsor Hills,21,180.49
8215,2020-04-22,San Gabriel Valley,Unincorporated - Walnut,0,0.0
8216,2020-04-22,Southeast,Unincorporated - Walnut Park,36,223.01
8217,2020-04-22,Antelope Valley,Unincorporated - West Antelope Valley,,
8218,2020-04-22,Harbor,Unincorporated - West Carson,48,217.33
8219,2020-04-22,San Fernando Valley,Unincorporated - West Chatsworth,0,0.0
8220,2020-04-22,San Gabriel Valley,Unincorporated - West Puente Valley,7,71.17
8221,2020-04-22,Harbor,Unincorporated - West Rancho Dominguez,,
8222,2020-04-22,Southeast,Unincorporated - West Whittier/Los Nietos,25,92.85
8223,2020-04-22,South Bay,Unincorporated - Westfield/Academy Hills,0,0.0
8224,2020-04-22,San Fernando Valley,Unincorporated - Westhills,0,0.0
8225,2020-04-22,Antelope Valley,Unincorporated - White Fence Farms,,
8226,2020-04-22,San Gabriel Valley,Unincorporated - Whittier,,
8227,2020-04-22,San Gabriel Valley,Unincorporated - Whittier Narrows,0,0.0
8228,2020-04-22,South LA,Unincorporated - Willowbrook,37,105.98
8229,2020-04-22,South Bay,Unincorporated - Wiseburn,,
8230,2020-04-22,Harbor,City of Long Beach,477,103.11
8231,2020-04-22,Verdugos,City of Pasadena,261,185.07
8232,2020-04-23,Santa Monica Mountains,City of Agoura Hills,29,138.87
8233,2020-04-23,San Gabriel Valley,City of Alhambra,65,74.95
8234,2020-04-23,San Gabriel Valley,City of Arcadia,34,58.87
8235,2020-04-23,Southeast,City of Artesia,12,71.45
8236,2020-04-23,Harbor,City of Avalon,0,0.0
8237,2020-04-23,San Gabriel Valley,City of Azusa,40,79.94
8238,2020-04-23,San Gabriel Valley,City of Baldwin Park,62,80.76
8239,2020-04-23,Southeast,City of Bell,112,308.27
8240,2020-04-23,Southeast,City of Bell Gardens,75,174.13
8241,2020-04-23,Southeast,City of Bellflower,99,127.36
8242,2020-04-23,Westside,City of Beverly Hills,102,295.48
8243,2020-04-23,San Gabriel Valley,City of Bradbury,,
8244,2020-04-23,San Fernando Valley,City of Burbank,188,175.41
8245,2020-04-23,Santa Monica Mountains,City of Calabasas,31,127.45
8246,2020-04-23,Harbor,City of Carson,199,212.05
8247,2020-04-23,Southeast,City of Cerritos,45,89.88
8248,2020-04-23,Pomona Valley,City of Claremont,21,57.56
8249,2020-04-23,Southeast,City of Commerce,10,76.52
8250,2020-04-23,Southeast,City of Compton,156,156.15
8251,2020-04-23,San Gabriel Valley,City of Covina,77,157.04
8252,2020-04-23,Southeast,City of Cudahy,54,221.79
8253,2020-04-23,Westside,City of Culver City,49,122.91
8254,2020-04-23,San Gabriel Valley,City of Diamond Bar,31,53.9
8255,2020-04-23,Southeast,City of Downey,170,148.78
8256,2020-04-23,San Gabriel Valley,City of Duarte,45,204.4
8257,2020-04-23,San Gabriel Valley,City of El Monte,107,91.24
8258,2020-04-23,South Bay,City of El Segundo,25,148.93
8259,2020-04-23,South Bay,City of Gardena,128,208.78
8260,2020-04-23,Verdugos,City of Glendale,419,202.91
8261,2020-04-23,San Gabriel Valley,City of Glendora,38,72.02
8262,2020-04-23,Harbor,City of Hawaiian Gardens,10,68.14
8263,2020-04-23,South Bay,City of Hawthorne,144,162.19
8264,2020-04-23,South Bay,City of Hermosa Beach,22,111.85
8265,2020-04-23,Santa Monica Mountains,City of Hidden Hills,0,0.0
8266,2020-04-23,Southeast,City of Huntington Park,106,178.2
8267,2020-04-23,San Gabriel Valley,City of Industry,,
8268,2020-04-23,South Bay,City of Inglewood,245,215.7
8269,2020-04-23,San Gabriel Valley,City of Irwindale,,
8270,2020-04-23,Verdugos,City of La Canada Flintridge,37,178.8
8271,2020-04-23,San Gabriel Valley,City of La Habra Heights,,
8272,2020-04-23,Southeast,City of La Mirada,42,84.68
8273,2020-04-23,San Gabriel Valley,City of La Puente,33,81.09
8274,2020-04-23,Pomona Valley,City of La Verne,14,42.06
8275,2020-04-23,Harbor,City of Lakewood,71,88.35
8276,2020-04-23,Antelope Valley,City of Lancaster,212,131.21
8277,2020-04-23,South Bay,City of Lawndale,47,139.82
8278,2020-04-23,South Bay,City of Lomita,31,149.55
8279,2020-04-23,Southeast,City of Lynwood,141,195.71
8280,2020-04-23,Santa Monica Mountains,City of Malibu,28,216.03
8281,2020-04-23,South Bay,City of Manhattan Beach,64,177.78
8282,2020-04-23,Southeast,City of Maywood,48,171.13
8283,2020-04-23,San Gabriel Valley,City of Monrovia,28,72.16
8284,2020-04-23,Southeast,City of Montebello,98,152.23
8285,2020-04-23,San Gabriel Valley,City of Monterey Park,57,91.55
8286,2020-04-23,Southeast,City of Norwalk,146,135.66
8287,2020-04-23,Antelope Valley,City of Palmdale,325,204.44
8288,2020-04-23,South Bay,City of Palos Verdes Estates,37,273.63
8289,2020-04-23,Southeast,City of Paramount,104,185.64
8290,2020-04-23,Southeast,City of Pico Rivera,124,192.89
8291,2020-04-23,Pomona Valley,City of Pomona,122,78.24
8292,2020-04-23,South Bay,City of Rancho Palos Verdes,50,116.97
8293,2020-04-23,South Bay,City of Redondo Beach,95,138.29
8294,2020-04-23,South Bay,City of Rolling Hills,,
8295,2020-04-23,South Bay,City of Rolling Hills Estates,13,160.24
8296,2020-04-23,San Gabriel Valley,City of Rosemead,23,41.55
8297,2020-04-23,San Gabriel Valley,City of San Dimas,25,72.43
8298,2020-04-23,San Fernando Valley,City of San Fernando,61,247.85
8299,2020-04-23,San Gabriel Valley,City of San Gabriel,26,63.49
8300,2020-04-23,San Gabriel Valley,City of San Marino,10,75.32
8301,2020-04-23,Northwest County,City of Santa Clarita,283,128.39
8302,2020-04-23,Southeast,City of Santa Fe Springs,16,87.13
8303,2020-04-23,Westside,City of Santa Monica,144,155.77
8304,2020-04-23,San Gabriel Valley,City of Sierra Madre,5,45.5
8305,2020-04-23,Harbor,City of Signal Hill,6,50.86
8306,2020-04-23,San Gabriel Valley,City of South El Monte,10,47.88
8307,2020-04-23,Southeast,City of South Gate,195,198.67
8308,2020-04-23,San Gabriel Valley,City of South Pasadena,51,195.75
8309,2020-04-23,San Gabriel Valley,City of Temple City,38,104.24
8310,2020-04-23,South Bay,City of Torrance,226,151.41
8311,2020-04-23,Southeast,City of Vernon,0,0.0
8312,2020-04-23,San Gabriel Valley,City of Walnut,20,65.51
8313,2020-04-23,San Gabriel Valley,City of West Covina,89,82.23
8314,2020-04-23,Central LA,City of West Hollywood,129,349.11
8315,2020-04-23,Santa Monica Mountains,City of Westlake Village,6,71.77
8316,2020-04-23,San Gabriel Valley,City of Whittier,85,97.22
8317,2020-04-23,,Los Angeles,8022,198.34
8318,2020-04-23,South LA,Los Angeles - Adams-Normandie,20,243.84
8319,2020-04-23,South LA,Los Angeles - Alsace,23,184.81
8320,2020-04-23,Angeles Forest,Los Angeles - Angeles National Forest,0,0.0
8321,2020-04-23,Central LA,Los Angeles - Angelino Heights,6,239.81
8322,2020-04-23,San Fernando Valley,Los Angeles - Arleta,70,203.67
8323,2020-04-23,Northeast LA,Los Angeles - Atwater Village,19,129.55
8324,2020-04-23,Westside,Los Angeles - Bel Air,27,320.32
8325,2020-04-23,Westside,Los Angeles - Beverly Crest,31,247.5
8326,2020-04-23,Westside,Los Angeles - Beverlywood,30,227.74
8327,2020-04-23,Eastside,Los Angeles - Boyle Heights,134,154.23
8328,2020-04-23,Westside,Los Angeles - Brentwood,62,200.29
8329,2020-04-23,Central LA,Los Angeles - Brookside,0,0.0
8330,2020-04-23,Central LA,Los Angeles - Cadillac-Corning,12,168.52
8331,2020-04-23,San Fernando Valley,Los Angeles - Canoga Park,187,286.42
8332,2020-04-23,Central LA,Los Angeles - Carthay,56,389.89
8333,2020-04-23,Central LA,Los Angeles - Central,90,230.82
8334,2020-04-23,Westside,Los Angeles - Century City,30,234.52
8335,2020-04-23,South LA,Los Angeles - Century Palms/Cove,62,183.62
8336,2020-04-23,San Fernando Valley,Los Angeles - Chatsworth,60,161.9
8337,2020-04-23,Westside,Los Angeles - Cheviot Hills,16,174.46
8338,2020-04-23,Central LA,Los Angeles - Chinatown,5,62.34
8339,2020-04-23,Central LA,Los Angeles - Cloverdale/Cochran,25,171.79
8340,2020-04-23,Central LA,Los Angeles - Country Club Park,52,343.17
8341,2020-04-23,South LA,Los Angeles - Crenshaw District,44,318.17
8342,2020-04-23,Central LA,Los Angeles - Crestview,58,510.2
8343,2020-04-23,Westside,Los Angeles - Del Rey,44,146.98
8344,2020-04-23,Central LA,Los Angeles - Downtown,49,178.14
8345,2020-04-23,Northeast LA,Los Angeles - Eagle Rock,71,179.34
8346,2020-04-23,Central LA,Los Angeles - East Hollywood,98,334.62
8347,2020-04-23,Central LA,Los Angeles - Echo Park,16,112.23
8348,2020-04-23,Central LA,Los Angeles - Elysian Park,7,122.55
8349,2020-04-23,Central LA,Los Angeles - Elysian Valley,16,157.31
8350,2020-04-23,San Fernando Valley,Los Angeles - Encino,73,161.6
8351,2020-04-23,South LA,Los Angeles - Exposition,,
8352,2020-04-23,Central LA,Los Angeles - Exposition Park,96,213.73
8353,2020-04-23,Central LA,Los Angeles - Faircrest Heights,,
8354,2020-04-23,South LA,Los Angeles - Figueroa Park Square,17,194.93
8355,2020-04-23,South LA,Los Angeles - Florence-Firestone,89,187.59
8356,2020-04-23,Northeast LA,Los Angeles - Glassell Park,92,291.1
8357,2020-04-23,South LA,Los Angeles - Gramercy Place,23,213.68
8358,2020-04-23,San Fernando Valley,Los Angeles - Granada Hills,93,159.82
8359,2020-04-23,South LA,Los Angeles - Green Meadows,42,195.3
8360,2020-04-23,Central LA,Los Angeles - Hancock Park,60,352.13
8361,2020-04-23,Harbor,Los Angeles - Harbor City,37,127.28
8362,2020-04-23,Harbor,Los Angeles - Harbor Gateway,52,119.27
8363,2020-04-23,Harbor,Los Angeles - Harbor Pines,0,0.0
8364,2020-04-23,Central LA,Los Angeles - Harvard Heights,42,232.88
8365,2020-04-23,South LA,Los Angeles - Harvard Park,85,224.07
8366,2020-04-23,Northeast LA,Los Angeles - Highland Park,62,128.12
8367,2020-04-23,Central LA,Los Angeles - Historic Filipinotown,42,302.81
8368,2020-04-23,Central LA,Los Angeles - Hollywood,169,247.6
8369,2020-04-23,Central LA,Los Angeles - Hollywood Hills,56,190.26
8370,2020-04-23,South LA,Los Angeles - Hyde Park,41,143.65
8371,2020-04-23,South LA,Los Angeles - Jefferson Park,7,86.71
8372,2020-04-23,Central LA,Los Angeles - Koreatown,108,208.93
8373,2020-04-23,Central LA,Los Angeles - Lafayette Square,9,197.41
8374,2020-04-23,San Fernando Valley,Los Angeles - Lake Balboa,59,139.79
8375,2020-04-23,San Fernando Valley,Los Angeles - Lakeview Terrace,42,319.81
8376,2020-04-23,South LA,Los Angeles - Leimert Park,27,177.22
8377,2020-04-23,Eastside,Los Angeles - Lincoln Heights,46,141.12
8378,2020-04-23,Central LA,Los Angeles - Little Armenia,74,922.12
8379,2020-04-23,Central LA,Los Angeles - Little Bangladesh,58,204.64
8380,2020-04-23,Central LA,Los Angeles - Little Tokyo,,
8381,2020-04-23,Central LA,Los Angeles - Longwood,9,209.11
8382,2020-04-23,Central LA,Los Angeles - Los Feliz,30,138.84
8383,2020-04-23,South LA,Los Angeles - Manchester Square,11,128.87
8384,2020-04-23,Westside,Los Angeles - Mandeville Canyon,,
8385,2020-04-23,Westside,Los Angeles - Mar Vista,46,108.31
8386,2020-04-23,Westside,Los Angeles - Marina Peninsula,9,206.42
8387,2020-04-23,Central LA,Los Angeles - Melrose,286,368.1
8388,2020-04-23,Central LA,Los Angeles - Mid-city,34,226.21
