,Date,Region,Cases,Case Rate,dt[Cases],dt[Case Rate]
93,2020-04-04,Southeast,398,32.36,73,5.949999999999999
94,2020-04-04,Verdugos,202,42.08,20,4.170000000000002
95,2020-04-04,Westside,501,89.03,35,6.219999999999999
96,2020-04-05,Angeles Forest,0,0.0,0,0.0
97,2020-04-05,Antelope Valley,88,16.01,14,2.5900000000000016
98,2020-04-05,Central LA,869,100.13,94,11.239999999999995
99,2020-04-05,Eastside,110,35.94,7,2.9499999999999957
100,2020-04-05,Harbor,412,46.31,49,5.760000000000005
101,2020-04-05,Northeast LA,84,49.83,15,8.899999999999999
102,2020-04-05,Northwest County,122,44.35,14,5.300000000000004
103,2020-04-05,Pomona Valley,36,15.76,5,2.1899999999999995
104,2020-04-05,San Fernando Valley,906,55.47,104,6.240000000000002
105,2020-04-05,San Gabriel Valley,298,20.18,50,3.3900000000000006
106,2020-04-05,Santa Monica Mountains,51,67.23,10,7.300000000000004
107,2020-04-05,South Bay,478,61.62,38,4.899999999999999
108,2020-04-05,South LA,438,51.95,62,7.350000000000001
109,2020-04-05,Southeast,502,40.67,104,8.310000000000002
110,2020-04-05,Verdugos,254,52.91,52,10.829999999999998
111,2020-04-05,Westside,537,95.43,36,6.400000000000006
112,2020-04-06,Angeles Forest,0,0.0,0,0.0
113,2020-04-06,Antelope Valley,107,19.91,19,3.8999999999999986
114,2020-04-06,Central LA,927,106.58,58,6.450000000000003
115,2020-04-06,Eastside,123,40.87,13,4.93
116,2020-04-06,Harbor,450,50.27,38,3.960000000000001
117,2020-04-06,Northeast LA,92,54.58,8,4.75
118,2020-04-06,Northwest County,128,46.25,6,1.8999999999999986
119,2020-04-06,Pomona Valley,43,18.82,7,3.0600000000000005
120,2020-04-06,San Fernando Valley,979,59.67,73,4.200000000000003
121,2020-04-06,San Gabriel Valley,343,23.23,45,3.0500000000000007
122,2020-04-06,Santa Monica Mountains,52,68.7,1,1.4699999999999989
123,2020-04-06,South Bay,523,67.42,45,5.800000000000004
124,2020-04-06,South LA,476,56.46,38,4.509999999999998
125,2020-04-06,Southeast,546,44.0,44,3.3299999999999983
126,2020-04-06,Verdugos,272,56.66,18,3.75
127,2020-04-06,Westside,558,99.16,21,3.7299999999999898
128,2020-04-07,Angeles Forest,0,0.0,0,0.0
129,2020-04-07,Antelope Valley,117,22.94,10,3.030000000000001
130,2020-04-07,Central LA,1002,115.66,75,9.079999999999998
131,2020-04-07,Eastside,133,44.8,10,3.9299999999999997
132,2020-04-07,Harbor,479,53.75,29,3.479999999999997
133,2020-04-07,Northeast LA,104,61.7,12,7.1200000000000045
134,2020-04-07,Northwest County,135,48.9,7,2.6499999999999986
135,2020-04-07,Pomona Valley,48,21.01,5,2.1900000000000013
136,2020-04-07,San Fernando Valley,1088,66.1,109,6.429999999999993
137,2020-04-07,San Gabriel Valley,377,25.53,34,2.3000000000000007
138,2020-04-07,Santa Monica Mountains,53,70.16,1,1.4599999999999937
139,2020-04-07,South Bay,566,72.96,43,5.539999999999992
140,2020-04-07,South LA,537,63.7,61,7.240000000000002
141,2020-04-07,Southeast,615,49.68,69,5.68
142,2020-04-07,Verdugos,307,63.95,35,7.290000000000006
143,2020-04-07,Westside,590,104.85,32,5.689999999999998
144,2020-04-08,Angeles Forest,0,0.0,0,0.0
145,2020-04-08,Antelope Valley,138,28.13,21,5.189999999999998
146,2020-04-08,Central LA,1068,122.95,66,7.290000000000006
147,2020-04-08,Eastside,149,50.22,16,5.420000000000002
148,2020-04-08,Harbor,525,58.67,46,4.920000000000002
149,2020-04-08,Northeast LA,123,72.97,19,11.269999999999996
150,2020-04-08,Northwest County,149,54.21,14,5.310000000000002
151,2020-04-08,Pomona Valley,55,24.08,7,3.0699999999999967
152,2020-04-08,San Fernando Valley,1172,71.29,84,5.190000000000012
153,2020-04-08,San Gabriel Valley,392,26.54,15,1.009999999999998
154,2020-04-08,Santa Monica Mountains,59,78.93,6,8.77000000000001
155,2020-04-08,South Bay,609,78.5,43,5.540000000000006
156,2020-04-08,South LA,596,70.7,59,7.0
157,2020-04-08,Southeast,675,54.58,60,4.899999999999999
158,2020-04-08,Verdugos,337,70.2,30,6.25
159,2020-04-08,Westside,610,108.4,20,3.5500000000000114
160,2020-04-09,Angeles Forest,0,0.0,0,0.0
161,2020-04-09,Antelope Valley,156,35.49,18,7.360000000000003
162,2020-04-09,Central LA,1140,131.43,72,8.480000000000004
163,2020-04-09,Eastside,161,54.65,12,4.43
164,2020-04-09,Harbor,571,64.07,46,5.3999999999999915
165,2020-04-09,Northeast LA,138,81.87,15,8.900000000000006
166,2020-04-09,Northwest County,155,56.11,6,1.8999999999999986
167,2020-04-09,Pomona Valley,61,26.7,6,2.620000000000001
168,2020-04-09,San Fernando Valley,1247,76.02,75,4.72999999999999
169,2020-04-09,San Gabriel Valley,440,29.79,48,3.25
170,2020-04-09,Santa Monica Mountains,61,81.85,2,2.9199999999999875
171,2020-04-09,South Bay,650,83.79,41,5.290000000000006
172,2020-04-09,South LA,647,76.75,51,6.049999999999997
173,2020-04-09,Southeast,747,60.26,72,5.68
174,2020-04-09,Verdugos,386,80.4,49,10.200000000000003
175,2020-04-09,Westside,623,110.71,13,2.309999999999988
176,2020-04-10,Angeles Forest,0,0.0,0,0.0
177,2020-04-10,Antelope Valley,172,40.25,16,4.759999999999998
178,2020-04-10,Central LA,1204,138.96,64,7.530000000000001
179,2020-04-10,Eastside,178,61.55,17,6.899999999999999
180,2020-04-10,Harbor,609,68.39,38,4.320000000000007
181,2020-04-10,Northeast LA,141,83.65,3,1.7800000000000011
182,2020-04-10,Northwest County,161,58.0,6,1.8900000000000006
183,2020-04-10,Pomona Valley,63,27.58,2,0.879999999999999
184,2020-04-10,San Fernando Valley,1316,80.41,69,4.390000000000001
185,2020-04-10,San Gabriel Valley,487,32.98,47,3.1899999999999977
186,2020-04-10,Santa Monica Mountains,68,92.08,7,10.230000000000004
187,2020-04-10,South Bay,681,87.79,31,4.0
188,2020-04-10,South LA,687,81.49,40,4.739999999999995
189,2020-04-10,Southeast,811,65.34,64,5.080000000000005
190,2020-04-10,Verdugos,431,89.78,45,9.379999999999995
191,2020-04-10,Westside,648,115.16,25,4.450000000000003
192,2020-04-11,Angeles Forest,0,0.0,0,0.0
193,2020-04-11,Antelope Valley,182,42.85,10,2.6000000000000014
194,2020-04-11,Central LA,1264,145.89,60,6.929999999999978
195,2020-04-11,Eastside,192,67.45,14,5.900000000000006
196,2020-04-11,Harbor,638,71.39,29,3.0
197,2020-04-11,Northeast LA,148,87.8,7,4.1499999999999915
198,2020-04-11,Northwest County,168,60.65,7,2.6499999999999986
199,2020-04-11,Pomona Valley,65,28.45,2,0.870000000000001
200,2020-04-11,San Fernando Valley,1392,85.01,76,4.6000000000000085
201,2020-04-11,San Gabriel Valley,536,36.3,49,3.3200000000000003
202,2020-04-11,Santa Monica Mountains,70,93.54,2,1.460000000000008
203,2020-04-11,South Bay,727,93.72,46,5.929999999999993
204,2020-04-11,South LA,735,87.18,48,5.690000000000012
205,2020-04-11,Southeast,873,70.41,62,5.069999999999993
206,2020-04-11,Verdugos,461,96.03,30,6.25
207,2020-04-11,Westside,664,118.0,16,2.8400000000000034
208,2020-04-12,Angeles Forest,0,0.0,0,0.0
209,2020-04-12,Antelope Valley,196,47.18,14,4.329999999999998
210,2020-04-12,Central LA,1291,148.87,27,2.980000000000018
211,2020-04-12,Eastside,201,70.9,9,3.450000000000003
212,2020-04-12,Harbor,665,74.39,27,3.0
213,2020-04-12,Northeast LA,152,90.17,4,2.3700000000000045
214,2020-04-12,Northwest County,177,63.69,9,3.039999999999999
215,2020-04-12,Pomona Valley,68,29.77,3,1.3200000000000003
216,2020-04-12,San Fernando Valley,1445,87.96,53,2.9499999999999886
217,2020-04-12,San Gabriel Valley,558,37.78,22,1.480000000000004
218,2020-04-12,Santa Monica Mountains,71,95.01,1,1.4699999999999989
219,2020-04-12,South Bay,755,97.33,28,3.6099999999999994
220,2020-04-12,South LA,749,88.84,14,1.6599999999999966
221,2020-04-12,Southeast,891,71.98,18,1.5700000000000074
222,2020-04-12,Verdugos,478,99.57,17,3.539999999999992
223,2020-04-12,Westside,668,118.71,4,0.7099999999999937
224,2020-04-13,Angeles Forest,0,0.0,0,0.0
225,2020-04-13,Antelope Valley,197,47.61,1,0.4299999999999997
226,2020-04-13,Central LA,1325,152.94,34,4.069999999999993
227,2020-04-13,Eastside,208,73.85,7,2.9499999999999886
228,2020-04-13,Harbor,679,75.47,14,1.0799999999999983
229,2020-04-13,Northeast LA,158,93.73,6,3.5600000000000023
230,2020-04-13,Northwest County,184,66.34,7,2.6500000000000057
231,2020-04-13,Pomona Valley,70,30.64,2,0.870000000000001
232,2020-04-13,San Fernando Valley,1491,90.85,46,2.8900000000000006
233,2020-04-13,San Gabriel Valley,578,39.14,20,1.3599999999999994
234,2020-04-13,Santa Monica Mountains,74,97.93,3,2.9200000000000017
235,2020-04-13,South Bay,774,99.77,19,2.4399999999999977
236,2020-04-13,South LA,779,92.4,30,3.5600000000000023
