Date,Region,Area,Cases,Case Rate,CF Outbreak
2020-04-26,Central LA,Los Angeles - Little Armenia,78,971.96,
2020-04-26,Central LA,Los Angeles - Little Bangladesh,63,222.28,
2020-04-26,Central LA,Los Angeles - Little Tokyo,5,159.59,
2020-04-26,Central LA,Los Angeles - Longwood,12,278.81,
2020-04-26,Central LA,Los Angeles - Los Feliz,31,143.47,
2020-04-26,South LA,Los Angeles - Manchester Square,11,128.87,
2020-04-26,Westside,Los Angeles - Mandeville Canyon,1,32.01,
2020-04-26,Westside,Los Angeles - Mar Vista,51,120.08,
2020-04-26,Westside,Los Angeles - Marina Peninsula,9,206.42,
2020-04-26,Central LA,Los Angeles - Melrose,304,391.27,
2020-04-26,Central LA,Los Angeles - Mid-city,35,232.87,
2020-04-26,Central LA,Los Angeles - Miracle Mile,35,194.61,
2020-04-26,San Fernando Valley,Los Angeles - Mission Hills,60,248.71,
2020-04-26,Northeast LA,Los Angeles - Mt. Washington,33,136.67,
2020-04-26,San Fernando Valley,Los Angeles - North Hills,122,198.13,
2020-04-26,San Fernando Valley,Los Angeles - North Hollywood,283,186.9,
2020-04-26,San Fernando Valley,Los Angeles - Northridge,133,190.55,
2020-04-26,Westside,Los Angeles - Pacific Palisades,36,169.09,
2020-04-26,San Fernando Valley,Los Angeles - Pacoima,190,246.82,
2020-04-26,Westside,Los Angeles - Palisades Highlands,3,78.0,
2020-04-26,Westside,Los Angeles - Palms,94,214.24,
2020-04-26,San Fernando Valley,Los Angeles - Panorama City,209,277.74,
2020-04-26,Central LA,Los Angeles - Park La Brea,11,81.0,
2020-04-26,Central LA,Los Angeles - Pico-Union,160,382.39,
2020-04-26,South Bay,Los Angeles - Playa Del Rey,1,31.29,
2020-04-26,Westside,Los Angeles - Playa Vista,18,164.43,
2020-04-26,San Fernando Valley,Los Angeles - Porter Ranch,50,140.5,
2020-04-26,Westside,Los Angeles - Rancho Park,11,167.68,
2020-04-26,Central LA,Los Angeles - Regent Square,1,35.97,
2020-04-26,San Fernando Valley,Los Angeles - Reseda,163,212.75,
2020-04-26,San Fernando Valley,Los Angeles - Reseda Ranch,17,366.7,
2020-04-26,Central LA,Los Angeles - Reynier Village,8,189.21,
2020-04-26,Harbor,Los Angeles - San Pedro,157,201.18,
2020-04-26,San Fernando Valley,Los Angeles - Shadow Hills,11,247.64,
2020-04-26,San Fernando Valley,Los Angeles - Sherman Oaks,116,132.95,
2020-04-26,Central LA,Los Angeles - Silverlake,105,238.19,
2020-04-26,Central LA,Los Angeles - South Carthay,22,207.65,
2020-04-26,South LA,Los Angeles - South Park,95,250.26,
2020-04-26,Central LA,Los Angeles - St Elmo Village,9,196.34,
2020-04-26,San Fernando Valley,Los Angeles - Studio City,33,147.06,
2020-04-26,San Fernando Valley,Los Angeles - Sun Valley,91,173.39,
2020-04-26,Verdugos,Los Angeles - Sunland,62,303.8,
2020-04-26,Central LA,Los Angeles - Sycamore Square,0,0.0,
2020-04-26,San Fernando Valley,Los Angeles - Sylmar,266,322.82,
2020-04-26,San Fernando Valley,Los Angeles - Tarzana,69,223.47,
2020-04-26,Central LA,Los Angeles - Temple-Beaudry,128,324.2,
2020-04-26,Central LA,Los Angeles - Thai Town,12,122.34,
2020-04-26,San Fernando Valley,Los Angeles - Toluca Lake,9,103.4,
2020-04-26,San Fernando Valley,Los Angeles - Toluca Terrace,1,76.57,
2020-04-26,San Fernando Valley,Los Angeles - Toluca Woods,3,161.46,
2020-04-26,Verdugos,Los Angeles - Tujunga,53,190.58,
2020-04-26,Eastside,Los Angeles - University Hills,4,116.65,
2020-04-26,South LA,Los Angeles - University Park,65,236.74,
2020-04-26,San Fernando Valley,Los Angeles - Valley Glen,74,246.54,
2020-04-26,San Fernando Valley,Los Angeles - Valley Village,84,339.81,
2020-04-26,San Fernando Valley,Los Angeles - Van Nuys,237,254.31,
2020-04-26,Westside,Los Angeles - Venice,43,126.9,
2020-04-26,South LA,Los Angeles - Vermont Knolls,47,273.26,
2020-04-26,South LA,Los Angeles - Vermont Square,36,470.16,
2020-04-26,South LA,Los Angeles - Vermont Vista,91,220.95,
2020-04-26,South LA,Los Angeles - Vernon Central,143,275.01,
2020-04-26,Central LA,Los Angeles - Victoria Park,31,369.09,
2020-04-26,South LA,Los Angeles - View Heights,7,189.5,
2020-04-26,South LA,Los Angeles - Watts,77,180.44,
2020-04-26,Central LA,Los Angeles - Wellington Square,10,203.46,
2020-04-26,South LA,Los Angeles - West Adams,101,365.54,
2020-04-26,San Fernando Valley,Los Angeles - West Hills,46,113.45,
2020-04-26,Westside,Los Angeles - West Los Angeles,51,135.51,
2020-04-26,South LA,Los Angeles - West Vernon,163,303.86,
2020-04-26,South Bay,Los Angeles - Westchester,58,112.4,
2020-04-26,Central LA,Los Angeles - Westlake,212,357.17,
2020-04-26,Westside,Los Angeles - Westwood,43,79.47,
2020-04-26,Central LA,Los Angeles - Wholesale District,66,182.68,
2020-04-26,Harbor,Los Angeles - Wilmington,73,129.23,
2020-04-26,Central LA,Los Angeles - Wilshire Center,92,183.38,
2020-04-26,San Fernando Valley,Los Angeles - Winnetka,119,229.79,
2020-04-26,San Fernando Valley,Los Angeles - Woodland Hills,102,149.88,
2020-04-26,Antelope Valley,Unincorporated - Acton,8,100.36,
2020-04-26,Northwest County,Unincorporated - Agua Dulce,1,24.05,
2020-04-26,Verdugos,Unincorporated - Altadena,61,139.84,
2020-04-26,Antelope Valley,Unincorporated - Anaverde,1,66.31,
2020-04-26,Angeles Forest,Unincorporated - Angeles National Forest,1,80.32,
2020-04-26,San Gabriel Valley,Unincorporated - Arcadia,4,50.12,
2020-04-26,South LA,Unincorporated - Athens-Westmont,87,204.99,
2020-04-26,South LA,Unincorporated - Athens Village,13,265.47,
2020-04-26,San Gabriel Valley,Unincorporated - Avocado Heights,13,191.88,
2020-04-26,San Gabriel Valley,Unincorporated - Azusa,14,87.92,
2020-04-26,San Gabriel Valley,Unincorporated - Bassett,26,175.47,
2020-04-26,Northwest County,Unincorporated - Bouquet Canyon,0,0.0,
2020-04-26,San Gabriel Valley,Unincorporated - Bradbury,0,0.0,
2020-04-26,Northwest County,Unincorporated - Canyon Country,21,271.74,
2020-04-26,Northwest County,Unincorporated - Castaic,18,66.2,
2020-04-26,Southeast,Unincorporated - Cerritos,0,0.0,
2020-04-26,San Gabriel Valley,Unincorporated - Charter Oak,0,0.0,
2020-04-26,Pomona Valley,Unincorporated - Claremont,0,0.0,
2020-04-26,San Gabriel Valley,Unincorporated - Covina,19,112.97,
2020-04-26,South Bay,Unincorporated - Del Aire,7,159.34,
2020-04-26,Westside,Unincorporated - Del Rey,0,0.0,
2020-04-26,Antelope Valley,Unincorporated - Del Sur,3,124.22,
2020-04-26,Antelope Valley,Unincorporated - Desert View Highlands,2,80.22,
2020-04-26,San Gabriel Valley,Unincorporated - Duarte,7,158.08,
2020-04-26,San Gabriel Valley,Unincorporated - East Covina,0,0.0,
2020-04-26,Southeast,Unincorporated - East La Mirada,7,132.28,
2020-04-26,Antelope Valley,Unincorporated - East Lancaster,0,0.0,
2020-04-26,Eastside,Unincorporated - East Los Angeles,308,245.87,
2020-04-26,San Gabriel Valley,Unincorporated - East Pasadena,0,0.0,
2020-04-26,Southeast,Unincorporated - East Rancho Dominguez,17,111.05,
2020-04-26,Southeast,Unincorporated - East Whittier,4,75.39,
2020-04-26,South Bay,Unincorporated - El Camino Village,6,68.25,
2020-04-26,San Gabriel Valley,Unincorporated - El Monte,0,0.0,
2020-04-26,Antelope Valley,Unincorporated - Elizabeth Lake,0,0.0,
2020-04-26,South LA,Unincorporated - Florence-Firestone,153,236.46,
2020-04-26,Central LA,Unincorporated - Franklin Canyon,0,0.0,
2020-04-26,San Gabriel Valley,Unincorporated - Glendora,1,151.52,
2020-04-26,San Gabriel Valley,Unincorporated - Hacienda Heights,46,82.25,
2020-04-26,Harbor,Unincorporated - Harbor Gateway,0,0.0,
2020-04-26,South Bay,Unincorporated - Hawthorne,3,119.33,
2020-04-26,Antelope Valley,Unincorporated - Hi Vista,0,0.0,
2020-04-26,Angeles Forest,Unincorporated - Kagel/Lopez Canyons,1,70.82,
2020-04-26,Verdugos,Unincorporated - La Crescenta-Montrose,16,80.8,
2020-04-26,San Gabriel Valley,Unincorporated - La Habra Heights,0,0.0,
2020-04-26,Harbor,Unincorporated - La Rambla,6,289.16,
2020-04-26,Pomona Valley,Unincorporated - La Verne,1,49.02,
2020-04-26,Westside,Unincorporated - Ladera Heights,15,212.13,
2020-04-26,Northwest County,Unincorporated - Lake Hughes,0,0.0,
2020-04-26,Antelope Valley,Unincorporated - Lake Los Angeles,15,115.44,
2020-04-26,San Fernando Valley,Unincorporated - Lake Manor,2,121.73,
2020-04-26,Harbor,Unincorporated - Lakewood,0,0.0,
2020-04-26,South Bay,Unincorporated - Lennox,35,155.27,
2020-04-26,Antelope Valley,Unincorporated - Leona Valley,1,57.11,
2020-04-26,Antelope Valley,Unincorporated - Littlerock,4,99.48,
2020-04-26,Antelope Valley,Unincorporated - Littlerock/Juniper Hills,1,77.1,
2020-04-26,Antelope Valley,Unincorporated - Littlerock/Pearblossom,6,168.11,
2020-04-26,Antelope Valley,Unincorporated - Llano,1,114.03,
2020-04-26,Westside,Unincorporated - Marina del Rey,11,116.88,
2020-04-26,Central LA,Unincorporated - Miracle Mile,0,0.0,
2020-04-26,San Gabriel Valley,Unincorporated - Monrovia,5,128.83,
2020-04-26,Northwest County,Unincorporated - Newhall,0,0.0,
2020-04-26,Antelope Valley,Unincorporated - North Lancaster,0,0.0,
2020-04-26,San Gabriel Valley,Unincorporated - North Whittier,6,71.77,
2020-04-26,San Gabriel Valley,Unincorporated - Northeast San Gabriel,13,54.09,
2020-04-26,Antelope Valley,Unincorporated - Palmdale,2,237.53,
2020-04-26,South Bay,Unincorporated - Palos Verdes Peninsula,0,0.0,
2020-04-26,Antelope Valley,Unincorporated - Pearblossom/Llano,2,102.25,
2020-04-26,San Gabriel Valley,Unincorporated - Pellissier Village,0,0.0,
2020-04-26,Angeles Forest,Unincorporated - Placerita Canyon,0,0.0,
2020-04-26,San Gabriel Valley,Unincorporated - Pomona,0,0.0,
2020-04-26,Antelope Valley,Unincorporated - Quartz Hill,25,193.71,
2020-04-26,Harbor,Unincorporated - Rancho Dominguez,10,375.8,
2020-04-26,Antelope Valley,Unincorporated - Roosevelt,0,0.0,
2020-04-26,Southeast,Unincorporated - Rosewood,3,233.28,
2020-04-26,Southeast,Unincorporated - Rosewood/East Gardena,0,0.0,
2020-04-26,Southeast,Unincorporated - Rosewood/West Rancho Dominguez,5,148.77,
2020-04-26,San Gabriel Valley,Unincorporated - Rowland Heights,44,86.24,
2020-04-26,Harbor,Unincorporated - San Clemente Island,0,0.0,
2020-04-26,Northwest County,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0.0,
2020-04-26,San Gabriel Valley,Unincorporated - San Jose Hills,16,79.13,
2020-04-26,San Gabriel Valley,Unincorporated - San Pasqual,0,0.0,
2020-04-26,Angeles Forest,Unincorporated - Sand Canyon,0,0.0,
2020-04-26,Harbor,Unincorporated - Santa Catalina Island,2,749.06,
2020-04-26,Santa Monica Mountains,Unincorporated - Santa Monica Mountains,9,48.33,
2020-04-26,Northwest County,Unincorporated - Saugus,2,1290.32,
2020-04-26,Northwest County,Unincorporated - Saugus/Canyon Country,0,0.0,
2020-04-26,Antelope Valley,Unincorporated - South Antelope Valley,0,0.0,
2020-04-26,San Gabriel Valley,Unincorporated - South El Monte,1,55.71,
2020-04-26,San Gabriel Valley,Unincorporated - South San Gabriel,7,79.11,
2020-04-26,Southeast,Unincorporated - South Whittier,60,101.31,
2020-04-26,Antelope Valley,Unincorporated - Southeast Antelope Valley,0,0.0,
2020-04-26,Northwest County,Unincorporated - Stevenson Ranch,16,76.31,
2020-04-26,Antelope Valley,Unincorporated - Sun Village,4,66.27,
2020-04-26,San Gabriel Valley,Unincorporated - Sunrise Village,1,77.16,
2020-04-26,Northwest County,Unincorporated - Twin Lakes/Oat Mountain,4,241.25,
2020-04-26,Northwest County,Unincorporated - Val Verde,7,211.54,
2020-04-26,Northwest County,Unincorporated - Valencia,4,130.21,
2020-04-26,San Gabriel Valley,Unincorporated - Valinda,26,111.25,
2020-04-26,South LA,Unincorporated - View Park/Windsor Hills,23,197.68,
2020-04-26,Southeast,Unincorporated - Walnut Park,40,247.79,
2020-04-26,Antelope Valley,Unincorporated - West Antelope Valley,2,132.36,
2020-04-26,Harbor,Unincorporated - West Carson,53,239.97,
2020-04-26,San Fernando Valley,Unincorporated - West Chatsworth,0,0.0,
2020-04-26,San Gabriel Valley,Unincorporated - West Puente Valley,13,132.18,
2020-04-26,Harbor,Unincorporated - West Rancho Dominguez,2,147.17,
2020-04-26,Southeast,Unincorporated - West Whittier/Los Nietos,30,111.42,
2020-04-26,South Bay,Unincorporated - Westfield/Academy Hills,0,0.0,
2020-04-26,San Fernando Valley,Unincorporated - Westhills,0,0.0,
2020-04-26,Antelope Valley,Unincorporated - White Fence Farms,2,54.3,
2020-04-26,San Gabriel Valley,Unincorporated - Whittier,4,105.71,
2020-04-26,San Gabriel Valley,Unincorporated - Whittier Narrows,0,0.0,
2020-04-26,South LA,Unincorporated - Willowbrook,42,120.3,
2020-04-26,South Bay,Unincorporated - Wiseburn,5,82.96,
2020-04-26,Harbor,City of Long Beach,563,120.07,
2020-04-26,Verdugos,City of Pasadena,299,211.69,
2020-04-27,Santa Monica Mountains,City of Agoura Hills,30,143.66,
2020-04-27,San Gabriel Valley,City of Alhambra,75,86.48,
2020-04-27,San Gabriel Valley,City of Arcadia,36,62.33,
2020-04-27,Southeast,City of Artesia,13,77.4,
2020-04-27,Harbor,City of Avalon,0,0.0,
2020-04-27,San Gabriel Valley,City of Azusa,55,109.91,
2020-04-27,San Gabriel Valley,City of Baldwin Park,73,95.09,
2020-04-27,Southeast,City of Bell,117,322.03,
2020-04-27,Southeast,City of Bell Gardens,84,195.03,
2020-04-27,Southeast,City of Bellflower,111,142.79,
2020-04-27,Westside,City of Beverly Hills,105,304.17,
2020-04-27,San Gabriel Valley,City of Bradbury,1,93.55,
2020-04-27,San Fernando Valley,City of Burbank,222,207.13,
2020-04-27,Santa Monica Mountains,City of Calabasas,34,139.79,
2020-04-27,Harbor,City of Carson,220,234.43,
2020-04-27,Southeast,City of Cerritos,48,95.87,
2020-04-27,Pomona Valley,City of Claremont,22,60.3,
2020-04-27,Southeast,City of Commerce,10,76.52,
2020-04-27,Southeast,City of Compton,183,183.18,
2020-04-27,San Gabriel Valley,City of Covina,86,175.4,
2020-04-27,Southeast,City of Cudahy,60,246.44,
2020-04-27,Westside,City of Culver City,58,145.49,
2020-04-27,San Gabriel Valley,City of Diamond Bar,34,59.12,
2020-04-27,Southeast,City of Downey,193,168.91,
2020-04-27,San Gabriel Valley,City of Duarte,48,218.02,
2020-04-27,San Gabriel Valley,City of El Monte,129,110.0,
2020-04-27,South Bay,City of El Segundo,27,160.85,
2020-04-27,South Bay,City of Gardena,140,228.35,
2020-04-27,Verdugos,City of Glendale,488,236.33,
2020-04-27,San Gabriel Valley,City of Glendora,39,73.91,
2020-04-27,Harbor,City of Hawaiian Gardens,9,61.32,
2020-04-27,South Bay,City of Hawthorne,160,180.21,
2020-04-27,South Bay,City of Hermosa Beach,23,116.93,
2020-04-27,Santa Monica Mountains,City of Hidden Hills,0,0.0,
2020-04-27,Southeast,City of Huntington Park,130,218.55,
2020-04-27,San Gabriel Valley,City of Industry,1,228.83,
2020-04-27,South Bay,City of Inglewood,285,250.92,
2020-04-27,San Gabriel Valley,City of Irwindale,2,137.08,
2020-04-27,Verdugos,City of La Canada Flintridge,37,178.8,
2020-04-27,San Gabriel Valley,City of La Habra Heights,2,36.66,
2020-04-27,Southeast,City of La Mirada,52,104.84,
2020-04-27,San Gabriel Valley,City of La Puente,34,83.54,
2020-04-27,Pomona Valley,City of La Verne,16,48.07,
2020-04-27,Harbor,City of Lakewood,75,93.33,
2020-04-27,Antelope Valley,City of Lancaster,275,170.2,
2020-04-27,South Bay,City of Lawndale,53,157.67,
2020-04-27,South Bay,City of Lomita,32,154.37,
2020-04-27,Southeast,City of Lynwood,161,223.47,
2020-04-27,Santa Monica Mountains,City of Malibu,28,216.03,
2020-04-27,South Bay,City of Manhattan Beach,65,180.56,
2020-04-27,Southeast,City of Maywood,55,196.09,
2020-04-27,San Gabriel Valley,City of Monrovia,37,95.36,
2020-04-27,Southeast,City of Montebello,114,177.09,
2020-04-27,San Gabriel Valley,City of Monterey Park,64,102.79,
2020-04-27,Southeast,City of Norwalk,167,155.17,
2020-04-27,Antelope Valley,City of Palmdale,378,237.78,
2020-04-27,South Bay,City of Palos Verdes Estates,37,273.63,
2020-04-27,Southeast,City of Paramount,117,208.84,
2020-04-27,Southeast,City of Pico Rivera,143,222.45,
2020-04-27,Pomona Valley,City of Pomona,149,95.56,
2020-04-27,South Bay,City of Rancho Palos Verdes,52,121.65,
2020-04-27,South Bay,City of Redondo Beach,102,148.48,
2020-04-27,South Bay,City of Rolling Hills,1,51.55,
2020-04-27,South Bay,City of Rolling Hills Estates,13,160.24,
2020-04-27,San Gabriel Valley,City of Rosemead,29,52.39,
2020-04-27,San Gabriel Valley,City of San Dimas,27,78.22,
2020-04-27,San Fernando Valley,City of San Fernando,77,312.86,
2020-04-27,San Gabriel Valley,City of San Gabriel,29,70.81,
2020-04-27,San Gabriel Valley,City of San Marino,11,82.85,
2020-04-27,Northwest County,City of Santa Clarita,326,147.9,
2020-04-27,Southeast,City of Santa Fe Springs,17,92.57,
2020-04-27,Westside,City of Santa Monica,154,166.58,
2020-04-27,San Gabriel Valley,City of Sierra Madre,5,45.5,
2020-04-27,Harbor,City of Signal Hill,7,59.34,
2020-04-27,San Gabriel Valley,City of South El Monte,22,105.34,
2020-04-27,Southeast,City of South Gate,219,223.12,
2020-04-27,San Gabriel Valley,City of South Pasadena,61,234.14,
2020-04-27,San Gabriel Valley,City of Temple City,47,128.93,
2020-04-27,South Bay,City of Torrance,242,162.12,
2020-04-27,Southeast,City of Vernon,0,0.0,
2020-04-27,San Gabriel Valley,City of Walnut,22,72.06,
2020-04-27,San Gabriel Valley,City of West Covina,114,105.33,
2020-04-27,Central LA,City of West Hollywood,133,359.94,
2020-04-27,Santa Monica Mountains,City of Westlake Village,6,71.77,
2020-04-27,San Gabriel Valley,City of Whittier,105,120.09,
2020-04-27,,Los Angeles,9389,232.14,
2020-04-27,South LA,Los Angeles - Adams-Normandie,24,292.61,
2020-04-27,South LA,Los Angeles - Alsace,26,208.92,
2020-04-27,Angeles Forest,Los Angeles - Angeles National Forest,0,0.0,
2020-04-27,Central LA,Los Angeles - Angelino Heights,6,239.81,
2020-04-27,San Fernando Valley,Los Angeles - Arleta,86,250.22,
2020-04-27,Northeast LA,Los Angeles - Atwater Village,22,150.01,
2020-04-27,South LA,Los Angeles - Baldwin Hills,53,170.28,
2020-04-27,Westside,Los Angeles - Bel Air,28,332.19,
2020-04-27,Westside,Los Angeles - Beverly Crest,32,255.49,
2020-04-27,Westside,Los Angeles - Beverlywood,30,227.74,
2020-04-27,Eastside,Los Angeles - Boyle Heights,170,195.66,
2020-04-27,Westside,Los Angeles - Brentwood,63,203.52,
2020-04-27,Central LA,Los Angeles - Brookside,0,0.0,
2020-04-27,Central LA,Los Angeles - Cadillac-Corning,16,224.69,
2020-04-27,San Fernando Valley,Los Angeles - Canoga Park,216,330.84,
2020-04-27,Central LA,Los Angeles - Carthay,64,445.59,
2020-04-27,South LA,Los Angeles - Central,100,256.46,
2020-04-27,Westside,Los Angeles - Century City,30,234.52,
2020-04-27,South LA,Los Angeles - Century Palms/Cove,77,228.04,
2020-04-27,San Fernando Valley,Los Angeles - Chatsworth,72,194.27,
2020-04-27,Westside,Los Angeles - Cheviot Hills,16,174.46,
2020-04-27,Central LA,Los Angeles - Chinatown,9,112.21,
2020-04-27,Central LA,Los Angeles - Cloverdale/Cochran,31,213.01,
2020-04-27,Central LA,Los Angeles - Country Club Park,56,369.56,
2020-04-27,South LA,Los Angeles - Crenshaw District,44,318.17,
2020-04-27,Central LA,Los Angeles - Crestview,59,519.0,
2020-04-27,Westside,Los Angeles - Del Rey,46,153.66,
2020-04-27,Central LA,Los Angeles - Downtown,57,207.22,
2020-04-27,Northeast LA,Los Angeles - Eagle Rock,80,202.08,
2020-04-27,Central LA,Los Angeles - East Hollywood,113,385.84,
2020-04-27,Central LA,Los Angeles - Echo Park,17,119.25,
2020-04-27,Eastside,Los Angeles - El Sereno,87,208.09,
2020-04-27,Central LA,Los Angeles - Elysian Park,9,157.56,
2020-04-27,Northeast LA,Los Angeles - Elysian Valley,18,176.97,
2020-04-27,San Fernando Valley,Los Angeles - Encino,78,172.67,
2020-04-27,South LA,Los Angeles - Exposition,3,90.2,
2020-04-27,South LA,Los Angeles - Exposition Park,118,262.71,
2020-04-27,Central LA,Los Angeles - Faircrest Heights,2,55.56,
2020-04-27,South LA,Los Angeles - Figueroa Park Square,20,229.33,
2020-04-27,South LA,Los Angeles - Florence-Firestone,109,229.74,
2020-04-27,Northeast LA,Los Angeles - Glassell Park,100,316.42,
2020-04-27,South LA,Los Angeles - Gramercy Place,25,232.26,
2020-04-27,San Fernando Valley,Los Angeles - Granada Hills,106,182.16,
2020-04-27,South LA,Los Angeles - Green Meadows,49,227.85,
2020-04-27,Central LA,Los Angeles - Hancock Park,61,358.0,
2020-04-27,Harbor,Los Angeles - Harbor City,42,144.48,
2020-04-27,Harbor,Los Angeles - Harbor Gateway,57,130.73,
2020-04-27,Harbor,Los Angeles - Harbor Pines,0,0.0,
2020-04-27,Central LA,Los Angeles - Harvard Heights,50,277.24,
2020-04-27,South LA,Los Angeles - Harvard Park,109,287.33,
2020-04-27,Northeast LA,Los Angeles - Highland Park,75,154.99,
2020-04-27,Central LA,Los Angeles - Historic Filipinotown,53,382.12,
2020-04-27,Central LA,Los Angeles - Hollywood,179,262.26,
2020-04-27,Central LA,Los Angeles - Hollywood Hills,57,193.65,
2020-04-27,South LA,Los Angeles - Hyde Park,53,185.7,
2020-04-27,South LA,Los Angeles - Jefferson Park,18,222.97,
2020-04-27,Central LA,Los Angeles - Koreatown,116,224.4,
2020-04-27,Central LA,Los Angeles - Lafayette Square,12,263.22,
2020-04-27,San Fernando Valley,Los Angeles - Lake Balboa,74,175.33,
2020-04-27,San Fernando Valley,Los Angeles - Lakeview Terrace,47,357.88,
2020-04-27,South LA,Los Angeles - Leimert Park,31,203.48,
2020-04-27,Eastside,Los Angeles - Lincoln Heights,66,202.47,
2020-04-27,Central LA,Los Angeles - Little Armenia,79,984.42,
2020-04-27,Central LA,Los Angeles - Little Bangladesh,65,229.33,
2020-04-27,Central LA,Los Angeles - Little Tokyo,5,159.59,
2020-04-27,Central LA,Los Angeles - Longwood,13,302.04,
2020-04-27,Central LA,Los Angeles - Los Feliz,32,148.09,
2020-04-27,South LA,Los Angeles - Manchester Square,13,152.3,
2020-04-27,Westside,Los Angeles - Mandeville Canyon,1,32.01,
2020-04-27,Westside,Los Angeles - Mar Vista,51,120.08,
2020-04-27,Westside,Los Angeles - Marina Peninsula,9,206.42,
2020-04-27,Central LA,Los Angeles - Melrose,308,396.42,
2020-04-27,Central LA,Los Angeles - Mid-city,35,232.87,
2020-04-27,Central LA,Los Angeles - Miracle Mile,35,194.61,
2020-04-27,San Fernando Valley,Los Angeles - Mission Hills,64,265.3,
2020-04-27,Northeast LA,Los Angeles - Mt. Washington,34,140.82,
2020-04-27,San Fernando Valley,Los Angeles - North Hills,134,217.62,
2020-04-27,San Fernando Valley,Los Angeles - North Hollywood,310,204.73,
2020-04-27,San Fernando Valley,Los Angeles - Northridge,143,204.88,
2020-04-27,Westside,Los Angeles - Pacific Palisades,36,169.09,
2020-04-27,San Fernando Valley,Los Angeles - Pacoima,210,272.8,
2020-04-27,Westside,Los Angeles - Palisades Highlands,3,78.0,
2020-04-27,Westside,Los Angeles - Palms,95,216.51,
2020-04-27,San Fernando Valley,Los Angeles - Panorama City,230,305.65,
2020-04-27,Central LA,Los Angeles - Park La Brea,11,81.0,
2020-04-27,Central LA,Los Angeles - Pico-Union,163,389.56,
2020-04-27,South Bay,Los Angeles - Playa Del Rey,1,31.29,
2020-04-27,Westside,Los Angeles - Playa Vista,19,173.56,
2020-04-27,San Fernando Valley,Los Angeles - Porter Ranch,51,143.31,
2020-04-27,Westside,Los Angeles - Rancho Park,11,167.68,
2020-04-27,Central LA,Los Angeles - Regent Square,2,71.94,
2020-04-27,San Fernando Valley,Los Angeles - Reseda,169,220.58,
2020-04-27,San Fernando Valley,Los Angeles - Reseda Ranch,17,366.7,
2020-04-27,Central LA,Los Angeles - Reynier Village,8,189.21,
2020-04-27,Harbor,Los Angeles - San Pedro,167,214.0,
2020-04-27,San Fernando Valley,Los Angeles - Shadow Hills,11,247.64,
2020-04-27,San Fernando Valley,Los Angeles - Sherman Oaks,116,132.95,
2020-04-27,Central LA,Los Angeles - Silverlake,107,242.72,
2020-04-27,Central LA,Los Angeles - South Carthay,23,217.08,
2020-04-27,South LA,Los Angeles - South Park,102,268.7,
2020-04-27,Central LA,Los Angeles - St Elmo Village,12,261.78,
2020-04-27,San Fernando Valley,Los Angeles - Studio City,34,151.52,
2020-04-27,San Fernando Valley,Los Angeles - Sun Valley,102,194.35,
2020-04-27,Verdugos,Los Angeles - Sunland,67,328.3,
2020-04-27,Central LA,Los Angeles - Sycamore Square,0,0.0,
2020-04-27,San Fernando Valley,Los Angeles - Sylmar,297,360.45,
2020-04-27,San Fernando Valley,Los Angeles - Tarzana,71,229.95,
2020-04-27,Central LA,Los Angeles - Temple-Beaudry,137,346.99,
2020-04-27,Central LA,Los Angeles - Thai Town,12,122.34,
2020-04-27,San Fernando Valley,Los Angeles - Toluca Lake,9,103.4,
2020-04-27,San Fernando Valley,Los Angeles - Toluca Terrace,2,153.14,
2020-04-27,San Fernando Valley,Los Angeles - Toluca Woods,3,161.46,
2020-04-27,Verdugos,Los Angeles - Tujunga,59,212.15,
2020-04-27,Eastside,Los Angeles - University Hills,4,116.65,
2020-04-27,South LA,Los Angeles - University Park,68,247.67,
2020-04-27,San Fernando Valley,Los Angeles - Valley Glen,77,256.53,
2020-04-27,San Fernando Valley,Los Angeles - Valley Village,84,339.81,
2020-04-27,San Fernando Valley,Los Angeles - Van Nuys,252,270.4,
2020-04-27,Westside,Los Angeles - Venice,44,129.85,
2020-04-27,South LA,Los Angeles - Vermont Knolls,50,290.7,
2020-04-27,South LA,Los Angeles - Vermont Square,36,470.16,
2020-04-27,South LA,Los Angeles - Vermont Vista,99,240.37,
2020-04-27,South LA,Los Angeles - Vernon Central,159,305.78,
2020-04-27,Central LA,Los Angeles - Victoria Park,32,381.0,
2020-04-27,South LA,Los Angeles - View Heights,7,189.5,
2020-04-27,South LA,Los Angeles - Watts,83,194.5,
2020-04-27,Central LA,Los Angeles - Wellington Square,11,223.8,
2020-04-27,South LA,Los Angeles - West Adams,103,372.78,
2020-04-27,San Fernando Valley,Los Angeles - West Hills,48,118.39,
2020-04-27,Westside,Los Angeles - West Los Angeles,51,135.51,
2020-04-27,South LA,Los Angeles - West Vernon,174,324.36,
2020-04-27,South Bay,Los Angeles - Westchester,59,114.33,
2020-04-27,Central LA,Los Angeles - Westlake,225,379.08,
2020-04-27,Westside,Los Angeles - Westwood,45,83.17,
2020-04-27,Central LA,Los Angeles - Wholesale District,75,207.59,
2020-04-27,Harbor,Los Angeles - Wilmington,78,138.08,
2020-04-27,Central LA,Los Angeles - Wilshire Center,97,193.34,
2020-04-27,San Fernando Valley,Los Angeles - Winnetka,129,249.1,
2020-04-27,San Fernando Valley,Los Angeles - Woodland Hills,103,151.35,
