Date,Region,Area,Cases,Case Rate,CF Outbreak
2020-03-30,Westside,Los Angeles - Bel Air,9,109.52,
2020-03-30,Westside,Los Angeles - Beverly Crest,19,153.29,
2020-03-30,Westside,Los Angeles - Beverlywood,11,82.58,
2020-03-30,Eastside,Los Angeles - Boyle Heights,11,12.61,
2020-03-30,Westside,Los Angeles - Brentwood,34,108.74,
2020-03-30,Central LA,Los Angeles - Brookside,0,0.0,
2020-03-30,Central LA,Los Angeles - Cadillac-Corning,,,
2020-03-30,San Fernando Valley,Los Angeles - Canoga Park,4,6.28,
2020-03-30,Central LA,Los Angeles - Carthay,15,111.79,
2020-03-30,South LA,Los Angeles - Central,6,15.34,
2020-03-30,Westside,Los Angeles - Century City,9,74.31,
2020-03-30,South LA,Los Angeles - Century Palms/Cove,8,23.62,
2020-03-30,San Fernando Valley,Los Angeles - Chatsworth,10,27.75,
2020-03-30,Westside,Los Angeles - Cheviot Hills,5,53.97,
2020-03-30,Central LA,Los Angeles - Chinatown,0,0.0,
2020-03-30,Central LA,Los Angeles - Cloverdale/Cochran,,,
2020-03-30,Central LA,Los Angeles - Country Club Park,,,
2020-03-30,South LA,Los Angeles - Crenshaw District,,,
2020-03-30,Central LA,Los Angeles - Crestview,13,113.58,
2020-03-30,Westside,Los Angeles - Del Rey,14,47.85,
2020-03-30,Central LA,Los Angeles - Downtown,11,45.36,
2020-03-30,Northeast LA,Los Angeles - Eagle Rock,8,20.42,
2020-03-30,Central LA,Los Angeles - East Hollywood,10,33.57,
2020-03-30,Central LA,Los Angeles - Echo Park,5,34.85,
2020-03-30,Eastside,Los Angeles - El Sereno,3,7.19,
2020-03-30,Central LA,Los Angeles - Elysian Park,,,
2020-03-30,Northeast LA,Los Angeles - Elysian Valley,,,
2020-03-30,San Fernando Valley,Los Angeles - Encino,29,68.18,
2020-03-30,South LA,Los Angeles - Exposition,0,0.0,
2020-03-30,South LA,Los Angeles - Exposition Park,4,8.85,
2020-03-30,Central LA,Los Angeles - Faircrest Heights,0,0.0,
2020-03-30,South LA,Los Angeles - Figueroa Park Square,0,0.0,
2020-03-30,South LA,Los Angeles - Florence-Firestone,7,14.33,
2020-03-30,Northeast LA,Los Angeles - Glassell Park,8,25.49,
2020-03-30,South LA,Los Angeles - Gramercy Place,,,
2020-03-30,San Fernando Valley,Los Angeles - Granada Hills,9,15.52,
2020-03-30,South LA,Los Angeles - Green Meadows,,,
2020-03-30,Central LA,Los Angeles - Hancock Park,26,158.3,
2020-03-30,Harbor,Los Angeles - Harbor City,4,13.81,
2020-03-30,Harbor,Los Angeles - Harbor Gateway,6,13.73,
2020-03-30,Harbor,Los Angeles - Harbor Pines,0,0.0,
2020-03-30,Central LA,Los Angeles - Harvard Heights,,,
2020-03-30,South LA,Los Angeles - Harvard Park,3,7.57,
2020-03-30,Northeast LA,Los Angeles - Highland Park,9,18.68,
2020-03-30,Central LA,Los Angeles - Historic Filipinotown,0,0.0,
2020-03-30,Central LA,Los Angeles - Hollywood,49,75.45,
2020-03-30,Central LA,Los Angeles - Hollywood Hills,26,90.04,
2020-03-30,South LA,Los Angeles - Hyde Park,6,20.42,
2020-03-30,South LA,Los Angeles - Jefferson Park,0,0.0,
2020-03-30,Central LA,Los Angeles - Koreatown,13,24.71,
2020-03-30,Central LA,Los Angeles - Lafayette Square,,,
2020-03-30,San Fernando Valley,Los Angeles - Lake Balboa,11,26.4,
2020-03-30,San Fernando Valley,Los Angeles - Lakeview Terrace,,,
2020-03-30,South LA,Los Angeles - Leimert Park,,,
2020-03-30,Eastside,Los Angeles - Lincoln Heights,2,6.05,
2020-03-30,Central LA,Los Angeles - Little Armenia,0,0.0,
2020-03-30,Central LA,Los Angeles - Little Bangladesh,5,17.2,
2020-03-30,Central LA,Los Angeles - Little Tokyo,,,
2020-03-30,Central LA,Los Angeles - Longwood,,,
2020-03-30,Central LA,Los Angeles - Los Feliz,11,51.55,
2020-03-30,South LA,Los Angeles - Manchester Square,,,
2020-03-30,Westside,Los Angeles - Mandeville Canyon,,,
2020-03-30,Westside,Los Angeles - Mar Vista,13,31.03,
2020-03-30,Westside,Los Angeles - Marina Peninsula,,,
2020-03-30,Central LA,Los Angeles - Melrose,82,105.62,
2020-03-30,Central LA,Los Angeles - Mid-city,10,66.39,
2020-03-30,Central LA,Los Angeles - Miracle Mile,10,56.6,
2020-03-30,San Fernando Valley,Los Angeles - Mission Hills,6,25.03,
2020-03-30,Northeast LA,Los Angeles - Mt. Washington,,,
2020-03-30,San Fernando Valley,Los Angeles - North Hills,7,11.49,
2020-03-30,San Fernando Valley,Los Angeles - North Hollywood,34,22.46,
2020-03-30,San Fernando Valley,Los Angeles - Northridge,8,11.81,
2020-03-30,Westside,Los Angeles - Pacific Palisades,18,86.94,
2020-03-30,San Fernando Valley,Los Angeles - Pacoima,4,5.0,
2020-03-30,Westside,Los Angeles - Palisades Highlands,,,
2020-03-30,Westside,Los Angeles - Palms,21,46.5,
2020-03-30,San Fernando Valley,Los Angeles - Panorama City,7,9.21,
2020-03-30,Central LA,Los Angeles - Park La Brea,,,
2020-03-30,Central LA,Los Angeles - Pico-Union,5,11.74,
2020-03-30,South Bay,Los Angeles - Playa Del Rey,,,
2020-03-30,Westside,Los Angeles - Playa Vista,5,50.08,
2020-03-30,San Fernando Valley,Los Angeles - Porter Ranch,6,18.07,
2020-03-30,Westside,Los Angeles - Rancho Park,,,
2020-03-30,Central LA,Los Angeles - Regent Square,,,
2020-03-30,San Fernando Valley,Los Angeles - Reseda,20,26.4,
2020-03-30,San Fernando Valley,Los Angeles - Reseda Ranch,,,
2020-03-30,Central LA,Los Angeles - Reynier Village,,,
2020-03-30,Harbor,Los Angeles - San Pedro,11,14.14,
2020-03-30,San Fernando Valley,Los Angeles - Shadow Hills,,,
2020-03-30,San Fernando Valley,Los Angeles - Sherman Oaks,32,37.66,
2020-03-30,Central LA,Los Angeles - Silverlake,18,41.68,
2020-03-30,Central LA,Los Angeles - South Carthay,8,75.5,
2020-03-30,South LA,Los Angeles - South Park,4,10.23,
2020-03-30,Central LA,Los Angeles - St Elmo Village,0,0.0,
2020-03-30,San Fernando Valley,Los Angeles - Studio City,15,70.08,
2020-03-30,San Fernando Valley,Los Angeles - Sun Valley,6,10.87,
2020-03-30,Verdugos,Los Angeles - Sunland,,,
2020-03-30,Central LA,Los Angeles - Sycamore Square,0,0.0,
2020-03-30,San Fernando Valley,Los Angeles - Sylmar,18,21.75,
2020-03-30,San Fernando Valley,Los Angeles - Tarzana,24,79.4,
2020-03-30,Central LA,Los Angeles - Temple-Beaudry,8,20.52,
2020-03-30,Central LA,Los Angeles - Thai Town,,,
2020-03-30,San Fernando Valley,Los Angeles - Toluca Lake,,,
2020-03-30,San Fernando Valley,Los Angeles - Toluca Terrace,0,0.0,
2020-03-30,San Fernando Valley,Los Angeles - Toluca Woods,0,0.0,
2020-03-30,Verdugos,Los Angeles - Tujunga,4,14.2,
2020-03-30,Eastside,Los Angeles - University Hills,0,0.0,
2020-03-30,South LA,Los Angeles - University Park,6,22.29,
2020-03-30,San Fernando Valley,Los Angeles - Valley Glen,4,13.4,
2020-03-30,San Fernando Valley,Los Angeles - Valley Village,19,81.1,
2020-03-30,San Fernando Valley,Los Angeles - Van Nuys,10,10.77,
2020-03-30,Westside,Los Angeles - Venice,18,52.73,
2020-03-30,South LA,Los Angeles - Vermont Knolls,,,
2020-03-30,South LA,Los Angeles - Vermont Square,,,
2020-03-30,South LA,Los Angeles - Vermont Vista,5,12.0,
2020-03-30,South LA,Los Angeles - Vernon Central,4,7.39,
2020-03-30,Central LA,Los Angeles - Victoria Park,,,
2020-03-30,South LA,Los Angeles - View Heights,,,
2020-03-30,South LA,Los Angeles - Watts,2,4.55,
2020-03-30,Central LA,Los Angeles - Wellington Square,0,0.0,
2020-03-30,South LA,Los Angeles - West Adams,9,32.0,
2020-03-30,San Fernando Valley,Los Angeles - West Hills,7,17.89,
2020-03-30,Westside,Los Angeles - West Los Angeles,19,50.68,
2020-03-30,South LA,Los Angeles - West Vernon,9,16.57,
2020-03-30,South Bay,Los Angeles - Westchester,17,33.47,
2020-03-30,Central LA,Los Angeles - Westlake,7,11.93,
2020-03-30,Westside,Los Angeles - Westwood,26,47.78,
2020-03-30,Central LA,Los Angeles - Wholesale District,10,26.18,
2020-03-30,Harbor,Los Angeles - Wilmington,10,17.46,
2020-03-30,Central LA,Los Angeles - Wilshire Center,8,15.55,
2020-03-30,San Fernando Valley,Los Angeles - Winnetka,9,17.63,
2020-03-30,San Fernando Valley,Los Angeles - Woodland Hills,22,34.09,
2020-03-30,Antelope Valley,Unincorporated - Acton,0,0.0,
2020-03-30,Northwest County,Unincorporated - Agua Dulce,0,0.0,
2020-03-30,Verdugos,Unincorporated - Altadena,10,23.55,
2020-03-30,Antelope Valley,Unincorporated - Anaverde,0,0.0,
2020-03-30,Angeles Forest,Unincorporated - Angeles National Forest,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Arcadia,0,0.0,
2020-03-30,South LA,Unincorporated - Athens-Westmont,7,16.81,
2020-03-30,South LA,Unincorporated - Athens Village,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Avocado Heights,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Azusa,0,0.0,
2020-03-30,Eastside,Unincorporated - Bandini Islands,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Bassett,0,0.0,
2020-03-30,Northwest County,Unincorporated - Bouquet Canyon,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Bradbury,0,0.0,
2020-03-30,Northwest County,Unincorporated - Canyon Country,,,
2020-03-30,Northwest County,Unincorporated - Castaic,3,10.59,
2020-03-30,Southeast,Unincorporated - Cerritos,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Charter Oak,0,0.0,
2020-03-30,Pomona Valley,Unincorporated - Claremont,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Covina,,,
2020-03-30,South Bay,Unincorporated - Del Aire,,,
2020-03-30,Westside,Unincorporated - Del Rey,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - Del Sur,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - Desert View Highlands,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Duarte,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - East Covina,0,0.0,
2020-03-30,Southeast,Unincorporated - East La Mirada,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - East Lancaster,0,0.0,
2020-03-30,Eastside,Unincorporated - East Los Angeles,11,8.66,
2020-03-30,San Gabriel Valley,Unincorporated - East Pasadena,0,0.0,
2020-03-30,Southeast,Unincorporated - East Rancho Dominguez,0,0.0,
2020-03-30,Southeast,Unincorporated - East Whittier,,,
2020-03-30,South Bay,Unincorporated - El Camino Village,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - El Monte,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - Elizabeth Lake,0,0.0,
2020-03-30,South LA,Unincorporated - Florence-Firestone,0,0.0,
2020-03-30,Central LA,Unincorporated - Franklin Canyon,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Glendora,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Hacienda Heights,2,3.66,
2020-03-30,Harbor,Unincorporated - Harbor Gateway,0,0.0,
2020-03-30,South Bay,Unincorporated - Hawthorne,,,
2020-03-30,Antelope Valley,Unincorporated - Hi Vista,0,0.0,
2020-03-30,Angeles Forest,Unincorporated - Kagel/Lopez Canyons,0,0.0,
2020-03-30,Verdugos,Unincorporated - La Crescenta-Montrose,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - La Habra Heights,0,0.0,
2020-03-30,Harbor,Unincorporated - La Rambla,,,
2020-03-30,Pomona Valley,Unincorporated - La Verne,,,
2020-03-30,Westside,Unincorporated - Ladera Heights,,,
2020-03-30,Northwest County,Unincorporated - Lake Hughes,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - Lake Los Angeles,0,0.0,
2020-03-30,San Fernando Valley,Unincorporated - Lake Manor,0,0.0,
2020-03-30,Harbor,Unincorporated - Lakewood,0,0.0,
2020-03-30,South Bay,Unincorporated - Lennox,7,29.68,
2020-03-30,Antelope Valley,Unincorporated - Leona Valley,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - Littlerock,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - Littlerock/Juniper Hills,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - Littlerock/Pearblossom,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - Llano,0,0.0,
2020-03-30,Harbor,Unincorporated - Long Beach,0,0.0,
2020-03-30,Southeast,Unincorporated - Lynwood,0,0.0,
2020-03-30,Westside,Unincorporated - Marina del Rey,,,
2020-03-30,Central LA,Unincorporated - Miracle Mile,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Monrovia,,,
2020-03-30,Northwest County,Unincorporated - Newhall,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - North Lancaster,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - North Whittier,,,
2020-03-30,San Gabriel Valley,Unincorporated - Northeast San Gabriel,0,0.0,
2020-03-30,Pomona Valley,Unincorporated - Padua Hills,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - Palmdale,0,0.0,
2020-03-30,South Bay,Unincorporated - Palos Verdes Peninsula,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - Pearblossom/Llano,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Pellissier Village,0,0.0,
2020-03-30,Angeles Forest,Unincorporated - Placerita Canyon,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Pomona,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - Quartz Hill,,,
2020-03-30,Harbor,Unincorporated - Rancho Dominguez,,,
2020-03-30,Antelope Valley,Unincorporated - Roosevelt,0,0.0,
2020-03-30,Southeast,Unincorporated - Rosewood,0,0.0,
2020-03-30,Southeast,Unincorporated - Rosewood/East Gardena,0,0.0,
2020-03-30,Southeast,Unincorporated - Rosewood/West Rancho Dominguez,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Rowland Heights,3,5.9,
2020-03-30,Harbor,Unincorporated - San Clemente Island,0,0.0,
2020-03-30,Northwest County,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - San Jose Hills,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - San Pasqual,0,0.0,
2020-03-30,Angeles Forest,Unincorporated - Sand Canyon,0,0.0,
2020-03-30,Harbor,Unincorporated - Santa Catalina Island,0,0.0,
2020-03-30,Santa Monica Mountains,Unincorporated - Santa Monica Mountains,0,0.0,
2020-03-30,Northwest County,Unincorporated - Saugus,0,0.0,
2020-03-30,Northwest County,Unincorporated - Saugus/Canyon Country,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - South Antelope Valley,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - South Edwards,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - South El Monte,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - South San Gabriel,0,0.0,
2020-03-30,Southeast,Unincorporated - South Whittier,5,8.58,
2020-03-30,Antelope Valley,Unincorporated - Southeast Antelope Valley,0,0.0,
2020-03-30,Northwest County,Unincorporated - Stevenson Ranch,,,
2020-03-30,Antelope Valley,Unincorporated - Sun Village,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Sunrise Village,0,0.0,
2020-03-30,Northwest County,Unincorporated - Twin Lakes/Oat Mountain,0,0.0,
2020-03-30,San Fernando Valley,Unincorporated - Universal City,0,0.0,
2020-03-30,Northwest County,Unincorporated - Val Verde,0,0.0,
2020-03-30,Northwest County,Unincorporated - Valencia,,,
2020-03-30,San Gabriel Valley,Unincorporated - Valinda,,,
2020-03-30,South LA,Unincorporated - View Park/Windsor Hills,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Walnut,0,0.0,
2020-03-30,Southeast,Unincorporated - Walnut Park,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - West Antelope Valley,0,0.0,
2020-03-30,Harbor,Unincorporated - West Carson,8,36.49,
2020-03-30,San Fernando Valley,Unincorporated - West Chatsworth,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - West Puente Valley,0,0.0,
2020-03-30,Harbor,Unincorporated - West Rancho Dominguez,0,0.0,
2020-03-30,Southeast,Unincorporated - West Whittier/Los Nietos,0,0.0,
2020-03-30,South Bay,Unincorporated - Westfield/Academy Hills,0,0.0,
2020-03-30,San Fernando Valley,Unincorporated - Westhills,0,0.0,
2020-03-30,Antelope Valley,Unincorporated - White Fence Farms,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Whittier,0,0.0,
2020-03-30,San Gabriel Valley,Unincorporated - Whittier Narrows,0,0.0,
2020-03-30,South LA,Unincorporated - Willowbrook,2,5.78,
2020-03-30,South Bay,Unincorporated - Wiseburn,,,
2020-03-30,Harbor,City of Long Beach,99,21.11,
2020-03-30,Verdugos,City of Pasadena,10,7.08,
2020-03-31,Santa Monica Mountains,City of Agoura Hills,11,51.97,
2020-03-31,San Gabriel Valley,City of Alhambra,13,14.99,
2020-03-31,San Gabriel Valley,City of Arcadia,10,17.55,
2020-03-31,Southeast,City of Artesia,,,
2020-03-31,Harbor,City of Avalon,0,0.0,
2020-03-31,San Gabriel Valley,City of Azusa,5,10.11,
2020-03-31,San Gabriel Valley,City of Baldwin Park,2,2.69,
2020-03-31,Southeast,City of Bell,12,32.79,
2020-03-31,Southeast,City of Bell Gardens,4,9.34,
2020-03-31,Southeast,City of Bellflower,20,26.3,
2020-03-31,Westside,City of Beverly Hills,35,101.0,
2020-03-31,San Gabriel Valley,City of Bradbury,0,0.0,
2020-03-31,San Fernando Valley,City of Burbank,27,25.79,
2020-03-31,Santa Monica Mountains,City of Calabasas,13,53.76,
2020-03-31,Harbor,City of Carson,39,41.61,
2020-03-31,Southeast,City of Cerritos,6,12.18,
2020-03-31,Pomona Valley,City of Claremont,2,5.54,
2020-03-31,Southeast,City of Commerce,,,
2020-03-31,Southeast,City of Compton,16,15.85,
2020-03-31,San Gabriel Valley,City of Covina,7,14.25,
2020-03-31,Southeast,City of Cudahy,,,
2020-03-31,Westside,City of Culver City,15,37.17,
2020-03-31,San Gabriel Valley,City of Diamond Bar,3,5.25,
2020-03-31,Southeast,City of Downey,31,27.24,
2020-03-31,San Gabriel Valley,City of Duarte,,,
2020-03-31,San Gabriel Valley,City of El Monte,4,3.52,
2020-03-31,South Bay,City of El Segundo,,,
2020-03-31,South Bay,City of Gardena,12,19.78,
2020-03-31,Verdugos,City of Glendale,76,37.7,
2020-03-31,San Gabriel Valley,City of Glendora,7,13.4,
2020-03-31,Harbor,City of Hawaiian Gardens,,,
2020-03-31,South Bay,City of Hawthorne,19,21.65,
2020-03-31,South Bay,City of Hermosa Beach,9,45.66,
2020-03-31,Santa Monica Mountains,City of Hidden Hills,0,0.0,
2020-03-31,Southeast,City of Huntington Park,11,18.48,
2020-03-31,San Gabriel Valley,City of Industry,0,0.0,
2020-03-31,South Bay,City of Inglewood,31,26.64,
2020-03-31,San Gabriel Valley,City of Irwindale,0,0.0,
2020-03-31,Verdugos,City of La Canada Flintridge,8,39.04,
2020-03-31,San Gabriel Valley,City of La Habra Heights,0,0.0,
2020-03-31,Southeast,City of La Mirada,8,16.17,
2020-03-31,San Gabriel Valley,City of La Puente,3,7.43,
2020-03-31,Pomona Valley,City of La Verne,2,6.04,
2020-03-31,Harbor,City of Lakewood,16,20.46,
2020-03-31,Antelope Valley,City of Lancaster,31,19.79,
2020-03-31,South Bay,City of Lawndale,6,17.97,
2020-03-31,South Bay,City of Lomita,,,
2020-03-31,Harbor,City of Long Beach,0,0.0,
2020-03-31,Southeast,City of Lynwood,18,24.93,
2020-03-31,Santa Monica Mountains,City of Malibu,,,
2020-03-31,South Bay,City of Manhattan Beach,40,113.73,
2020-03-31,Southeast,City of Maywood,6,21.33,
2020-03-31,San Gabriel Valley,City of Monrovia,5,13.34,
2020-03-31,Southeast,City of Montebello,5,7.85,
2020-03-31,San Gabriel Valley,City of Monterey Park,7,11.45,
2020-03-31,Southeast,City of Norwalk,21,20.03,
2020-03-31,Antelope Valley,City of Palmdale,14,8.77,
2020-03-31,South Bay,City of Palos Verdes Estates,14,102.44,
2020-03-31,Southeast,City of Paramount,8,14.23,
2020-03-31,Verdugos,City of Pasadena,0,0.0,
2020-03-31,Southeast,City of Pico Rivera,9,14.05,
2020-03-31,Pomona Valley,City of Pomona,10,6.44,
2020-03-31,South Bay,City of Rancho Palos Verdes,13,30.3,
2020-03-31,South Bay,City of Redondo Beach,39,56.26,
2020-03-31,South Bay,City of Rolling Hills,0,0.0,
2020-03-31,South Bay,City of Rolling Hills Estates,,,
2020-03-31,San Gabriel Valley,City of Rosemead,2,3.63,
2020-03-31,San Gabriel Valley,City of San Dimas,4,11.76,
2020-03-31,San Fernando Valley,City of San Fernando,,,
2020-03-31,San Gabriel Valley,City of San Gabriel,6,14.88,
2020-03-31,San Gabriel Valley,City of San Marino,,,
2020-03-31,Northwest County,City of Santa Clarita,48,21.88,
2020-03-31,Southeast,City of Santa Fe Springs,,,
2020-03-31,Westside,City of Santa Monica,49,52.46,
2020-03-31,San Gabriel Valley,City of Sierra Madre,,,
2020-03-31,Harbor,City of Signal Hill,,,
2020-03-31,San Gabriel Valley,City of South El Monte,0,0.0,
2020-03-31,Southeast,City of South Gate,19,19.05,
2020-03-31,San Gabriel Valley,City of South Pasadena,6,23.13,
2020-03-31,San Gabriel Valley,City of Temple City,1,2.74,
2020-03-31,South Bay,City of Torrance,53,36.13,
2020-03-31,Southeast,City of Vernon,0,0.0,
2020-03-31,San Gabriel Valley,City of Walnut,3,9.98,
2020-03-31,San Gabriel Valley,City of West Covina,7,6.5,
