"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"176","Los Angeles - Reseda",758,989,944,40,52,48,8033,10485,9907,76617
"177","Los Angeles - Reseda Ranch",33,712,642,0,0,0,401,8650,8327,4636
"178","Los Angeles - Reynier Village",14,331,347,0,0,0,330,7805,7875,4228
"179","Los Angeles - San Pedro",1022,1310,1303,18,23,21,4804,6156,5955,78038
"180","Los Angeles - Shadow Hills",12,270,311,0,0,0,319,7181,6519,4442
"181","Los Angeles - Sherman Oaks",284,325,328,12,14,11,8367,9589,9473,87254
"182","Los Angeles - Silverlake",221,501,471,14,32,28,4886,11084,10790,44083
"183","Los Angeles - South Carthay",40,378,444,1,9,6,963,9089,9773,10595
"184","Los Angeles - South Park",599,1578,1629,10,26,36,2845,7495,7817,37961
"185","Los Angeles - St Elmo Village",51,1113,1292,6,131,204,569,12413,13204,4584
"186","Los Angeles - Studio City",89,397,389,7,31,28,2548,11355,11028,22440
"187","Los Angeles - Sun Valley",391,745,715,9,17,18,3718,7084,6879,52483
"188","Los Angeles - Sunland",177,867,729,19,93,64,1841,9021,8314,20408
"189","Los Angeles - Sycamore Square",1,155,79,0,0,0,83,12828,11272,647
"190","Los Angeles - Sylmar",1017,1234,1245,49,59,75,7957,9657,9556,82398
"191","Los Angeles - Tarzana",285,923,798,20,65,40,3222,10435,9639,30876
"192","Los Angeles - Temple-Beaudry",417,1056,1012,14,35,40,3154,7988,7403,39482
"193","Los Angeles - Thai Town",39,398,351,0,0,0,758,7728,7175,9809
"194","Los Angeles - Toluca Lake",23,264,267,0,0,0,825,9478,9859,8704
"195","Los Angeles - Toluca Terrace",8,613,706,0,0,0,95,7274,6854,1306
"196","Los Angeles - Toluca Woods",3,161,108,0,0,0,171,9203,9525,1858
"197","Los Angeles - Tujunga",141,507,461,11,40,33,1968,7077,6465,27810
"198","Los Angeles - University Hills",16,467,459,1,29,19,238,6941,7174,3429
"199","Los Angeles - University Park",272,991,1470,4,15,24,1497,5452,6386,27456
"200","Los Angeles - Valley Glen",170,566,537,9,30,30,2147,7153,6847,30016
"201","Los Angeles - Valley Village",253,1023,942,19,77,62,2546,10299,9864,24720
"202","Los Angeles - Van Nuys",947,1016,1026,37,40,52,7277,7808,7738,93194
"203","Los Angeles - Venice",75,221,237,2,6,6,2899,8555,8839,33885
"204","Los Angeles - Vermont Knolls",227,1320,1313,4,23,26,1450,8430,8492,17200
"205","Los Angeles - Vermont Square",107,1397,1371,2,26,24,649,8476,8390,7657
"206","Los Angeles - Vermont Vista",525,1275,1341,9,22,32,3035,7369,7713,41186
"207","Los Angeles - Vernon Central",906,1742,1780,13,25,35,3929,7556,7745,51998
"208","Los Angeles - Victoria Park",68,810,775,2,24,20,580,6906,6730,8399
"209","Los Angeles - View Heights",11,298,268,2,54,42,345,9339,8773,3694
"210","Los Angeles - Watts",468,1097,1205,9,21,35,2955,6925,7401,42674
"211","Los Angeles - Wellington Square",35,712,673,0,0,0,405,8240,8031,4915
"212","Los Angeles - West Adams",308,1115,1092,20,72,79,2986,10807,10444,27630
"213","Los Angeles - West Hills",174,429,386,19,47,28,3549,8753,8385,40545
"214","Los Angeles - West Los Angeles",101,268,249,6,16,18,3803,10105,9451,37636
"215","Los Angeles - West Vernon",669,1247,1249,20,37,44,4713,8786,8809,53644
"216","Los Angeles - Westchester",123,238,224,11,21,18,4077,7901,7458,51603
"217","Los Angeles - Westlake",1018,1715,1791,91,153,176,4639,7816,7906,59355
"218","Los Angeles - Westwood",92,170,180,5,9,9,3686,6812,7173,54109
"219","Los Angeles - Wholesale District",945,2616,2206,8,22,29,5868,16242,14191,36129
"220","Los Angeles - Wilmington",399,706,722,5,9,10,2884,5106,5225,56487
"221","Los Angeles - Wilshire Center",322,642,605,21,42,41,3188,6354,5987,50170
"222","Los Angeles - Winnetka",369,713,670,4,8,9,4735,9143,8758,51786
"223","Los Angeles - Woodland Hills",206,303,278,14,21,14,6561,9641,8969,68055
"224","Unincorporated - Acton",19,238,248,2,25,18,362,4541,4307,7971
"225","Unincorporated - Agua Dulce",9,216,313,0,0,0,199,4786,5209,4158
"226","Unincorporated - Altadena",181,415,419,6,14,12,2560,5869,5704,43620
"227","Unincorporated - Anaverde",2,133,201,0,0,0,59,3912,4428,1508
"228","Unincorporated - Angeles National Forest",2,161,152,0,0,0,33,2651,2428,1245
"229","Unincorporated - Arcadia",12,150,124,1,13,8,509,6378,6097,7981
"230","Unincorporated - Athens Village",48,980,1033,2,41,38,671,13702,13938,4897
"231","Unincorporated - Athens-Westmont",315,742,748,9,21,24,3010,7092,7183,42442
"232","Unincorporated - Avocado Heights",42,620,620,1,15,14,280,4133,4049,6775
"233","Unincorporated - Azusa",100,628,616,2,13,17,803,5043,4904,15923
"234","Unincorporated - Bassett",154,1039,1018,4,27,26,855,5770,5628,14817
"235","Unincorporated - Bouquet Canyon",1,93,82,1,93,82,27,2516,2531,1073
"236","Unincorporated - Canyon Country",39,505,519,0,0,0,559,7233,7797,7728
"237","Unincorporated - Castaic",1719,6322,5759,1,4,5,1232,4531,4595,27191
"238","Unincorporated - Covina",72,428,421,1,6,7,867,5155,4934,16819
"239","Unincorporated - Covina (Charter Oak)",62,472,461,0,0,0,670,5097,4899,13144
"240","Unincorporated - Del Aire",18,410,374,1,23,25,285,6488,5988,4393
"241","Unincorporated - Del Rey",1,314,425,0,0,0,53,16667,26409,318
"242","Unincorporated - Del Sur",2,83,40,1,41,20,91,3768,4205,2415
"243","Unincorporated - Desert View Highlands",6,241,252,1,40,24,120,4813,4677,2493
"244","Unincorporated - Duarte",20,452,444,1,23,17,429,9688,9563,4428
"245","Unincorporated - East La Mirada",23,435,426,0,0,0,226,4271,4120,5292
"246","Unincorporated - East Los Angeles",1657,1323,1344,45,36,43,9081,7249,7301,125269
"247","Unincorporated - East Pasadena",4,62,60,0,0,0,162,2530,2550,6403
"248","Unincorporated - East Rancho Dominguez",111,725,715,2,13,14,849,5546,5626,15308
"249","Unincorporated - East Whittier",15,283,289,0,0,0,212,3995,3909,5306
"250","Unincorporated - El Camino Village",60,683,676,2,23,16,539,6131,6170,8791
"251","Unincorporated - Elizabeth Lake",4,241,226,0,0,0,57,3432,3667,1661
"252","Unincorporated - Florence-Firestone",885,1368,1407,18,28,37,4318,6673,6750,64705
"253","Unincorporated - Glendora",3,455,749,0,0,0,31,4697,5697,660
"254","Unincorporated - Hacienda Heights",216,386,385,3,5,4,2029,3628,3527,55926
"255","Unincorporated - Hawthorne",10,398,366,0,0,0,118,4694,4630,2514
"256","Unincorporated - Hi Vista",1,91,202,0,0,0,21,1913,2138,1098
"257","Unincorporated - Kagel/Lopez Canyons",8,567,675,1,71,113,136,9632,10050,1412
"258","Unincorporated - La Crescenta-Montrose",37,187,197,1,5,3,1175,5934,6076,19801
"259","Unincorporated - La Rambla",42,2024,1569,0,0,0,436,21012,18620,2075
"260","Unincorporated - La Verne",5,245,253,0,0,0,146,7157,6387,2040
"261","Unincorporated - Ladera Heights",25,354,259,1,14,7,807,11413,9833,7071
"262","Unincorporated - Lake Hughes",1,150,192,0,0,0,31,4641,4730,668
"263","Unincorporated - Lake Los Angeles",33,254,262,2,15,25,420,3232,3274,12994
"264","Unincorporated - Lake Manor",4,243,208,0,0,0,121,7365,7163,1643
"265","Unincorporated - Lennox",145,643,654,0,0,0,1145,5079,5110,22542
"266","Unincorporated - Leona Valley",3,171,199,0,0,0,62,3541,3353,1751
"267","Unincorporated - Littlerock",16,398,389,0,0,0,200,4974,4906,4021
"268","Unincorporated - Littlerock/Juniper Hills",2,154,207,0,0,0,67,5166,4618,1297
"269","Unincorporated - Littlerock/Pearblossom",26,728,729,0,0,0,149,4175,4148,3569
"270","Unincorporated - Llano",1,114,109,0,0,0,25,2851,2162,877
"271","Unincorporated - Marina del Rey",17,181,136,1,11,13,605,6429,5269,9411
"272","Unincorporated - Monrovia",23,593,596,0,0,0,209,5385,5294,3881
"273","Unincorporated - Newhall",1,455,461,0,0,0,12,5455,4789,220
"274","Unincorporated - North Lancaster",6,501,464,0,0,0,49,4090,4155,1198
"275","Unincorporated - North Whittier",23,275,271,1,12,11,443,5299,5171,8360
"276","Unincorporated - Northeast San Gabriel",70,291,291,5,21,19,1166,4851,4679,24036
"277","Unincorporated - Palmdale",6,713,761,0,0,0,29,3444,3731,842
"278","Unincorporated - Pearblossom/Llano",4,204,178,0,0,0,59,3016,2981,1956
"279","Unincorporated - Pellissier Village",1,162,195,0,0,0,23,3716,3833,619
"280","Unincorporated - Pomona",4,206,388,1,52,86,23,1187,3142,1938
"281","Unincorporated - Quartz Hill",48,372,326,10,77,56,513,3975,3759,12906
"282","Unincorporated - Rancho Dominguez",21,789,730,1,38,18,210,7892,7457,2661
"283","Unincorporated - Roosevelt",1,107,60,0,0,0,17,1826,1931,931
"284","Unincorporated - Rosewood",8,622,783,0,0,0,99,7698,7708,1286
"285","Unincorporated - Rosewood/East Gardena",1,84,72,0,0,0,90,7544,7556,1193
"286","Unincorporated - Rosewood/West Rancho Dominguez",30,893,952,1,30,30,243,7230,7316,3361
"287","Unincorporated - Rowland Heights",192,376,376,4,8,5,1675,3283,3042,51022
