Date,Region,Cases,New cases,"New cases, 14-day avg",Cases per 100k,"New cases, 14-day avg per 100k"
2020-04-14,Metro,1322,85,69.5,110.9,5.83
2020-04-14,West,820,28,31.9,122.9,4.79
2020-04-14,South,765,58,44.6,72.8,4.25
2020-04-14,East,1013,75,59.1,76.7,4.48
2020-04-14,South Bay,1559,61,77.0,99.3,4.91
2020-04-15,Antelope Valley,234,18,13.1,58.9,3.31
2020-04-15,San Fernando,2725,124,131.1,121.2,5.83
2020-04-15,San Gabriel,957,53,53.7,52.7,2.96
2020-04-15,Metro,1379,57,68.5,115.7,5.75
2020-04-15,West,834,14,29.6,125.0,4.43
2020-04-15,South,812,47,44.7,77.3,4.26
2020-04-15,East,1071,58,58.7,81.1,4.44
2020-04-15,South Bay,1626,67,76.4,103.6,4.86
2020-04-16,Antelope Valley,243,9,13.6,61.2,3.42
2020-04-16,San Fernando,2815,90,128.3,125.2,5.71
2020-04-16,San Gabriel,991,34,53.4,54.6,2.94
2020-04-16,Metro,1435,56,68.6,120.4,5.76
2020-04-16,West,847,13,28.1,126.9,4.22
2020-04-16,South,838,26,43.6,79.8,4.15
2020-04-16,East,1139,68,60.4,86.2,4.57
2020-04-16,South Bay,1684,58,74.6,107.3,4.76
2020-04-17,Antelope Valley,260,17,13.9,65.4,3.51
2020-04-17,San Fernando,2960,145,128.5,131.7,5.72
2020-04-17,San Gabriel,1062,71,56.1,58.5,3.09
2020-04-17,Metro,1498,63,65.9,125.7,5.53
2020-04-17,West,868,21,25.2,130.1,3.78
2020-04-17,South,895,57,44.9,85.2,4.28
2020-04-17,East,1210,71,62.9,91.6,4.76
2020-04-17,South Bay,1777,93,73.8,113.2,4.7
2020-04-18,Antelope Valley,289,29,15.4,72.7,3.87
2020-04-18,San Fernando,3117,157,124.6,138.6,5.54
2020-04-18,San Gabriel,1133,71,57.4,62.4,3.17
2020-04-18,Metro,1602,104,67.9,134.4,5.69
2020-04-18,West,892,24,23.3,133.7,3.49
2020-04-18,South,949,54,45.1,90.3,4.3
2020-04-18,East,1283,73,62.4,97.1,4.72
2020-04-18,South Bay,1866,89,74.2,118.9,4.73
2020-04-19,Antelope Valley,297,8,14.9,74.8,3.76
2020-04-19,San Fernando,3170,53,115.8,141.0,5.15
2020-04-19,San Gabriel,1162,29,53.6,64.0,2.95
2020-04-19,Metro,1648,46,64.9,138.3,5.44
2020-04-19,West,909,17,21.5,136.2,3.22
2020-04-19,South,974,25,42.1,92.7,4.01
2020-04-19,East,1324,41,58.6,100.2,4.43
2020-04-19,South Bay,1925,59,72.0,122.6,4.59
2020-04-20,Antelope Valley,356,59,17.8,89.6,4.48
2020-04-20,San Fernando,3500,330,131.8,155.7,5.86
2020-04-20,San Gabriel,1244,82,55.3,68.6,3.05
2020-04-20,Metro,1845,197,74.4,154.8,6.24
2020-04-20,West,981,72,24.4,147.0,3.66
2020-04-20,South,1127,153,50.4,107.3,4.79
2020-04-20,East,1508,184,68.6,114.2,5.2
2020-04-20,South Bay,2068,143,76.5,131.8,4.87
2020-04-21,Antelope Valley,469,113,25.1,118.1,6.33
2020-04-21,San Fernando,3920,420,150.5,174.4,6.69
2020-04-21,San Gabriel,1416,172,63.9,78.0,3.52
2020-04-21,Metro,2059,214,84.6,172.8,7.1
2020-04-21,West,1047,66,26.6,156.9,3.99
2020-04-21,South,1284,157,57.4,122.2,5.47
2020-04-21,East,1695,187,76.7,128.3,5.81
2020-04-21,South Bay,2258,190,84.7,143.9,5.4
2020-04-22,Antelope Valley,536,67,28.4,134.9,7.16
2020-04-22,San Fernando,4313,393,168.6,191.8,7.5
2020-04-22,San Gabriel,1585,169,73.6,87.4,4.05
2020-04-22,Metro,2224,165,90.9,186.6,7.63
2020-04-22,West,1078,31,26.6,161.6,3.98
2020-04-22,South,1437,153,64.6,136.8,6.15
2020-04-22,East,1838,143,82.6,139.1,6.25
2020-04-22,South Bay,2362,104,85.8,150.5,5.47
2020-04-23,Antelope Valley,586,50,30.7,147.5,7.73
2020-04-23,San Fernando,4583,270,178.6,203.8,7.94
2020-04-23,San Gabriel,1698,113,76.9,93.6,4.24
2020-04-23,Metro,2331,107,93.0,195.6,7.8
2020-04-23,West,1110,32,27.7,166.4,4.15
2020-04-23,South,1577,140,71.1,150.1,6.76
2020-04-23,East,1979,141,87.4,149.8,6.61
2020-04-23,South Bay,2473,111,86.9,157.6,5.54
2020-04-24,Antelope Valley,621,35,32.1,156.3,8.07
2020-04-24,San Fernando,4851,268,189.7,215.8,8.44
2020-04-24,San Gabriel,1810,112,80.1,99.8,4.42
2020-04-24,Metro,2448,117,96.4,205.4,8.09
2020-04-24,West,1133,23,27.1,169.8,4.06
2020-04-24,South,1702,125,77.4,162.0,7.37
2020-04-24,East,2086,107,90.1,157.9,6.82
2020-04-24,South Bay,2571,98,88.6,163.8,5.65
2020-04-25,Antelope Valley,672,51,35.0,169.2,8.81
2020-04-25,San Fernando,4990,139,191.7,221.9,8.53
2020-04-25,San Gabriel,1894,84,81.9,104.4,4.52
2020-04-25,Metro,2517,69,96.5,211.2,8.1
2020-04-25,West,1153,20,27.0,172.8,4.05
2020-04-25,South,1765,63,78.5,168.0,7.47
2020-04-25,East,2155,69,90.4,163.1,6.85
2020-04-25,South Bay,2667,96,89.9,169.9,5.73
2020-04-26,Antelope Valley,687,15,35.1,172.9,8.83
2020-04-26,San Fernando,5098,108,193.6,226.7,8.61
2020-04-26,San Gabriel,1924,30,82.4,106.0,4.54
2020-04-26,Metro,2581,64,98.7,216.6,8.28
2020-04-26,West,1167,14,27.4,174.9,4.11
2020-04-26,South,1804,39,80.5,171.7,7.66
2020-04-26,East,2205,50,92.4,166.9,7.0
2020-04-26,South Bay,2722,55,89.9,173.4,5.72
2020-04-27,Antelope Valley,733,46,37.9,184.5,9.55
2020-04-27,San Fernando,5385,287,209.0,239.5,9.3
2020-04-27,San Gabriel,2033,109,88.4,112.0,4.87
2020-04-27,Metro,2687,106,103.6,225.5,8.69
2020-04-27,West,1187,20,28.2,177.9,4.23
2020-04-27,South,1912,108,86.1,182.0,8.19
2020-04-27,East,2284,79,96.1,172.9,7.28
2020-04-27,South Bay,2819,97,94.4,179.6,6.01
2020-04-28,Antelope Valley,742,9,37.6,186.8,9.46
2020-04-28,San Fernando,5535,150,209.6,246.2,9.32
2020-04-28,San Gabriel,2135,102,87.9,117.7,4.85
2020-04-28,Metro,2763,76,102.9,231.8,8.64
2020-04-28,West,1207,20,27.6,180.9,4.14
2020-04-28,South,1984,72,87.1,188.8,8.29
2020-04-28,East,2365,81,96.6,179.0,7.31
2020-04-28,South Bay,2887,68,94.9,183.9,6.04
2020-04-29,Antelope Valley,777,35,38.8,195.6,9.76
2020-04-29,San Fernando,5908,373,227.4,262.8,10.11
2020-04-29,San Gabriel,2267,132,93.6,124.9,5.16
2020-04-29,Metro,2909,146,109.3,244.1,9.17
2020-04-29,West,1238,31,28.9,185.5,4.32
2020-04-29,South,2110,126,92.7,200.8,8.82
2020-04-29,East,2472,107,100.1,187.1,7.58
2020-04-29,South Bay,3107,220,105.8,198.0,6.74
2020-04-30,Antelope Valley,797,20,39.6,200.6,9.96
2020-04-30,San Fernando,6091,183,234.0,270.9,10.41
2020-04-30,San Gabriel,2329,62,95.6,128.4,5.27
2020-04-30,Metro,3017,108,113.0,253.2,9.48
2020-04-30,West,1256,18,29.2,188.2,4.38
2020-04-30,South,2181,71,95.9,207.6,9.13
2020-04-30,East,2581,109,103.0,195.4,7.8
2020-04-30,South Bay,3344,237,118.6,213.1,7.55
2020-05-01,Antelope Valley,831,34,40.8,209.2,10.27
2020-05-01,San Fernando,6427,336,247.6,285.9,11.01
2020-05-01,San Gabriel,2412,83,96.4,132.9,5.31
2020-05-01,Metro,3191,174,120.9,267.8,10.15
2020-05-01,West,1306,50,31.3,195.7,4.69
2020-05-01,South,2301,120,100.4,219.0,9.56
2020-05-01,East,2712,131,107.3,205.3,8.12
