Date,Area,Region,Cases,Case Rate,CF Outbreak
2020-05-14,Los Angeles - West Vernon,South LA,305,568.56,False
2020-05-14,Los Angeles - Westchester,South Bay,82,158.91,False
2020-05-14,Los Angeles - Westlake,Central LA,456,768.26,False
2020-05-14,Los Angeles - Westwood,Westside,59,109.04,False
2020-05-14,Los Angeles - Wholesale District,Central LA,322,891.25,True
2020-05-14,Los Angeles - Wilmington,Harbor,139,246.07,False
2020-05-14,Los Angeles - Wilshire Center,Central LA,164,326.89,False
2020-05-14,Los Angeles - Winnetka,San Fernando Valley,220,424.83,False
2020-05-14,Los Angeles - Woodland Hills,San Fernando Valley,134,196.9,False
2020-05-14,Unincorporated - Acton,Antelope Valley,9,112.91,False
2020-05-14,Unincorporated - Agua Dulce,Northwest County,3,72.15,False
2020-05-14,Unincorporated - Altadena,Verdugos,115,263.64,False
2020-05-14,Unincorporated - Anaverde,Antelope Valley,1,66.31,False
2020-05-14,Unincorporated - Angeles National Forest,Angeles Forest,0,0.0,False
2020-05-14,Unincorporated - Arcadia,San Gabriel Valley,4,50.12,False
2020-05-14,Unincorporated - Athens-Westmont,South LA,154,362.85,False
2020-05-14,Unincorporated - Athens Village,South LA,20,408.41,False
2020-05-14,Unincorporated - Avocado Heights,San Gabriel Valley,14,206.64,False
2020-05-14,Unincorporated - Azusa,San Gabriel Valley,36,226.09,False
2020-05-14,Unincorporated - Bassett,San Gabriel Valley,44,296.96,False
2020-05-14,Unincorporated - Bouquet Canyon,Northwest County,0,0.0,False
2020-05-14,Unincorporated - Bradbury,San Gabriel Valley,0,0.0,False
2020-05-14,Unincorporated - Canyon Country,Northwest County,30,388.2,False
2020-05-14,Unincorporated - Castaic,Northwest County,253,930.45,True
2020-05-14,Unincorporated - Cerritos,Southeast,0,0.0,False
2020-05-14,Unincorporated - Charter Oak,San Gabriel Valley,0,0.0,False
2020-05-14,Unincorporated - Claremont,Pomona Valley,0,0.0,False
2020-05-14,Unincorporated - Covina,San Gabriel Valley,43,255.66,False
2020-05-14,Unincorporated - Del Aire,South Bay,11,250.4,False
2020-05-14,Unincorporated - Del Rey,Westside,0,0.0,False
2020-05-14,Unincorporated - Del Sur,Antelope Valley,2,82.82,False
2020-05-14,Unincorporated - Desert View Highlands,Antelope Valley,5,200.56,False
2020-05-14,Unincorporated - Duarte,San Gabriel Valley,11,248.42,False
2020-05-14,Unincorporated - East Covina,San Gabriel Valley,0,0.0,False
2020-05-14,Unincorporated - East La Mirada,Southeast,10,188.96,False
2020-05-14,Unincorporated - East Lancaster,Antelope Valley,0,0.0,False
2020-05-14,Unincorporated - East Los Angeles,Eastside,530,423.09,False
2020-05-14,Unincorporated - East Pasadena,San Gabriel Valley,1,15.62,False
2020-05-14,Unincorporated - East Rancho Dominguez,Southeast,28,182.91,False
2020-05-14,Unincorporated - East Whittier,Southeast,6,113.08,False
2020-05-14,Unincorporated - El Camino Village,South Bay,14,159.25,False
2020-05-14,Unincorporated - El Monte,San Gabriel Valley,0,0.0,False
2020-05-14,Unincorporated - Elizabeth Lake,Antelope Valley,3,180.61,False
2020-05-14,Unincorporated - Florence-Firestone,South LA,337,520.83,False
2020-05-14,Unincorporated - Franklin Canyon,Central LA,0,0.0,False
2020-05-14,Unincorporated - Glendora,San Gabriel Valley,2,303.03,False
2020-05-14,Unincorporated - Hacienda Heights,San Gabriel Valley,79,141.26,False
2020-05-14,Unincorporated - Harbor Gateway,Harbor,0,0.0,False
2020-05-14,Unincorporated - Hawthorne,South Bay,4,159.11,False
2020-05-14,Unincorporated - Hi Vista,Antelope Valley,0,0.0,False
2020-05-14,Unincorporated - Kagel/Lopez Canyons,Angeles Forest,4,283.29,False
2020-05-14,Unincorporated - La Crescenta-Montrose,Verdugos,24,121.21,False
2020-05-14,Unincorporated - La Habra Heights,San Gabriel Valley,0,0.0,False
2020-05-14,Unincorporated - La Rambla,Harbor,7,337.35,False
2020-05-14,Unincorporated - La Verne,Pomona Valley,3,147.06,False
2020-05-14,Unincorporated - Ladera Heights,Westside,18,254.56,False
2020-05-14,Unincorporated - Lake Hughes,Northwest County,0,0.0,False
2020-05-14,Unincorporated - Lake Los Angeles,Antelope Valley,26,200.09,False
2020-05-14,Unincorporated - Lake Manor,San Fernando Valley,3,182.59,False
2020-05-14,Unincorporated - Lakewood,Harbor,0,0.0,False
2020-05-14,Unincorporated - Lennox,South Bay,80,354.89,False
2020-05-14,Unincorporated - Leona Valley,Antelope Valley,2,114.22,False
2020-05-14,Unincorporated - Littlerock,Antelope Valley,14,348.17,False
2020-05-14,Unincorporated - Littlerock/Juniper Hills,Antelope Valley,2,154.2,False
2020-05-14,Unincorporated - Littlerock/Pearblossom,Antelope Valley,13,364.25,False
2020-05-14,Unincorporated - Llano,Antelope Valley,1,114.03,False
2020-05-14,Unincorporated - Marina del Rey,Westside,13,138.14,False
2020-05-14,Unincorporated - Miracle Mile,Central LA,0,0.0,False
2020-05-14,Unincorporated - Monrovia,San Gabriel Valley,15,386.5,False
2020-05-14,Unincorporated - Newhall,Northwest County,0,0.0,False
2020-05-14,Unincorporated - North Lancaster,Antelope Valley,4,333.89,False
2020-05-14,Unincorporated - North Whittier,San Gabriel Valley,7,83.73,False
2020-05-14,Unincorporated - Northeast San Gabriel,San Gabriel Valley,24,99.85,False
2020-05-14,Unincorporated - Palmdale,Antelope Valley,4,475.06,False
2020-05-14,Unincorporated - Palos Verdes Peninsula,South Bay,0,0.0,False
2020-05-14,Unincorporated - Pearblossom/Llano,Antelope Valley,2,102.25,False
2020-05-14,Unincorporated - Pellissier Village,San Gabriel Valley,0,0.0,False
2020-05-14,Unincorporated - Placerita Canyon,Angeles Forest,0,0.0,False
2020-05-14,Unincorporated - Pomona,San Gabriel Valley,1,51.6,False
2020-05-14,Unincorporated - Quartz Hill,Antelope Valley,29,224.7,False
2020-05-14,Unincorporated - Rancho Dominguez,Harbor,13,488.54,False
2020-05-14,Unincorporated - Roosevelt,Antelope Valley,0,0.0,False
2020-05-14,Unincorporated - Rosewood,Southeast,5,388.8,False
2020-05-14,Unincorporated - Rosewood/East Gardena,Southeast,0,0.0,False
2020-05-14,Unincorporated - Rosewood/West Rancho Dominguez,Southeast,15,446.3,False
2020-05-14,Unincorporated - Rowland Heights,San Gabriel Valley,79,154.84,False
2020-05-14,Unincorporated - San Clemente Island,Harbor,0,0.0,False
2020-05-14,Unincorporated - San Francisquito Canyon/Bouquet Canyon,Northwest County,0,0.0,False
2020-05-14,Unincorporated - San Jose Hills,San Gabriel Valley,36,178.03,False
2020-05-14,Unincorporated - San Pasqual,San Gabriel Valley,1,49.14,False
2020-05-14,Unincorporated - Sand Canyon,Angeles Forest,0,0.0,False
2020-05-14,Unincorporated - Santa Catalina Island,Harbor,2,749.06,False
2020-05-14,Unincorporated - Santa Monica Mountains,Santa Monica Mountains,20,107.41,False
2020-05-14,Unincorporated - Saugus,Northwest County,4,2580.65,False
2020-05-14,Unincorporated - Saugus/Canyon Country,Northwest County,0,0.0,False
2020-05-14,Unincorporated - South Antelope Valley,Antelope Valley,0,0.0,False
2020-05-14,Unincorporated - South El Monte,San Gabriel Valley,2,111.42,False
2020-05-14,Unincorporated - South San Gabriel,San Gabriel Valley,23,259.95,False
2020-05-14,Unincorporated - South Whittier,Southeast,93,157.04,False
2020-05-14,Unincorporated - Southeast Antelope Valley,Antelope Valley,0,0.0,False
2020-05-14,Unincorporated - Stevenson Ranch,Northwest County,27,128.78,False
2020-05-14,Unincorporated - Sun Village,Antelope Valley,8,132.54,False
2020-05-14,Unincorporated - Sunrise Village,San Gabriel Valley,2,154.32,False
2020-05-14,Unincorporated - Twin Lakes/Oat Mountain,Northwest County,4,241.25,False
2020-05-14,Unincorporated - Val Verde,Northwest County,12,362.65,False
2020-05-14,Unincorporated - Valencia,Northwest County,6,195.31,False
2020-05-14,Unincorporated - Valinda,San Gabriel Valley,41,175.43,False
2020-05-14,Unincorporated - View Park/Windsor Hills,South LA,29,249.25,False
2020-05-14,Unincorporated - Walnut Park,Southeast,64,396.46,False
2020-05-14,Unincorporated - West Antelope Valley,Antelope Valley,2,132.36,False
2020-05-14,Unincorporated - West Carson,Harbor,80,362.22,False
2020-05-14,Unincorporated - West Chatsworth,San Fernando Valley,0,0.0,False
2020-05-14,Unincorporated - West Puente Valley,San Gabriel Valley,29,294.87,False
2020-05-14,Unincorporated - West Rancho Dominguez,Harbor,4,294.33,False
2020-05-14,Unincorporated - West Whittier/Los Nietos,Southeast,77,285.98,False
2020-05-14,Unincorporated - Westfield/Academy Hills,South Bay,0,0.0,False
2020-05-14,Unincorporated - Westhills,San Fernando Valley,0,0.0,False
2020-05-14,Unincorporated - White Fence Farms,Antelope Valley,2,54.3,False
2020-05-14,Unincorporated - Whittier,San Gabriel Valley,6,158.56,False
2020-05-14,Unincorporated - Whittier Narrows,San Gabriel Valley,0,0.0,False
2020-05-14,Unincorporated - Willowbrook,South LA,101,289.29,False
2020-05-14,Unincorporated - Wiseburn,South Bay,9,149.33,False
2020-05-14,City of Long Beach,Harbor,1094,233.32,False
2020-05-14,City of Pasadena,Verdugos,607,429.75,False
2020-05-15,City of Agoura Hills,Santa Monica Mountains,33,158.02,False
2020-05-15,City of Alhambra,San Gabriel Valley,143,164.89,False
2020-05-15,City of Arcadia,San Gabriel Valley,65,112.55,False
2020-05-15,City of Artesia,Southeast,19,113.13,False
2020-05-15,City of Avalon,Harbor,0,0.0,False
2020-05-15,City of Azusa,San Gabriel Valley,114,227.82,False
2020-05-15,City of Baldwin Park,San Gabriel Valley,181,235.77,False
2020-05-15,City of Bell,Southeast,178,489.93,False
2020-05-15,City of Bell Gardens,Southeast,156,362.19,False
2020-05-15,City of Bellflower,Southeast,230,295.88,False
2020-05-15,City of Beverly Hills,Westside,125,362.11,False
2020-05-15,City of Bradbury,San Gabriel Valley,2,187.09,False
2020-05-15,City of Burbank,San Fernando Valley,338,315.36,False
2020-05-15,City of Calabasas,Santa Monica Mountains,50,205.57,False
2020-05-15,City of Carson,Harbor,335,356.97,False
2020-05-15,City of Cerritos,Southeast,83,165.78,False
2020-05-15,City of Claremont,Pomona Valley,30,82.23,False
2020-05-15,City of Commerce,Southeast,22,168.34,False
2020-05-15,City of Compton,Southeast,334,334.32,False
2020-05-15,City of Covina,San Gabriel Valley,118,240.66,False
2020-05-15,City of Cudahy,Southeast,114,468.23,False
2020-05-15,City of Culver City,Westside,123,308.54,False
2020-05-15,City of Diamond Bar,San Gabriel Valley,47,81.72,False
2020-05-15,City of Downey,Southeast,362,316.81,False
2020-05-15,City of Duarte,San Gabriel Valley,95,431.5,False
2020-05-15,City of El Monte,San Gabriel Valley,299,254.97,False
2020-05-15,City of El Segundo,South Bay,31,184.68,False
2020-05-15,City of Gardena,South Bay,204,332.74,False
2020-05-15,City of Glendale,Verdugos,817,395.66,False
2020-05-15,City of Glendora,San Gabriel Valley,86,162.99,False
2020-05-15,City of Hawaiian Gardens,Harbor,20,136.28,False
2020-05-15,City of Hawthorne,South Bay,287,323.25,False
2020-05-15,City of Hermosa Beach,South Bay,25,127.1,False
2020-05-15,City of Hidden Hills,Santa Monica Mountains,1,52.91,False
2020-05-15,City of Huntington Park,Southeast,253,425.32,False
2020-05-15,City of Industry,San Gabriel Valley,10,2288.33,False
2020-05-15,City of Inglewood,South Bay,459,404.11,False
2020-05-15,City of Irwindale,San Gabriel Valley,4,274.16,False
2020-05-15,City of La Canada Flintridge,Verdugos,47,227.13,False
2020-05-15,City of La Habra Heights,San Gabriel Valley,8,146.65,False
2020-05-15,City of La Mirada,Southeast,108,217.75,False
2020-05-15,City of La Puente,San Gabriel Valley,64,157.26,False
2020-05-15,City of La Verne,Pomona Valley,24,72.11,False
2020-05-15,City of Lakewood,Harbor,126,156.79,False
2020-05-15,City of Lancaster,Antelope Valley,453,280.37,True
2020-05-15,City of Lawndale,South Bay,82,243.95,False
2020-05-15,City of Lomita,South Bay,45,217.09,False
2020-05-15,City of Lynwood,Southeast,311,431.66,True
2020-05-15,City of Malibu,Santa Monica Mountains,33,254.61,False
2020-05-15,City of Manhattan Beach,South Bay,74,205.56,False
2020-05-15,City of Maywood,Southeast,123,438.52,False
2020-05-15,City of Monrovia,San Gabriel Valley,114,293.81,False
2020-05-15,City of Montebello,Southeast,241,374.37,False
2020-05-15,City of Monterey Park,San Gabriel Valley,117,187.92,False
2020-05-15,City of Norwalk,Southeast,279,259.24,False
2020-05-15,City of Palmdale,Antelope Valley,543,341.58,False
2020-05-15,City of Palos Verdes Estates,South Bay,40,295.81,False
2020-05-15,City of Paramount,Southeast,195,348.07,False
2020-05-15,City of Pico Rivera,Southeast,298,463.57,False
2020-05-15,City of Pomona,Pomona Valley,286,183.41,False
2020-05-15,City of Rancho Palos Verdes,South Bay,76,177.79,False
2020-05-15,City of Redondo Beach,South Bay,121,176.14,False
2020-05-15,City of Rolling Hills,South Bay,2,103.09,False
2020-05-15,City of Rolling Hills Estates,South Bay,13,160.24,False
2020-05-15,City of Rosemead,San Gabriel Valley,65,117.43,False
2020-05-15,City of San Dimas,San Gabriel Valley,38,110.09,False
2020-05-15,City of San Fernando,San Fernando Valley,150,609.46,False
2020-05-15,City of San Gabriel,San Gabriel Valley,81,197.78,False
2020-05-15,City of San Marino,San Gabriel Valley,18,135.57,False
2020-05-15,City of Santa Clarita,Northwest County,561,254.51,False
2020-05-15,City of Santa Fe Springs,Southeast,36,196.04,False
2020-05-15,City of Santa Monica,Westside,235,254.2,False
2020-05-15,City of Sierra Madre,San Gabriel Valley,8,72.8,False
2020-05-15,City of Signal Hill,Harbor,15,127.15,False
2020-05-15,City of South El Monte,San Gabriel Valley,51,244.19,False
2020-05-15,City of South Gate,Southeast,349,355.56,False
2020-05-15,City of South Pasadena,San Gabriel Valley,109,418.38,False
2020-05-15,City of Temple City,San Gabriel Valley,104,285.28,False
2020-05-15,City of Torrance,South Bay,335,224.43,False
2020-05-15,City of Vernon,Southeast,1,478.47,False
2020-05-15,City of Walnut,San Gabriel Valley,32,104.81,False
2020-05-15,City of West Covina,San Gabriel Valley,199,183.86,False
2020-05-15,City of West Hollywood,Central LA,153,414.06,False
2020-05-15,City of Westlake Village,Santa Monica Mountains,6,71.77,False
2020-05-15,City of Whittier,San Gabriel Valley,205,234.47,False
2020-05-15,Los Angeles,,17432,430.99,False
2020-05-15,Los Angeles - Adams-Normandie,South LA,34,414.53,False
2020-05-15,Los Angeles - Alsace,South LA,38,305.34,False
2020-05-15,Los Angeles - Angeles National Forest,Angeles Forest,0,0.0,False
2020-05-15,Los Angeles - Angelino Heights,Central LA,11,439.65,False
2020-05-15,Los Angeles - Arleta,San Fernando Valley,186,541.17,False
2020-05-15,Los Angeles - Atwater Village,Northeast LA,39,265.92,False
2020-05-15,Los Angeles - Baldwin Hills,South LA,108,346.99,False
2020-05-15,Los Angeles - Bel Air,Westside,33,391.51,False
2020-05-15,Los Angeles - Beverly Crest,Westside,35,279.44,False
2020-05-15,Los Angeles - Beverlywood,Westside,34,258.1,False
2020-05-15,Los Angeles - Boyle Heights,Eastside,374,430.46,True
2020-05-15,Los Angeles - Brentwood,Westside,73,235.83,False
2020-05-15,Los Angeles - Brookside,Central LA,0,0.0,False
2020-05-15,Los Angeles - Cadillac-Corning,Central LA,26,365.12,False
2020-05-15,Los Angeles - Canoga Park,San Fernando Valley,413,632.57,False
2020-05-15,Los Angeles - Carthay,Central LA,71,494.33,False
2020-05-15,Los Angeles - Central,South LA,221,566.78,False
2020-05-15,Los Angeles - Century City,Westside,31,242.34,False
2020-05-15,Los Angeles - Century Palms/Cove,South LA,147,435.35,False
2020-05-15,Los Angeles - Chatsworth,San Fernando Valley,142,383.15,False
2020-05-15,Los Angeles - Cheviot Hills,Westside,19,207.17,False
2020-05-15,Los Angeles - Chinatown,Central LA,14,174.54,False
2020-05-15,Los Angeles - Cloverdale/Cochran,Central LA,46,316.09,False
2020-05-15,Los Angeles - Country Club Park,Central LA,80,527.95,False
2020-05-15,Los Angeles - Crenshaw District,South LA,61,441.1,False
2020-05-15,Los Angeles - Crestview,Central LA,78,686.14,False
2020-05-15,Los Angeles - Del Rey,Westside,61,203.77,False
2020-05-15,Los Angeles - Downtown,Central LA,95,345.37,True
2020-05-15,Los Angeles - Eagle Rock,Northeast LA,140,353.63,False
2020-05-15,Los Angeles - East Hollywood,Central LA,184,628.27,False
2020-05-15,Los Angeles - Echo Park,Central LA,36,252.53,False
2020-05-15,Los Angeles - El Sereno,Eastside,127,303.77,False
2020-05-15,Los Angeles - Elysian Park,Central LA,12,210.08,False
2020-05-15,Los Angeles - Elysian Valley,Northeast LA,37,363.78,False
2020-05-15,Los Angeles - Encino,San Fernando Valley,108,239.09,False
2020-05-15,Los Angeles - Exposition,South LA,6,180.4,False
2020-05-15,Los Angeles - Exposition Park,South LA,194,431.91,False
2020-05-15,Los Angeles - Faircrest Heights,Central LA,4,111.11,False
2020-05-15,Los Angeles - Figueroa Park Square,South LA,25,286.66,False
2020-05-15,Los Angeles - Florence-Firestone,South LA,237,499.53,False
2020-05-15,Los Angeles - Glassell Park,Northeast LA,150,474.62,False
2020-05-15,Los Angeles - Gramercy Place,South LA,47,436.64,False
2020-05-15,Los Angeles - Granada Hills,San Fernando Valley,208,357.44,False
2020-05-15,Los Angeles - Green Meadows,South LA,102,474.31,False
2020-05-15,Los Angeles - Hancock Park,Central LA,72,422.56,False
2020-05-15,Los Angeles - Harbor City,Harbor,63,216.72,False
2020-05-15,Los Angeles - Harbor Gateway,Harbor,100,229.36,False
2020-05-15,Los Angeles - Harbor Pines,Harbor,6,249.07,False
2020-05-15,Los Angeles - Harvard Heights,Central LA,92,510.12,False
2020-05-15,Los Angeles - Harvard Park,South LA,197,519.31,False
2020-05-15,Los Angeles - Highland Park,Northeast LA,132,272.78,False
2020-05-15,Los Angeles - Historic Filipinotown,Central LA,94,677.72,False
2020-05-15,Los Angeles - Hollywood,Central LA,228,334.05,False
2020-05-15,Los Angeles - Hollywood Hills,Central LA,74,251.41,False
2020-05-15,Los Angeles - Hyde Park,South LA,106,371.4,False
2020-05-15,Los Angeles - Jefferson Park,South LA,29,359.22,False
2020-05-15,Los Angeles - Koreatown,Central LA,203,392.7,False
2020-05-15,Los Angeles - Lafayette Square,Central LA,16,350.95,False
2020-05-15,Los Angeles - Lake Balboa,San Fernando Valley,145,343.55,False
2020-05-15,Los Angeles - Lakeview Terrace,San Fernando Valley,80,609.15,False
2020-05-15,Los Angeles - Leimert Park,South LA,44,288.81,False
2020-05-15,Los Angeles - Lincoln Heights,Eastside,169,518.45,False
2020-05-15,Los Angeles - Little Armenia,Central LA,166,2068.54,False
2020-05-15,Los Angeles - Little Bangladesh,Central LA,104,366.93,False
2020-05-15,Los Angeles - Little Tokyo,Central LA,10,319.18,False
2020-05-15,Los Angeles - Longwood,Central LA,17,394.98,False
2020-05-15,Los Angeles - Los Feliz,Central LA,44,203.63,False
2020-05-15,Los Angeles - Manchester Square,South LA,18,210.87,False
2020-05-15,Los Angeles - Mandeville Canyon,Westside,1,32.01,False
2020-05-15,Los Angeles - Mar Vista,Westside,68,160.11,False
2020-05-15,Los Angeles - Marina Peninsula,Westside,9,206.42,False
2020-05-15,Los Angeles - Melrose,Central LA,448,576.61,False
2020-05-15,Los Angeles - Mid-city,Central LA,44,292.75,False
2020-05-15,Los Angeles - Miracle Mile,Central LA,39,216.85,False
2020-05-15,Los Angeles - Mission Hills,San Fernando Valley,114,472.56,False
2020-05-15,Los Angeles - Mt. Washington,Northeast LA,67,277.49,False
2020-05-15,Los Angeles - North Hills,San Fernando Valley,300,487.21,False
2020-05-15,Los Angeles - North Hollywood,San Fernando Valley,539,355.96,False
2020-05-15,Los Angeles - Northridge,San Fernando Valley,240,343.85,False
2020-05-15,Los Angeles - Pacific Palisades,Westside,41,192.57,False
2020-05-15,Los Angeles - Pacoima,San Fernando Valley,485,630.04,False
2020-05-15,Los Angeles - Palisades Highlands,Westside,3,78.0,False
2020-05-15,Los Angeles - Palms,Westside,165,376.05,False
2020-05-15,Los Angeles - Panorama City,San Fernando Valley,530,704.32,False
2020-05-15,Los Angeles - Park La Brea,Central LA,15,110.46,False
2020-05-15,Los Angeles - Pico-Union,Central LA,413,987.05,False
2020-05-15,Los Angeles - Playa Del Rey,South Bay,2,62.58,False
2020-05-15,Los Angeles - Playa Vista,Westside,22,200.97,False
2020-05-15,Los Angeles - Porter Ranch,San Fernando Valley,68,191.08,False
2020-05-15,Los Angeles - Rancho Park,Westside,12,182.93,False
2020-05-15,Los Angeles - Regent Square,Central LA,3,107.91,False
2020-05-15,Los Angeles - Reseda,San Fernando Valley,372,485.53,False
2020-05-15,Los Angeles - Reseda Ranch,San Fernando Valley,25,539.26,False
2020-05-15,Los Angeles - Reynier Village,Central LA,9,212.87,False
2020-05-15,Los Angeles - San Pedro,Harbor,782,1002.08,True
2020-05-15,Los Angeles - Shadow Hills,San Fernando Valley,9,202.61,False
2020-05-15,Los Angeles - Sherman Oaks,San Fernando Valley,194,222.34,False
2020-05-15,Los Angeles - Silverlake,Central LA,153,347.07,False
2020-05-15,Los Angeles - South Carthay,Central LA,27,254.84,False
2020-05-15,Los Angeles - South Park,South LA,196,516.32,False
2020-05-15,Los Angeles - St Elmo Village,Central LA,35,763.53,False
2020-05-15,Los Angeles - Studio City,San Fernando Valley,66,294.12,False
2020-05-15,Los Angeles - Sun Valley,San Fernando Valley,222,422.99,False
2020-05-15,Los Angeles - Sunland,Verdugos,116,568.4,False
2020-05-15,Los Angeles - Sycamore Square,Central LA,1,154.56,False
2020-05-15,Los Angeles - Sylmar,San Fernando Valley,573,695.41,True
2020-05-15,Los Angeles - Tarzana,San Fernando Valley,102,330.35,False
2020-05-15,Los Angeles - Temple-Beaudry,Central LA,228,577.48,False
2020-05-15,Los Angeles - Thai Town,Central LA,24,244.67,False
2020-05-15,Los Angeles - Toluca Lake,San Fernando Valley,16,183.82,False
2020-05-15,Los Angeles - Toluca Terrace,San Fernando Valley,4,306.28,False
2020-05-15,Los Angeles - Toluca Woods,San Fernando Valley,3,161.46,False
2020-05-15,Los Angeles - Tujunga,Verdugos,96,345.2,False
2020-05-15,Los Angeles - University Hills,Eastside,9,262.47,False
2020-05-15,Los Angeles - University Park,South LA,126,458.92,False
2020-05-15,Los Angeles - Valley Glen,San Fernando Valley,106,353.14,False
2020-05-15,Los Angeles - Valley Village,San Fernando Valley,175,707.93,False
2020-05-15,Los Angeles - Van Nuys,San Fernando Valley,515,552.61,False
2020-05-15,Los Angeles - Venice,Westside,58,171.17,False
2020-05-15,Los Angeles - Vermont Knolls,South LA,93,540.7,False
2020-05-15,Los Angeles - Vermont Square,South LA,65,848.9,False
2020-05-15,Los Angeles - Vermont Vista,South LA,203,492.89,False
2020-05-15,Los Angeles - Vernon Central,South LA,357,686.56,False
2020-05-15,Los Angeles - Victoria Park,Central LA,45,535.78,False
2020-05-15,Los Angeles - View Heights,South LA,8,216.57,False
2020-05-15,Los Angeles - Watts,South LA,163,381.97,False
2020-05-15,Los Angeles - Wellington Square,Central LA,17,345.88,False
2020-05-15,Los Angeles - West Adams,South LA,158,571.84,False
2020-05-15,Los Angeles - West Hills,San Fernando Valley,102,251.57,False
2020-05-15,Los Angeles - West Los Angeles,Westside,63,167.39,False
2020-05-15,Los Angeles - West Vernon,South LA,321,598.39,False
2020-05-15,Los Angeles - Westchester,South Bay,82,158.91,False
2020-05-15,Los Angeles - Westlake,Central LA,469,790.16,False
2020-05-15,Los Angeles - Westwood,Westside,60,110.89,False
2020-05-15,Los Angeles - Wholesale District,Central LA,340,941.07,True
2020-05-15,Los Angeles - Wilmington,Harbor,143,253.16,False
2020-05-15,Los Angeles - Wilshire Center,Central LA,169,336.85,False
2020-05-15,Los Angeles - Winnetka,San Fernando Valley,225,434.48,False
2020-05-15,Los Angeles - Woodland Hills,San Fernando Valley,136,199.84,False
2020-05-15,Unincorporated - Acton,Antelope Valley,9,112.91,False
2020-05-15,Unincorporated - Agua Dulce,Northwest County,4,96.2,False
2020-05-15,Unincorporated - Altadena,Verdugos,121,277.4,False
2020-05-15,Unincorporated - Anaverde,Antelope Valley,1,66.31,False
2020-05-15,Unincorporated - Angeles National Forest,Angeles Forest,0,0.0,False
2020-05-15,Unincorporated - Arcadia,San Gabriel Valley,4,50.12,False
2020-05-15,Unincorporated - Athens-Westmont,South LA,160,376.99,False
2020-05-15,Unincorporated - Athens Village,South LA,20,408.41,False
2020-05-15,Unincorporated - Avocado Heights,San Gabriel Valley,14,206.64,False
2020-05-15,Unincorporated - Azusa,San Gabriel Valley,37,232.37,False
2020-05-15,Unincorporated - Bassett,San Gabriel Valley,44,296.96,False
2020-05-15,Unincorporated - Bouquet Canyon,Northwest County,0,0.0,False
2020-05-15,Unincorporated - Bradbury,San Gabriel Valley,0,0.0,False
2020-05-15,Unincorporated - Canyon Country,Northwest County,31,401.14,False
2020-05-15,Unincorporated - Castaic,Northwest County,263,967.23,True
2020-05-15,Unincorporated - Cerritos,Southeast,0,0.0,False
2020-05-15,Unincorporated - Charter Oak,San Gabriel Valley,0,0.0,False
2020-05-15,Unincorporated - Claremont,Pomona Valley,0,0.0,False
2020-05-15,Unincorporated - Covina,San Gabriel Valley,43,255.66,False
2020-05-15,Unincorporated - Del Aire,South Bay,12,273.16,False
2020-05-15,Unincorporated - Del Rey,Westside,0,0.0,False
2020-05-15,Unincorporated - Del Sur,Antelope Valley,2,82.82,False
2020-05-15,Unincorporated - Desert View Highlands,Antelope Valley,5,200.56,False
2020-05-15,Unincorporated - Duarte,San Gabriel Valley,13,293.59,False
2020-05-15,Unincorporated - East Covina,San Gabriel Valley,0,0.0,False
2020-05-15,Unincorporated - East La Mirada,Southeast,10,188.96,False
2020-05-15,Unincorporated - East Lancaster,Antelope Valley,0,0.0,False
2020-05-15,Unincorporated - East Los Angeles,Eastside,540,431.07,False
2020-05-15,Unincorporated - East Pasadena,San Gabriel Valley,1,15.62,False
2020-05-15,Unincorporated - East Rancho Dominguez,Southeast,30,195.98,False
2020-05-15,Unincorporated - East Whittier,Southeast,6,113.08,False
2020-05-15,Unincorporated - El Camino Village,South Bay,14,159.25,False
2020-05-15,Unincorporated - El Monte,San Gabriel Valley,0,0.0,False
2020-05-15,Unincorporated - Elizabeth Lake,Antelope Valley,3,180.61,False
2020-05-15,Unincorporated - Florence-Firestone,South LA,346,534.73,False
2020-05-15,Unincorporated - Franklin Canyon,Central LA,0,0.0,False
2020-05-15,Unincorporated - Glendora,San Gabriel Valley,2,303.03,False
2020-05-15,Unincorporated - Hacienda Heights,San Gabriel Valley,80,143.05,False
2020-05-15,Unincorporated - Harbor Gateway,Harbor,0,0.0,False
2020-05-15,Unincorporated - Hawthorne,South Bay,4,159.11,False
2020-05-15,Unincorporated - Hi Vista,Antelope Valley,0,0.0,False
2020-05-15,Unincorporated - Kagel/Lopez Canyons,Angeles Forest,4,283.29,False
2020-05-15,Unincorporated - La Crescenta-Montrose,Verdugos,24,121.21,False
2020-05-15,Unincorporated - La Habra Heights,San Gabriel Valley,0,0.0,False
2020-05-15,Unincorporated - La Rambla,Harbor,7,337.35,False
2020-05-15,Unincorporated - La Verne,Pomona Valley,3,147.06,False
2020-05-15,Unincorporated - Ladera Heights,Westside,18,254.56,False
2020-05-15,Unincorporated - Lake Hughes,Northwest County,0,0.0,False
2020-05-15,Unincorporated - Lake Los Angeles,Antelope Valley,26,200.09,False
2020-05-15,Unincorporated - Lake Manor,San Fernando Valley,3,182.59,False
2020-05-15,Unincorporated - Lakewood,Harbor,0,0.0,False
2020-05-15,Unincorporated - Lennox,South Bay,80,354.89,False
2020-05-15,Unincorporated - Leona Valley,Antelope Valley,2,114.22,False
2020-05-15,Unincorporated - Littlerock,Antelope Valley,14,348.17,False
