Date,Area,Region,Cases,Case Rate,CF Outbreak
2020-03-30,Los Angeles - Chatsworth,San Fernando Valley,10,27.75,
2020-03-30,Los Angeles - Cheviot Hills,Westside,5,53.97,
2020-03-30,Los Angeles - Chinatown,Central LA,0,0.0,
2020-03-30,Los Angeles - Cloverdale/Cochran,Central LA,,,
2020-03-30,Los Angeles - Country Club Park,Central LA,,,
2020-03-30,Los Angeles - Crenshaw District,South LA,,,
2020-03-30,Los Angeles - Crestview,Central LA,13,113.58,
2020-03-30,Los Angeles - Del Rey,Westside,14,47.85,
2020-03-30,Los Angeles - Downtown,Central LA,11,45.36,
2020-03-30,Los Angeles - Eagle Rock,Northeast LA,8,20.42,
2020-03-30,Los Angeles - East Hollywood,Central LA,10,33.57,
2020-03-30,Los Angeles - Echo Park,Central LA,5,34.85,
2020-03-30,Los Angeles - El Sereno,Eastside,3,7.19,
2020-03-30,Los Angeles - Elysian Park,Central LA,,,
2020-03-30,Los Angeles - Elysian Valley,Northeast LA,,,
2020-03-30,Los Angeles - Encino,San Fernando Valley,29,68.18,
2020-03-30,Los Angeles - Exposition,South LA,0,0.0,
2020-03-30,Los Angeles - Exposition Park,South LA,4,8.85,
2020-03-30,Los Angeles - Faircrest Heights,Central LA,0,0.0,
2020-03-30,Los Angeles - Figueroa Park Square,South LA,0,0.0,
2020-03-30,Los Angeles - Florence-Firestone,South LA,7,14.33,
2020-03-30,Los Angeles - Glassell Park,Northeast LA,8,25.49,
2020-03-30,Los Angeles - Gramercy Place,South LA,,,
2020-03-30,Los Angeles - Granada Hills,San Fernando Valley,9,15.52,
2020-03-30,Los Angeles - Green Meadows,South LA,,,
2020-03-30,Los Angeles - Hancock Park,Central LA,26,158.3,
2020-03-30,Los Angeles - Harbor City,Harbor,4,13.81,
2020-03-30,Los Angeles - Harbor Gateway,Harbor,6,13.73,
2020-03-30,Los Angeles - Harbor Pines,Harbor,0,0.0,
2020-03-30,Los Angeles - Harvard Heights,Central LA,,,
2020-03-30,Los Angeles - Harvard Park,South LA,3,7.57,
2020-03-30,Los Angeles - Highland Park,Northeast LA,9,18.68,
2020-03-30,Los Angeles - Historic Filipinotown,Central LA,0,0.0,
2020-03-30,Los Angeles - Hollywood,Central LA,49,75.45,
2020-03-30,Los Angeles - Hollywood Hills,Central LA,26,90.04,
2020-03-30,Los Angeles - Hyde Park,South LA,6,20.42,
2020-03-30,Los Angeles - Jefferson Park,South LA,0,0.0,
2020-03-30,Los Angeles - Koreatown,Central LA,13,24.71,
2020-03-30,Los Angeles - Lafayette Square,Central LA,,,
2020-03-30,Los Angeles - Lake Balboa,San Fernando Valley,11,26.4,
2020-03-30,Los Angeles - Lakeview Terrace,San Fernando Valley,,,
2020-03-30,Los Angeles - Leimert Park,South LA,,,
2020-03-30,Los Angeles - Lincoln Heights,Eastside,2,6.05,
2020-03-30,Los Angeles - Little Armenia,Central LA,0,0.0,
2020-03-30,Los Angeles - Little Bangladesh,Central LA,5,17.2,
2020-03-30,Los Angeles - Little Tokyo,Central LA,,,
2020-03-30,Los Angeles - Longwood,Central LA,,,
2020-03-30,Los Angeles - Los Feliz,Central LA,11,51.55,
2020-03-30,Los Angeles - Manchester Square,South LA,,,
2020-03-30,Los Angeles - Mandeville Canyon,Westside,,,
2020-03-30,Los Angeles - Mar Vista,Westside,13,31.03,
2020-03-30,Los Angeles - Marina Peninsula,Westside,,,
2020-03-30,Los Angeles - Melrose,Central LA,82,105.62,
2020-03-30,Los Angeles - Mid-city,Central LA,10,66.39,
2020-03-30,Los Angeles - Miracle Mile,Central LA,10,56.6,
2020-03-30,Los Angeles - Mission Hills,San Fernando Valley,6,25.03,
2020-03-30,Los Angeles - Mt. Washington,Northeast LA,,,
2020-03-30,Los Angeles - North Hills,San Fernando Valley,7,11.49,
2020-03-30,Los Angeles - North Hollywood,San Fernando Valley,34,22.46,
2020-03-30,Los Angeles - Northridge,San Fernando Valley,8,11.81,
2020-03-30,Los Angeles - Pacific Palisades,Westside,18,86.94,
2020-03-30,Los Angeles - Pacoima,San Fernando Valley,4,5.0,
2020-03-30,Los Angeles - Palisades Highlands,Westside,,,
2020-03-30,Los Angeles - Palms,Westside,21,46.5,
2020-03-30,Los Angeles - Panorama City,San Fernando Valley,7,9.21,
2020-03-30,Los Angeles - Park La Brea,Central LA,,,
2020-03-30,Los Angeles - Pico-Union,Central LA,5,11.74,
2020-03-30,Los Angeles - Playa Del Rey,South Bay,,,
2020-03-30,Los Angeles - Playa Vista,Westside,5,50.08,
2020-03-30,Los Angeles - Porter Ranch,San Fernando Valley,6,18.07,
2020-03-30,Los Angeles - Rancho Park,Westside,,,
2020-03-30,Los Angeles - Regent Square,Central LA,,,
2020-03-30,Los Angeles - Reseda,San Fernando Valley,20,26.4,
2020-03-30,Los Angeles - Reseda Ranch,San Fernando Valley,,,
2020-03-30,Los Angeles - Reynier Village,Central LA,,,
2020-03-30,Los Angeles - San Pedro,Harbor,11,14.14,
2020-03-30,Los Angeles - Shadow Hills,San Fernando Valley,,,
2020-03-30,Los Angeles - Sherman Oaks,San Fernando Valley,32,37.66,
2020-03-30,Los Angeles - Silverlake,Central LA,18,41.68,
2020-03-30,Los Angeles - South Carthay,Central LA,8,75.5,
2020-03-30,Los Angeles - South Park,South LA,4,10.23,
2020-03-30,Los Angeles - St Elmo Village,Central LA,0,0.0,
2020-03-30,Los Angeles - Studio City,San Fernando Valley,15,70.08,
2020-03-30,Los Angeles - Sun Valley,San Fernando Valley,6,10.87,
2020-03-30,Los Angeles - Sunland,Verdugos,,,
2020-03-30,Los Angeles - Sycamore Square,Central LA,0,0.0,
2020-03-30,Los Angeles - Sylmar,San Fernando Valley,18,21.75,
2020-03-30,Los Angeles - Tarzana,San Fernando Valley,24,79.4,
2020-03-30,Los Angeles - Temple-Beaudry,Central LA,8,20.52,
2020-03-30,Los Angeles - Thai Town,Central LA,,,
2020-03-30,Los Angeles - Toluca Lake,San Fernando Valley,,,
2020-03-30,Los Angeles - Toluca Terrace,San Fernando Valley,0,0.0,
2020-03-30,Los Angeles - Toluca Woods,San Fernando Valley,0,0.0,
2020-03-30,Los Angeles - Tujunga,Verdugos,4,14.2,
2020-03-30,Los Angeles - University Hills,Eastside,0,0.0,
2020-03-30,Los Angeles - University Park,South LA,6,22.29,
2020-03-30,Los Angeles - Valley Glen,San Fernando Valley,4,13.4,
2020-03-30,Los Angeles - Valley Village,San Fernando Valley,19,81.1,
2020-03-30,Los Angeles - Van Nuys,San Fernando Valley,10,10.77,
2020-03-30,Los Angeles - Venice,Westside,18,52.73,
2020-03-30,Los Angeles - Vermont Knolls,South LA,,,
2020-03-30,Los Angeles - Vermont Square,South LA,,,
2020-03-30,Los Angeles - Vermont Vista,South LA,5,12.0,
2020-03-30,Los Angeles - Vernon Central,South LA,4,7.39,
2020-03-30,Los Angeles - Victoria Park,Central LA,,,
2020-03-30,Los Angeles - View Heights,South LA,,,
2020-03-30,Los Angeles - Watts,South LA,2,4.55,
2020-03-30,Los Angeles - Wellington Square,Central LA,0,0.0,
2020-03-30,Los Angeles - West Adams,South LA,9,32.0,
2020-03-30,Los Angeles - West Hills,San Fernando Valley,7,17.89,
2020-03-30,Los Angeles - West Los Angeles,Westside,19,50.68,
2020-03-30,Los Angeles - West Vernon,South LA,9,16.57,
2020-03-30,Los Angeles - Westchester,South Bay,17,33.47,
2020-03-30,Los Angeles - Westlake,Central LA,7,11.93,
2020-03-30,Los Angeles - Westwood,Westside,26,47.78,
2020-03-30,Los Angeles - Wholesale District,Central LA,10,26.18,
2020-03-30,Los Angeles - Wilmington,Harbor,10,17.46,
2020-03-30,Los Angeles - Wilshire Center,Central LA,8,15.55,
2020-03-30,Los Angeles - Winnetka,San Fernando Valley,9,17.63,
2020-03-30,Los Angeles - Woodland Hills,San Fernando Valley,22,34.09,
2020-03-30,Unincorporated - Acton,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Agua Dulce,Northwest County,0,0.0,
2020-03-30,Unincorporated - Altadena,Verdugos,10,23.55,
2020-03-30,Unincorporated - Anaverde,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Angeles National Forest,Angeles Forest,0,0.0,
2020-03-30,Unincorporated - Arcadia,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Athens-Westmont,South LA,7,16.81,
2020-03-30,Unincorporated - Athens Village,South LA,0,0.0,
2020-03-30,Unincorporated - Avocado Heights,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Azusa,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Bandini Islands,Eastside,0,0.0,
2020-03-30,Unincorporated - Bassett,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Bouquet Canyon,Northwest County,0,0.0,
2020-03-30,Unincorporated - Bradbury,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Canyon Country,Northwest County,,,
2020-03-30,Unincorporated - Castaic,Northwest County,3,10.59,
2020-03-30,Unincorporated - Cerritos,Southeast,0,0.0,
2020-03-30,Unincorporated - Charter Oak,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Claremont,Pomona Valley,0,0.0,
2020-03-30,Unincorporated - Covina,San Gabriel Valley,,,
2020-03-30,Unincorporated - Del Aire,South Bay,,,
2020-03-30,Unincorporated - Del Rey,Westside,0,0.0,
2020-03-30,Unincorporated - Del Sur,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Desert View Highlands,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Duarte,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - East Covina,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - East La Mirada,Southeast,0,0.0,
2020-03-30,Unincorporated - East Lancaster,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - East Los Angeles,Eastside,11,8.66,
2020-03-30,Unincorporated - East Pasadena,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - East Rancho Dominguez,Southeast,0,0.0,
2020-03-30,Unincorporated - East Whittier,Southeast,,,
2020-03-30,Unincorporated - El Camino Village,South Bay,0,0.0,
2020-03-30,Unincorporated - El Monte,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Elizabeth Lake,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Florence-Firestone,South LA,0,0.0,
2020-03-30,Unincorporated - Franklin Canyon,Central LA,0,0.0,
2020-03-30,Unincorporated - Glendora,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Hacienda Heights,San Gabriel Valley,2,3.66,
2020-03-30,Unincorporated - Harbor Gateway,Harbor,0,0.0,
2020-03-30,Unincorporated - Hawthorne,South Bay,,,
2020-03-30,Unincorporated - Hi Vista,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Kagel/Lopez Canyons,Angeles Forest,0,0.0,
2020-03-30,Unincorporated - La Crescenta-Montrose,Verdugos,0,0.0,
2020-03-30,Unincorporated - La Habra Heights,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - La Rambla,Harbor,,,
2020-03-30,Unincorporated - La Verne,Pomona Valley,,,
2020-03-30,Unincorporated - Ladera Heights,Westside,,,
2020-03-30,Unincorporated - Lake Hughes,Northwest County,0,0.0,
2020-03-30,Unincorporated - Lake Los Angeles,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Lake Manor,San Fernando Valley,0,0.0,
2020-03-30,Unincorporated - Lakewood,Harbor,0,0.0,
2020-03-30,Unincorporated - Lennox,South Bay,7,29.68,
2020-03-30,Unincorporated - Leona Valley,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Littlerock,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Littlerock/Juniper Hills,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Littlerock/Pearblossom,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Llano,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Long Beach,Harbor,0,0.0,
2020-03-30,Unincorporated - Lynwood,Southeast,0,0.0,
2020-03-30,Unincorporated - Marina del Rey,Westside,,,
2020-03-30,Unincorporated - Miracle Mile,Central LA,0,0.0,
2020-03-30,Unincorporated - Monrovia,San Gabriel Valley,,,
2020-03-30,Unincorporated - Newhall,Northwest County,0,0.0,
2020-03-30,Unincorporated - North Lancaster,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - North Whittier,San Gabriel Valley,,,
2020-03-30,Unincorporated - Northeast San Gabriel,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Padua Hills,Pomona Valley,0,0.0,
2020-03-30,Unincorporated - Palmdale,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Palos Verdes Peninsula,South Bay,0,0.0,
2020-03-30,Unincorporated - Pearblossom/Llano,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Pellissier Village,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Placerita Canyon,Angeles Forest,0,0.0,
2020-03-30,Unincorporated - Pomona,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Quartz Hill,Antelope Valley,,,
2020-03-30,Unincorporated - Rancho Dominguez,Harbor,,,
2020-03-30,Unincorporated - Roosevelt,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Rosewood,Southeast,0,0.0,
2020-03-30,Unincorporated - Rosewood/East Gardena,Southeast,0,0.0,
2020-03-30,Unincorporated - Rosewood/West Rancho Dominguez,Southeast,0,0.0,
2020-03-30,Unincorporated - Rowland Heights,San Gabriel Valley,3,5.9,
2020-03-30,Unincorporated - San Clemente Island,Harbor,0,0.0,
2020-03-30,Unincorporated - San Francisquito Canyon/Bouquet Canyon,Northwest County,0,0.0,
2020-03-30,Unincorporated - San Jose Hills,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - San Pasqual,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Sand Canyon,Angeles Forest,0,0.0,
2020-03-30,Unincorporated - Santa Catalina Island,Harbor,0,0.0,
2020-03-30,Unincorporated - Santa Monica Mountains,Santa Monica Mountains,0,0.0,
2020-03-30,Unincorporated - Saugus,Northwest County,0,0.0,
2020-03-30,Unincorporated - Saugus/Canyon Country,Northwest County,0,0.0,
2020-03-30,Unincorporated - South Antelope Valley,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - South Edwards,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - South El Monte,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - South San Gabriel,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - South Whittier,Southeast,5,8.58,
2020-03-30,Unincorporated - Southeast Antelope Valley,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Stevenson Ranch,Northwest County,,,
2020-03-30,Unincorporated - Sun Village,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Sunrise Village,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Twin Lakes/Oat Mountain,Northwest County,0,0.0,
2020-03-30,Unincorporated - Universal City,San Fernando Valley,0,0.0,
2020-03-30,Unincorporated - Val Verde,Northwest County,0,0.0,
2020-03-30,Unincorporated - Valencia,Northwest County,,,
2020-03-30,Unincorporated - Valinda,San Gabriel Valley,,,
2020-03-30,Unincorporated - View Park/Windsor Hills,South LA,0,0.0,
2020-03-30,Unincorporated - Walnut,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Walnut Park,Southeast,0,0.0,
2020-03-30,Unincorporated - West Antelope Valley,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - West Carson,Harbor,8,36.49,
2020-03-30,Unincorporated - West Chatsworth,San Fernando Valley,0,0.0,
2020-03-30,Unincorporated - West Puente Valley,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - West Rancho Dominguez,Harbor,0,0.0,
2020-03-30,Unincorporated - West Whittier/Los Nietos,Southeast,0,0.0,
2020-03-30,Unincorporated - Westfield/Academy Hills,South Bay,0,0.0,
2020-03-30,Unincorporated - Westhills,San Fernando Valley,0,0.0,
2020-03-30,Unincorporated - White Fence Farms,Antelope Valley,0,0.0,
2020-03-30,Unincorporated - Whittier,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Whittier Narrows,San Gabriel Valley,0,0.0,
2020-03-30,Unincorporated - Willowbrook,South LA,2,5.78,
2020-03-30,Unincorporated - Wiseburn,South Bay,,,
2020-03-30,City of Long Beach,Harbor,99,21.11,
2020-03-30,City of Pasadena,Verdugos,10,7.08,
2020-03-31,City of Agoura Hills,Santa Monica Mountains,11,51.97,
2020-03-31,City of Alhambra,San Gabriel Valley,13,14.99,
2020-03-31,City of Arcadia,San Gabriel Valley,10,17.55,
2020-03-31,City of Artesia,Southeast,,,
2020-03-31,City of Avalon,Harbor,0,0.0,
2020-03-31,City of Azusa,San Gabriel Valley,5,10.11,
2020-03-31,City of Baldwin Park,San Gabriel Valley,2,2.69,
2020-03-31,City of Bell,Southeast,12,32.79,
2020-03-31,City of Bell Gardens,Southeast,4,9.34,
2020-03-31,City of Bellflower,Southeast,20,26.3,
2020-03-31,City of Beverly Hills,Westside,35,101.0,
2020-03-31,City of Bradbury,San Gabriel Valley,0,0.0,
2020-03-31,City of Burbank,San Fernando Valley,27,25.79,
2020-03-31,City of Calabasas,Santa Monica Mountains,13,53.76,
2020-03-31,City of Carson,Harbor,39,41.61,
2020-03-31,City of Cerritos,Southeast,6,12.18,
2020-03-31,City of Claremont,Pomona Valley,2,5.54,
2020-03-31,City of Commerce,Southeast,,,
2020-03-31,City of Compton,Southeast,16,15.85,
2020-03-31,City of Covina,San Gabriel Valley,7,14.25,
2020-03-31,City of Cudahy,Southeast,,,
2020-03-31,City of Culver City,Westside,15,37.17,
2020-03-31,City of Diamond Bar,San Gabriel Valley,3,5.25,
2020-03-31,City of Downey,Southeast,31,27.24,
2020-03-31,City of Duarte,San Gabriel Valley,,,
2020-03-31,City of El Monte,San Gabriel Valley,4,3.52,
2020-03-31,City of El Segundo,South Bay,,,
2020-03-31,City of Gardena,South Bay,12,19.78,
2020-03-31,City of Glendale,Verdugos,76,37.7,
2020-03-31,City of Glendora,San Gabriel Valley,7,13.4,
2020-03-31,City of Hawaiian Gardens,Harbor,,,
2020-03-31,City of Hawthorne,South Bay,19,21.65,
2020-03-31,City of Hermosa Beach,South Bay,9,45.66,
2020-03-31,City of Hidden Hills,Santa Monica Mountains,0,0.0,
2020-03-31,City of Huntington Park,Southeast,11,18.48,
2020-03-31,City of Industry,San Gabriel Valley,0,0.0,
2020-03-31,City of Inglewood,South Bay,31,26.64,
2020-03-31,City of Irwindale,San Gabriel Valley,0,0.0,
2020-03-31,City of La Canada Flintridge,Verdugos,8,39.04,
2020-03-31,City of La Habra Heights,San Gabriel Valley,0,0.0,
2020-03-31,City of La Mirada,Southeast,8,16.17,
2020-03-31,City of La Puente,San Gabriel Valley,3,7.43,
2020-03-31,City of La Verne,Pomona Valley,2,6.04,
2020-03-31,City of Lakewood,Harbor,16,20.46,
2020-03-31,City of Lancaster,Antelope Valley,31,19.79,
2020-03-31,City of Lawndale,South Bay,6,17.97,
2020-03-31,City of Lomita,South Bay,,,
2020-03-31,City of Long Beach,Harbor,0,0.0,
2020-03-31,City of Lynwood,Southeast,18,24.93,
2020-03-31,City of Malibu,Santa Monica Mountains,,,
2020-03-31,City of Manhattan Beach,South Bay,40,113.73,
2020-03-31,City of Maywood,Southeast,6,21.33,
2020-03-31,City of Monrovia,San Gabriel Valley,5,13.34,
2020-03-31,City of Montebello,Southeast,5,7.85,
2020-03-31,City of Monterey Park,San Gabriel Valley,7,11.45,
2020-03-31,City of Norwalk,Southeast,21,20.03,
2020-03-31,City of Palmdale,Antelope Valley,14,8.77,
2020-03-31,City of Palos Verdes Estates,South Bay,14,102.44,
2020-03-31,City of Paramount,Southeast,8,14.23,
2020-03-31,City of Pasadena,Verdugos,0,0.0,
2020-03-31,City of Pico Rivera,Southeast,9,14.05,
2020-03-31,City of Pomona,Pomona Valley,10,6.44,
2020-03-31,City of Rancho Palos Verdes,South Bay,13,30.3,
2020-03-31,City of Redondo Beach,South Bay,39,56.26,
2020-03-31,City of Rolling Hills,South Bay,0,0.0,
2020-03-31,City of Rolling Hills Estates,South Bay,,,
2020-03-31,City of Rosemead,San Gabriel Valley,2,3.63,
2020-03-31,City of San Dimas,San Gabriel Valley,4,11.76,
2020-03-31,City of San Fernando,San Fernando Valley,,,
2020-03-31,City of San Gabriel,San Gabriel Valley,6,14.88,
2020-03-31,City of San Marino,San Gabriel Valley,,,
2020-03-31,City of Santa Clarita,Northwest County,48,21.88,
2020-03-31,City of Santa Fe Springs,Southeast,,,
2020-03-31,City of Santa Monica,Westside,49,52.46,
2020-03-31,City of Sierra Madre,San Gabriel Valley,,,
2020-03-31,City of Signal Hill,Harbor,,,
2020-03-31,City of South El Monte,San Gabriel Valley,0,0.0,
2020-03-31,City of South Gate,Southeast,19,19.05,
2020-03-31,City of South Pasadena,San Gabriel Valley,6,23.13,
2020-03-31,City of Temple City,San Gabriel Valley,1,2.74,
2020-03-31,City of Torrance,South Bay,53,36.13,
2020-03-31,City of Vernon,Southeast,0,0.0,
2020-03-31,City of Walnut,San Gabriel Valley,3,9.98,
2020-03-31,City of West Covina,San Gabriel Valley,7,6.5,
2020-03-31,City of West Hollywood,Central LA,56,156.43,
2020-03-31,City of Westlake Village,Santa Monica Mountains,,,
2020-03-31,City of Whittier,San Gabriel Valley,12,13.62,
2020-03-31,Los Angeles,,1386,34.35,
