Date,Age,Cases,Cases per 100k,"New cases, 14-day avg per 100k"
2020-04-15,0 to 17,103,4.911788100692609,0.24184254864713958
2020-04-15,18 to 40,3063,94.76324040162537,4.055094121938868
2020-04-15,41 to 65,4421,140.3707744301029,6.853660780168854
2020-04-15,over 65,2318,197.68812353205055,10.045227280424978
2020-04-16,0 to 17,111,5.293286205600774,0.25546748096528826
2020-04-16,18 to 40,3153,97.54766470333816,3.907033464625569
2020-04-16,41 to 65,4564,144.91115460280247,6.654083629720522
2020-04-16,over 65,2430,207.23992242574755,10.008677029556239
2020-04-17,0 to 17,117,5.579409784281896,0.26227994712436264
2020-04-17,18 to 40,3278,101.41492067793925,3.845157369031951
2020-04-17,41 to 65,4776,151.6423475861053,6.615528952929367
2020-04-17,over 65,2587,220.6294976606621,10.234070243246792
2020-04-18,0 to 17,123,5.86553336296302,0.25546748096528826
2020-04-18,18 to 40,3431,106.148441990851,3.6374304766819487
2020-04-18,41 to 65,5044,160.15159154612962,6.540687521511241
2020-04-18,over 65,2759,235.29833167598252,10.410729789112361
2020-04-19,0 to 17,127,6.056282415417101,0.23843631556760242
2020-04-19,18 to 40,3503,108.37598143222124,3.3457288831691807
2020-04-19,41 to 65,5154,163.64419167897543,6.1301936097936505
2020-04-19,over 65,2869,244.67956273229208,10.435096623024855
2020-04-20,0 to 17,194,9.251329044022974,0.4598414657375189
2020-04-20,18 to 40,4113,127.24819058827461,4.51032539666334
2020-04-20,41 to 65,5761,182.9169942302246,7.05550585278137
2020-04-20,over 65,3045,259.68953242238734,10.764048880843502
2020-04-21,0 to 17,240,11.444943147244915,0.5688409242827087
2020-04-21,18 to 40,4593,142.09845353074283,5.1865427270793045
2020-04-21,41 to 65,6333,201.0785149210228,7.803920166962616
2020-04-21,over 65,3229,275.38177346203247,11.361036311699566
2020-04-22,0 to 17,298,14.210804407829103,0.7425588113391046
2020-04-22,18 to 40,5059,156.51558380405572,5.856130475824523
2020-04-22,41 to 65,6886,218.63676831614762,8.427598762113654
2020-04-22,over 65,3410,290.81816274559634,11.641254901693227
2020-04-23,0 to 17,335,15.975233143029362,0.865183202202443
2020-04-23,18 to 40,5435,168.14828977565585,6.505829479557509
2020-04-23,41 to 65,7278,231.08312515319815,8.878915272786585
2020-04-23,over 65,3658,311.96857458163976,12.488002380152336
2020-04-24,0 to 17,366,17.453538299548498,0.9605577284294841
2020-04-24,18 to 40,5751,177.9247128794474,6.925702985371342
2020-04-24,41 to 65,7659,243.18022197696408,9.293945028832548
2020-04-24,over 65,3878,330.7310366942589,13.084989811008398
2020-04-25,0 to 17,378,18.025785456910743,0.97758889382717
