Area,Cases,Case rate,Deaths,Death rate,CF Outbreak,People Vaccinated,Percent Vaccinated
Los Angeles - Crenshaw District,1374,9936,22,159,False,1265,11.7
Los Angeles - Crestview,934,8216,40,352,False,1624,18.5
Los Angeles - Del Rey,1861,6217,21,70,False,3408,14.2
Los Angeles - Downtown,3714,13502,43,156,True,4116,12.8
Los Angeles - Eagle Rock,3510,8866,88,222,False,5570,17.2
Los Angeles - East Hollywood,3066,10469,101,345,False,2426,10.2
Los Angeles - Echo Park,1281,8986,18,126,False,1259,10.5
Los Angeles - El Sereno,6030,14423,90,215,False,4292,13.3
Los Angeles - Elysian Park,487,8526,3,53,False,804,16.9
Los Angeles - Elysian Valley,1254,12329,21,206,False,1053,13.1
Los Angeles - Encino,3171,7020,54,120,False,10133,27.8
Los Angeles - Exposition,342,10283,5,150,False,266,10.3
Los Angeles - Exposition Park,5877,13084,71,158,False,2602,7.4
Los Angeles - Faircrest Heights,225,6250,2,56,False,377,13.1
Los Angeles - Figueroa Park Square,1314,15067,17,195,False,523,8.0
Los Angeles - Florence-Firestone,8987,18942,103,217,False,1812,5.5
Los Angeles - Glassell Park,3313,10483,42,133,False,3816,15.4
Los Angeles - Gramercy Place,1249,11603,20,186,False,1013,11.7
Los Angeles - Granada Hills,6093,10471,156,268,False,9052,18.9
Los Angeles - Green Meadows,3780,17577,41,191,False,848,5.7
Los Angeles - Hancock Park,954,5599,9,53,False,2866,21.4
Los Angeles - Harbor City,2308,7939,31,107,False,2945,13.1
Los Angeles - Harbor Gateway,4624,10606,57,131,False,3236,9.9
Los Angeles - Harbor Pines,158,6559,0,0,False,271,14.4
Los Angeles - Harvard Heights,2486,13784,61,338,False,1221,8.9
Los Angeles - Harvard Park,6823,17986,76,200,False,2158,7.7
Los Angeles - Highland Park,5562,11494,84,174,False,4695,12.7
Los Angeles - Historic Filipinotown,1973,14225,73,526,False,1325,12.1
Los Angeles - Hollywood,5094,7463,56,82,False,5193,8.6
Los Angeles - Hollywood Hills,1371,4658,19,65,False,3493,13.8
Los Angeles - Hyde Park,3498,12256,56,196,False,1991,9.1
Los Angeles - Jefferson Park,1125,13935,10,124,False,572,9.5
Los Angeles - Koreatown,5349,10348,111,215,False,3757,9.0
Los Angeles - Lafayette Square,505,11077,7,154,False,331,9.4
Los Angeles - Lake Balboa,5126,12145,56,133,False,3743,11.5
Los Angeles - Lakeview Terrace,2240,17056,36,274,False,1326,13.2
Los Angeles - Leimert Park,1499,9839,19,125,False,1326,10.7
Los Angeles - Lincoln Heights,4966,15235,142,436,False,2760,11.1
Los Angeles - Little Armenia,1101,13720,73,910,False,577,8.6
Los Angeles - Little Bangladesh,2645,9332,28,99,False,2197,9.6
Los Angeles - Little Tokyo,373,11906,10,319,False,546,19.0
Los Angeles - Longwood,565,13127,6,139,False,376,11.3
Los Angeles - Los Feliz,981,4540,21,97,False,2686,14.5
Los Angeles - Manchester Square,887,10391,10,117,False,641,9.5
Los Angeles - Mandeville Canyon,132,4225,1,32,False,823,31.9
Los Angeles - Mar Vista,1865,4391,27,64,False,5651,16.6
Los Angeles - Marina Peninsula,130,2982,1,23,False,830,22.0
Los Angeles - Melrose,7655,9853,184,237,False,7720,12.3
Los Angeles - Mid-city,1129,7512,35,233,False,1473,12.1
Los Angeles - Miracle Mile,876,4871,14,78,False,2066,13.5
Los Angeles - Mission Hills,4083,16925,112,464,False,2806,14.9
Los Angeles - Mt. Washington,2776,11497,55,228,False,2651,14.0
Los Angeles - North Hills,8877,14417,121,197,False,5984,12.9
Los Angeles - North Hollywood,19554,12914,291,192,False,10549,8.8
Los Angeles - Northridge,7108,10184,132,189,False,9473,16.2
Los Angeles - Pacific Palisades,717,3368,17,80,False,4582,27.1
Los Angeles - Pacoima,16561,21514,186,242,False,5312,9.7
