Area,People Vaccinated,Percent Vaccinated
Los Angeles - Porter Ranch,13223,44.4
Los Angeles - Rancho Park,2600,52.2
Los Angeles - Regent Square,645,29.5
Los Angeles - Reseda,19271,32.1
Los Angeles - Reseda Ranch,1102,30.0
Los Angeles - Reynier Village,1193,36.3
Los Angeles - San Pedro,17133,28.3
Los Angeles - Shadow Hills,1118,29.6
Los Angeles - Sherman Oaks,26451,37.2
Los Angeles - Silverlake,13008,35.4
Los Angeles - South Carthay,3128,37.5
Los Angeles - South Park,4579,17.6
Los Angeles - St Elmo Village,749,21.6
Los Angeles - Studio City,7110,38.2
Los Angeles - Sun Valley,10295,25.8
Los Angeles - Sunland,4883,28.6
Los Angeles - Sycamore Square,162,29.4
Los Angeles - Sylmar,17631,28.5
Los Angeles - Tarzana,10142,40.6
Los Angeles - Temple-Beaudry,7354,23.9
Los Angeles - Thai Town,1771,20.6
Los Angeles - Toluca Lake,2487,32.9
Los Angeles - Toluca Terrace,348,35.6
Los Angeles - Toluca Woods,548,35.1
Los Angeles - Tujunga,6176,27.1
Los Angeles - University Hills,688,24.4
Los Angeles - University Park,4726,20.0
Los Angeles - Valley Glen,5812,24.5
Los Angeles - Valley Village,6530,32.3
Los Angeles - Van Nuys,15182,21.7
Los Angeles - Venice,8802,31.1
Los Angeles - Vermont Knolls,2578,20.4
Los Angeles - Vermont Square,1450,25.6
Los Angeles - Vermont Vista,4466,15.8
Los Angeles - Vernon Central,6252,17.5
Los Angeles - Victoria Park,1601,25.0
Los Angeles - View Heights,965,31.8
Los Angeles - Watts,4762,16.8
Los Angeles - Wellington Square,1036,27.7
Los Angeles - West Adams,6091,28.9
Los Angeles - West Hills,13842,40.8
Los Angeles - West Los Angeles,11071,34.2
Los Angeles - West Vernon,8575,21.8
Los Angeles - Westchester,14297,33.5
Los Angeles - Westlake,8467,18.3
Los Angeles - Westwood,14784,30.5
Los Angeles - Wholesale District,9425,29.5
Los Angeles - Wilmington,8743,21.5
Los Angeles - Wilshire Center,10203,25.8
Los Angeles - Winnetka,12624,31.4
Los Angeles - Woodland Hills,22010,39.4
Unincorporated - Acton,1354,20.0
Unincorporated - Agua Dulce,816,22.4
Unincorporated - Altadena,14144,39.5
Unincorporated - Anaverde,277,22.4
Unincorporated - Angeles National Forest,229,21.3
Unincorporated - Arcadia,2633,41.0
Unincorporated - Athens Village,990,27.2
Unincorporated - Athens-Westmont,6170,19.6
