Area,Cases,Case rate,Deaths,Death rate,CF Outbreak
Los Angeles - Jefferson Park,1157,14332,13,161,False
Los Angeles - Koreatown,5517,10673,122,236,False
Los Angeles - Lafayette Square,531,11647,9,197,False
Los Angeles - Lake Balboa,5341,12655,61,145,False
Los Angeles - Lakeview Terrace,2292,17452,40,305,False
Los Angeles - Leimert Park,1574,10331,22,144,False
Los Angeles - Lincoln Heights,5047,15483,156,479,False
Los Angeles - Little Armenia,1148,14305,83,1034,False
Los Angeles - Little Bangladesh,2737,9657,27,95,False
Los Angeles - Little Tokyo,386,12320,11,351,False
Los Angeles - Longwood,584,13569,9,209,False
Los Angeles - Los Feliz,1030,4767,21,97,False
Los Angeles - Manchester Square,927,10860,11,129,False
Los Angeles - Mandeville Canyon,152,4866,1,32,False
Los Angeles - Mar Vista,2003,4716,35,82,False
Los Angeles - Marina Peninsula,141,3234,2,46,False
Los Angeles - Melrose,8062,10376,204,263,False
Los Angeles - Mid-city,1189,7911,41,273,False
Los Angeles - Miracle Mile,953,5299,15,83,False
Los Angeles - Mission Hills,4278,17733,120,497,False
Los Angeles - Mt. Washington,2825,11700,61,253,False
Los Angeles - North Hills,9236,15000,130,211,False
Los Angeles - North Hollywood,20452,13507,330,218,False
Los Angeles - Northridge,7448,10671,165,236,False
Los Angeles - Pacific Palisades,819,3847,15,70,False
Los Angeles - Pacoima,17045,22142,226,294,False
Los Angeles - Palisades Highlands,146,3796,1,26,False
Los Angeles - Palms,2545,5800,60,137,False
Los Angeles - Panorama City,13371,17769,248,330,False
Los Angeles - Park La Brea,604,4448,1,7,False
Los Angeles - Pico-Union,7039,16823,228,545,False
Los Angeles - Playa Del Rey,109,3411,1,31,False
Los Angeles - Playa Vista,582,5317,8,73,False
Los Angeles - Porter Ranch,2394,6727,33,93,False
Los Angeles - Rancho Park,349,5320,3,46,False
Los Angeles - Regent Square,250,8993,3,108,False
Los Angeles - Reseda,11368,14837,286,373,False
Los Angeles - Reseda Ranch,685,14776,3,65,False
Los Angeles - Reynier Village,263,6220,2,47,False
Los Angeles - San Pedro,7091,9087,106,136,True
Los Angeles - Shadow Hills,383,8622,5,113,False
Los Angeles - Sherman Oaks,5661,6488,104,119,False
Los Angeles - Silverlake,3142,7127,118,268,False
Los Angeles - South Carthay,700,6607,6,57,False
Los Angeles - South Park,7282,19183,105,277,False
Los Angeles - St Elmo Village,696,15183,42,916,False
Los Angeles - Studio City,1350,6016,50,223,False
Los Angeles - Sun Valley,9331,17779,148,282,False
Los Angeles - Sunland,2253,11040,56,274,False
Los Angeles - Sycamore Square,28,4328,2,309,False
Los Angeles - Sylmar,15964,19374,234,284,True
Los Angeles - Tarzana,3272,10597,76,246,False
Los Angeles - Temple-Beaudry,4994,12649,109,276,False
Los Angeles - Thai Town,883,9002,18,184,False
Los Angeles - Toluca Lake,490,5630,4,46,False
Los Angeles - Toluca Terrace,141,10796,7,536,False
Los Angeles - Toluca Woods,100,5382,0,0,False
Los Angeles - Tujunga,2868,10313,65,234,False
Los Angeles - University Hills,269,7845,1,29,False
Los Angeles - University Park,3498,12740,54,197,False
Los Angeles - Valley Glen,3792,12633,64,213,False
Los Angeles - Valley Village,2006,8115,75,303,False
Los Angeles - Van Nuys,14431,15485,312,335,True
Los Angeles - Venice,1614,4763,14,41,False
Los Angeles - Vermont Knolls,2810,16337,54,314,False
Los Angeles - Vermont Square,1462,19094,23,300,False
Los Angeles - Vermont Vista,7415,18004,99,240,False
Los Angeles - Vernon Central,11005,21164,160,308,False
Los Angeles - Victoria Park,1040,12382,11,131,False
Los Angeles - View Heights,218,5901,7,189,False
Los Angeles - Watts,7380,17294,93,218,False
Los Angeles - Wellington Square,566,11516,9,183,False
Los Angeles - West Adams,3937,14249,147,532,False
Los Angeles - West Hills,2969,7323,106,261,False
Los Angeles - West Los Angeles,2348,6239,49,130,False
Los Angeles - West Vernon,10018,18675,184,343,False
Los Angeles - Westchester,2438,4725,48,93,False
Los Angeles - Westlake,7633,12860,297,500,False
Los Angeles - Westwood,2584,4776,25,46,False
Los Angeles - Wholesale District,6290,17410,105,291,True
Los Angeles - Wilmington,8323,14734,91,161,False
Los Angeles - Wilshire Center,5527,11017,125,249,False
Los Angeles - Winnetka,6683,12905,79,153,False
Los Angeles - Woodland Hills,4893,7190,78,115,False
Unincorporated - Acton,463,5809,6,75,False
Unincorporated - Agua Dulce,267,6421,3,72,False
Unincorporated - Altadena,3271,7499,69,158,False
Unincorporated - Anaverde,146,9682,0,0,False
Unincorporated - Angeles National Forest,33,2651,1,80,False
Unincorporated - Arcadia,609,7631,14,175,False
Unincorporated - Athens-Westmont,6224,14665,99,233,False
Unincorporated - Athens Village,1050,21442,30,613,False
Unincorporated - Avocado Heights,1072,15823,13,192,False
Unincorporated - Azusa,2332,14645,36,226,False
Unincorporated - Bassett,2617,17662,45,304,False
Unincorporated - Bouquet Canyon,47,4380,1,93,False
Unincorporated - Bradbury,53,49074,24,22222,False
Unincorporated - Canyon Country,829,10727,3,39,False
Unincorporated - Castaic,3690,13571,17,63,True
Unincorporated - Cerritos,72,12266,1,170,False
Unincorporated - Charter Oak,0,0,0,0,False
Unincorporated - Claremont,41,5840,4,570,False
Unincorporated - Covina,2312,13746,42,250,False
Unincorporated - Covina (Charter Oak),1519,11557,17,129,False
Unincorporated - Del Aire,304,6920,3,68,False
Unincorporated - Del Rey,27,8491,0,0,False
Unincorporated - Del Sur,165,6832,2,83,False
Unincorporated - Desert View Highlands,347,13919,4,160,False
Unincorporated - Duarte,837,18902,9,203,False
Unincorporated - East Covina,34,10334,1,304,False
Unincorporated - East La Mirada,500,9448,7,132,False
Unincorporated - East Lancaster,15,13158,0,0,False
Unincorporated - East Los Angeles,24725,19738,420,335,False
Unincorporated - East Pasadena,214,3342,10,156,False
Unincorporated - East Rancho Dominguez,2755,17997,49,320,False
Unincorporated - East Whittier,458,8632,8,151,False
Unincorporated - El Camino Village,804,9146,14,159,False
Unincorporated - El Monte,24,16552,0,0,False
Unincorporated - Elizabeth Lake,76,4576,1,60,False
Unincorporated - Florence-Firestone,13429,20754,210,325,False
Unincorporated - Franklin Canyon,1,8333,0,0,False
Unincorporated - Glendora,67,10152,3,455,False
Unincorporated - Hacienda Heights,5147,9203,97,173,False
Unincorporated - Harbor Gateway,0,0,0,0,False
Unincorporated - Hawthorne,312,12411,2,80,False
Unincorporated - Hi Vista,43,3916,0,0,False
Unincorporated - Kagel/Lopez Canyons,216,15297,2,142,False
Unincorporated - La Crescenta-Montrose,1081,5459,15,76,False
Unincorporated - La Habra Heights,14,2071,1,148,False
Unincorporated - La Rambla,266,12819,21,1012,False
Unincorporated - La Verne,165,8088,1,49,True
Unincorporated - Ladera Heights,374,5289,9,127,False
Unincorporated - Lake Hughes,41,6138,1,150,False
Unincorporated - Lake Los Angeles,1554,11959,18,139,False
Unincorporated - Lake Manor,127,7730,2,122,False
Unincorporated - Lakewood,0,0,0,0,False
Unincorporated - Lennox,3488,15473,51,226,False
Unincorporated - Leona Valley,110,6282,1,57,False
Unincorporated - Littlerock,530,13181,7,174,False
Unincorporated - Littlerock/Juniper Hills,112,8635,2,154,False
Unincorporated - Littlerock/Pearblossom,523,14654,10,280,False
Unincorporated - Llano,39,4447,1,114,False
Unincorporated - Marina del Rey,368,3910,3,32,False
Unincorporated - Miracle Mile,0,0,0,0,False
Unincorporated - Monrovia,367,9456,0,0,False
Unincorporated - Newhall,68,30909,1,455,False
Unincorporated - North Lancaster,150,12521,2,167,False
Unincorporated - North Whittier,1098,13134,28,335,False
Unincorporated - Northeast San Gabriel,1598,6648,38,158,False
Unincorporated - Padua Hills,9,4186,0,0,False
Unincorporated - Palmdale,109,12945,4,475,False
Unincorporated - Palos Verdes Peninsula,22,3543,0,0,False
Unincorporated - Pearblossom/Llano,115,5879,1,51,False
Unincorporated - Pellissier Village,163,26333,1,162,False
Unincorporated - Placerita Canyon,1,217,0,0,False
Unincorporated - Pomona,62,3199,1,52,False
Unincorporated - Quartz Hill,1175,9104,20,155,False
Unincorporated - Rancho Dominguez,379,14243,5,188,False
Unincorporated - Roosevelt,85,9130,0,0,False
Unincorporated - Rosewood,152,11820,3,233,False
Unincorporated - Rosewood/East Gardena,156,13076,6,503,False
Unincorporated - Rosewood/West Rancho Dominguez,494,14698,12,357,False
Unincorporated - Rowland Heights,3592,7040,74,145,False
Unincorporated - San Clemente Island,0,0,0,0,False
Unincorporated - San Francisquito Canyon/Bouquet Canyon,15,1748,0,0,False
Unincorporated - San Jose Hills,3453,17076,68,336,False
Unincorporated - San Pasqual,38,1867,0,0,False
Unincorporated - Sand Canyon,17,5519,0,0,False
Unincorporated - Santa Catalina Island,164,61423,2,749,False
Unincorporated - Santa Monica Mountains,635,3410,7,38,True
Unincorporated - Saugus,128,82581,0,0,False
Unincorporated - Saugus/Canyon Country,38,10674,1,281,False
Unincorporated - South Antelope Valley,27,5934,0,0,False
Unincorporated - South El Monte,346,19276,5,279,False
Unincorporated - South San Gabriel,932,10533,45,509,False
Unincorporated - South Whittier,8286,13991,146,247,False
Unincorporated - Southeast Antelope Valley,78,9987,0,0,False
Unincorporated - Stevenson Ranch,1123,5356,5,24,False
Unincorporated - Sun Village,928,15374,11,182,False
Unincorporated - Sunrise Village,190,14660,1,77,False
Unincorporated - Twin Lakes/Oat Mountain,90,5428,2,121,False
Unincorporated - Val Verde,334,10094,1,30,False
Unincorporated - Valencia,187,6087,1,33,False
Unincorporated - Valinda,3701,15836,67,287,False
Unincorporated - View Park/Windsor Hills,671,5767,13,112,False
Unincorporated - Walnut Park,3045,18863,53,328,False
Unincorporated - West Antelope Valley,53,3508,1,66,False
Unincorporated - West Carson,2132,9653,128,580,False
Unincorporated - West Chatsworth,2,16667,0,0,False
Unincorporated - West LA,226,23739,17,1786,False
Unincorporated - West Puente Valley,1694,17224,22,224,False
Unincorporated - West Rancho Dominguez,194,14275,5,368,False
Unincorporated - West Whittier/Los Nietos,4173,15499,83,308,False
Unincorporated - Westfield/Academy Hills,41,3154,0,0,False
Unincorporated - Westhills,42,5006,0,0,False
Unincorporated - White Fence Farms,267,7250,2,54,False
Unincorporated - Whittier,308,8140,8,211,False
Unincorporated - Whittier Narrows,13,108333,1,8333,False
Unincorporated - Willowbrook,5943,17022,87,249,False
Unincorporated - Wiseburn,506,8396,11,183,False
