Area,Cases,Case rate,Deaths,Death rate,CF Outbreak
Los Angeles - Faircrest Heights,225,6250.0,2,56.0,False
Los Angeles - Figueroa Park Square,1314,15067.0,17,195.0,False
Los Angeles - Florence-Firestone,8987,18942.0,103,217.0,False
Los Angeles - Glassell Park,3313,10483.0,42,133.0,False
Los Angeles - Gramercy Place,1249,11603.0,20,186.0,False
Los Angeles - Granada Hills,6093,10471.0,156,268.0,False
Los Angeles - Green Meadows,3780,17577.0,41,191.0,False
Los Angeles - Hancock Park,954,5599.0,9,53.0,False
Los Angeles - Harbor City,2308,7939.0,31,107.0,False
Los Angeles - Harbor Gateway,4624,10606.0,57,131.0,False
Los Angeles - Harbor Pines,158,6559.0,0,0.0,False
Los Angeles - Harvard Heights,2486,13784.0,61,338.0,False
Los Angeles - Harvard Park,6823,17986.0,76,200.0,False
Los Angeles - Highland Park,5562,11494.0,84,174.0,False
Los Angeles - Historic Filipinotown,1973,14225.0,73,526.0,False
Los Angeles - Hollywood,5094,7463.0,56,82.0,False
Los Angeles - Hollywood Hills,1371,4658.0,19,65.0,False
Los Angeles - Hyde Park,3498,12256.0,56,196.0,False
Los Angeles - Jefferson Park,1125,13935.0,10,124.0,False
Los Angeles - Koreatown,5349,10348.0,111,215.0,False
Los Angeles - Lafayette Square,505,11077.0,7,154.0,False
Los Angeles - Lake Balboa,5126,12145.0,56,133.0,False
Los Angeles - Lakeview Terrace,2240,17056.0,36,274.0,False
Los Angeles - Leimert Park,1499,9839.0,19,125.0,False
Los Angeles - Lincoln Heights,4966,15235.0,142,436.0,False
Los Angeles - Little Armenia,1101,13720.0,73,910.0,False
Los Angeles - Little Bangladesh,2645,9332.0,28,99.0,False
Los Angeles - Little Tokyo,373,11906.0,10,319.0,False
Los Angeles - Longwood,565,13127.0,6,139.0,False
Los Angeles - Los Feliz,981,4540.0,21,97.0,False
Los Angeles - Manchester Square,887,10391.0,10,117.0,False
Los Angeles - Mandeville Canyon,132,4225.0,1,32.0,False
Los Angeles - Mar Vista,1865,4391.0,27,64.0,False
Los Angeles - Marina Peninsula,130,2982.0,1,23.0,False
Los Angeles - Melrose,7655,9853.0,184,237.0,False
Los Angeles - Mid-city,1129,7512.0,35,233.0,False
Los Angeles - Miracle Mile,876,4871.0,14,78.0,False
Los Angeles - Mission Hills,4083,16925.0,112,464.0,False
Los Angeles - Mt. Washington,2776,11497.0,55,228.0,False
Los Angeles - North Hills,8877,14417.0,121,197.0,False
Los Angeles - North Hollywood,19554,12914.0,291,192.0,False
Los Angeles - Northridge,7108,10184.0,132,189.0,False
Los Angeles - Pacific Palisades,717,3368.0,17,80.0,False
Los Angeles - Pacoima,16561,21514.0,186,242.0,False
Los Angeles - Palisades Highlands,129,3354.0,1,26.0,False
Los Angeles - Palms,2440,5561.0,52,119.0,False
Los Angeles - Panorama City,12865,17096.0,219,291.0,False
Los Angeles - Park La Brea,543,3999.0,1,7.0,False
Los Angeles - Pico-Union,6830,16323.0,185,442.0,False
Los Angeles - Playa Del Rey,100,3129.0,1,31.0,False
Los Angeles - Playa Vista,544,4969.0,6,55.0,False
Los Angeles - Porter Ranch,2269,6376.0,30,84.0,False
Los Angeles - Rancho Park,329,5015.0,2,30.0,False
Los Angeles - Regent Square,229,8237.0,3,108.0,False
Los Angeles - Reseda,10981,14332.0,257,335.0,False
Los Angeles - Reseda Ranch,633,13654.0,3,65.0,False
Los Angeles - Reynier Village,248,5866.0,1,24.0,False
Los Angeles - San Pedro,6649,8520.0,94,120.0,True
Los Angeles - Shadow Hills,365,8217.0,3,68.0,False
Los Angeles - Sherman Oaks,5302,6077.0,78,89.0,False
Los Angeles - Silverlake,3000,6805.0,99,225.0,False
Los Angeles - South Carthay,651,6144.0,6,57.0,False
Los Angeles - South Park,7110,18730.0,88,232.0,False
Los Angeles - St Elmo Village,665,14507.0,33,720.0,False
Los Angeles - Studio City,1219,5432.0,42,187.0,False
Los Angeles - Sun Valley,8931,17017.0,124,236.0,False
Los Angeles - Sunland,2147,10520.0,50,245.0,False
Los Angeles - Sycamore Square,27,4173.0,2,309.0,False
Los Angeles - Sylmar,15362,18644.0,212,257.0,True
Los Angeles - Tarzana,3155,10218.0,68,220.0,False
Los Angeles - Temple-Beaudry,4833,12241.0,104,263.0,False
Los Angeles - Thai Town,829,8451.0,15,153.0,False
Los Angeles - Toluca Lake,457,5250.0,6,69.0,False
Los Angeles - Toluca Terrace,130,9954.0,4,306.0,False
Los Angeles - Toluca Woods,96,5167.0,0,0.0,False
Los Angeles - Tujunga,2663,9576.0,54,194.0,False
Los Angeles - University Hills,258,7524.0,1,29.0,False
Los Angeles - University Park,3271,11914.0,44,160.0,False
Los Angeles - Valley Glen,3619,12057.0,52,173.0,False
Los Angeles - Valley Village,1865,7544.0,52,210.0,False
Los Angeles - Van Nuys,13956,14975.0,278,298.0,True
Los Angeles - Venice,1451,4282.0,13,38.0,False
Los Angeles - Vermont Knolls,2726,15849.0,50,291.0,False
Los Angeles - Vermont Square,1414,18467.0,15,196.0,False
Los Angeles - Vermont Vista,7228,17550.0,77,187.0,False
Los Angeles - Vernon Central,10716,20608.0,135,260.0,False
Los Angeles - Victoria Park,1016,12097.0,11,131.0,False
Los Angeles - View Heights,214,5793.0,5,135.0,False
Los Angeles - Watts,7180,16825.0,81,190.0,False
Los Angeles - Wellington Square,540,10987.0,8,163.0,False
Los Angeles - West Adams,3805,13771.0,123,445.0,False
Los Angeles - West Hills,2821,6958.0,86,212.0,False
Los Angeles - West Los Angeles,2160,5739.0,42,112.0,False
Los Angeles - West Vernon,9764,18201.0,160,298.0,False
Los Angeles - Westchester,2278,4414.0,41,79.0,False
