Setting Name,Address,Total Confirmed Staff,Total Confirmed Non-Staff
Cenveo Worldwide Limited,"705 Baldwin Park Blvd, City of Industry, CA, 91746",26,0
Cerritos Dodge,"18803 Studebaker Rd, Cerritos, CA, 90703",10,0
Certainteed,"1431 W E St, Wilmington, CA, 90744",7,0
Chabalitas Restaurant,"10767 San Fernando Rd, Pacoima, CA, 91331",3,0
"Chevrolet, Felix","3330 S Figueroa St, Los Angeles, CA, 90007",16,0
"Chevrolet, George","17000 Lakewood Blvd, Bellflower, CA, 90706",9,0
Chick-Fil-A Azusa,"900 E Alosta Ave, Azusa, CA, 91702",5,0
Chick-Fil-A Victory & Fallbrook,"6400 Fallbrook Ave, West Hills, CA, 91307",8,0
Chipotle - Baldwin Park,"13916 Garvey Ave, Store 104, Baldwin Park, CA, 91706",12,0
CIMC International Equipment,"10530 Sessler St, South Gate, CA, 90280",12,0
Citibank,"13003 Victory Blvd, North Hollywood, CA, 91606",6,0
Clara Shortridge Foltz Criminal Justice Center,"210 W Temple St, Los Angeles, CA, 90012",7,0
Classic Distributing & Beverage Group,"120 Puente Ave, City of Industry, CA, 91746",17,0
Clementine Foods LLC,"1751 Ensley Ave, Los Angeles, CA, 90024",3,0
Climb Adult Day Care,"171 W Sierra Madre Blvd, Sierra Madre, CA, 91024",13,0
Coast Packing Company,"3275 E Vernon Ave, Vernon, CA, 90058",13,0
Cole Vocational Services,"14028 Pioneer Blvd, Norwalk, CA, 90650",3,1
Comfort Keepers Home Care (Senior Care),"420 W Baseline Rd, Ste D, Claremont, CA, 91711",3,0
Command Packing,"3840 E 26th St, Vernon, CA, 90058",21,0
Commercial Meat Company,"7820 Industry Ave, Pico Rivera, CA, 90660",7,0
Commercial Tenant Improvement Project,"5901 W Sunset Blvd, Los Angeles, CA, 90028",5,0
Compton Fire Department - Fire Station 1,"201 Acacia Avenue, Compton, CA, 90220",7,0
Compu-Aire,"8167 Byron Rd, Whittier, CA, 90606",24,0
Concorde Battery Corp.,"2009 W San Bernardino Rd, West Covina, CA, 91790",23,0
"Consolidated Disposal Services, LLC","14905 S San Pedro St, Gardena, CA, 90248",13,0
Consolidated Precision Product,"4200 Valley Blvd, Walnut, CA, 91789",14,0
Construction Site of Dobkin Construction,"9422 Sierra Mar Dr, Los Angeles, CA, 90069",11,0
Contessa Premium Food,"5970 Alcoa Ave, Vernon, CA, 90058",57,0
Corn Maiden Foods,"24201 Frampton Ave, Harbor City, CA, 90710",14,0
"Cosmetic Lab, Inc.","11933 Woodruff Ave, Downey, CA, 90241",10,0
"Costco Warehouse, Culver City #479","13463 Washington Blvd, Marina Del Rey, CA, 90292",51,0
"Costco Warehouse, Lancaster #762","1141 W Avenue L, Lancaster, CA, 93534",10,0
"Costco Warehouse, Santa Clarita #447","18649 Via Princessa, Santa Clarita, CA, 91387",10,0
"Costco Warehouse, Van Nuys #48","6100 Sepulveda Blvd, Van Nuys, CA, 91411",32,0
"Costco Warehouse, Woodland Hills #1205","21800 Victory Blvd, Woodland Hills, CA, 91367",38,0
Covina Police Department,"444 N Citrus Ave, Covina, CA, 91723",15,0
CR Creative Services,"1400 Calzona St, Los Angeles, CA, 90023",29,0
CR Laurence (CRL),"2100 E 38th St, Vernon, CA, 90058",5,0
CrossFit Whittier,"12217 Philadelphia St, Whittier, CA, 90601",4,1
Crothall Healthcare Laundry and Linen Services,"14710 Northam St, La Mirada, CA, 90638",5,0
Curacao #1,"1605 W Olympic Blvd, Suite 588, Los Angeles, CA, 90015",12,0
Curacao #2,"8401 Van Nuys Blvd, Ste 63, Panorama City, CA, 91402",6,0
Curtis Wright Aerospace Manufacturing,"28965 Avenue Penn, Valencia, CA, 91355",10,0
CVS - Workman St,"2419 Workman St, Los Angeles, CA, 90031",9,0
"CW Cole (DBA, Cole Lighting)","2560 Rosemead Blvd, South El Monte, CA, 91733",9,0
"Day-Lee Foods, Inc.","13055 Molette St, Santa Fe Springs, CA, 90670",32,0
Dependable Highway Express,"800 E 230th St, Carson, CA, 90745",12,0
DHL Global Mail,"3963 Workman Mill Rd, Unit A, Whittier, CA, 90601",13,0
Dimetri Gardikas,"14811 Marquardt Ave, Santa Fe Springs, CA, 90670",26,0
"Dodge Chrysler Jeep Ram, Glenn E Thomas","2100 E Spring St, Signal Hill, CA, 90755",7,0
"Dodge Chrysler Jeep Ram, Hunter","1130 Auto Mall Dr, Lancaster, CA, 93534",5,0
"Dodge Chrysler Jeep Ram, Rydell","700 San Fernando Rd, San Fernando, CA, 91340",11,0
Downey Fire Department - Fire Station 3,"9900 Paramount Blvd, Downey, CA, 90240",4,0
"Dytran Instruments, Inc.","21592 Marilla St, Chatsworth, CA, 91311",7,0
Edgemine,"1801 E 50th St, Los Angeles, CA, 90058",13,0
EDIC,"1753 Blake Ave, Los Angeles, CA, 90031",10,0
EJ Lauren,"9400 Hall Rd, Downey, CA, 90241",11,0
El Monte Police Department,"11333 Valley Blvd, El Monte, CA, 91731",12,0
Emanate Business Services,"1325 N Grand Ave, Covina, CA, 91724",4,0
Environmental Health and Safety,"3271 East 19th St, Signal Hill, CA, 90755",3,0
Everson Spice,"2667 Gundry Ave, Signal Hill, CA, 90755",8,0
Evolution Productions - Reality TV Show,"3310 W Vanowen St, Burbank, CA, 91505",3,0
Fairmont Miramar Hotel & Bungalows,"101 Wilshire Blvd, Santa Monica, CA, 90401",4,0
Farmer Boys Restaurant,"43408 10th St W, Lancaster, CA, 93534",6,0
"Fashion Nova Logistics, Inc.","12588 Lakeland Rd, Santa Fe Springs, CA, 90670",129,0
FedEx Freight,"4500 Bandini Blvd, Vernon, CA, 90058",12,0
FedEx Ground Arcadia,"12369 Lower Azusa Rd, Arcadia, CA, 91006",58,0
FedEx Ground Carson,"1725 Charles Willard St, Carson, CA, 90746",21,0
FedEx Ground City of Industry,"200 Old Ranch Rd, City of Industry, CA, 91789",44,0
FedEx Ground Pacoima,"12500 Branford St, Pacoima, CA, 91331",31,0
Fleetwood-Fibre Packaging and Graphics,"15250 Don Julian Rd, City of Industry, CA, 91745",7,0
"Flexco, Inc.","6855 Suva St, Bell Gardens, CA, 90201",4,0
"Flores Design Fine Furniture, Inc.","4618 Pacific Blvd, Vernon, CA, 90058",50,0
