Area,Region,Population,CF Outbreak,Cases,Case rate,"New cases, 14-day avg","New cases, 14-day avg per 100k",Deaths,Death rate
City of Walnut,San Gabriel,30532.0,False,1801,5899,1.64,5.43,38,124
City of West Covina,San Gabriel,108235.0,False,13156,12155,11.64,10.79,267,247
City of West Hollywood,San Fernando,36951.0,False,2622,7096,14.86,40.21,39,106
City of Westlake Village,San Fernando,8360.0,False,123,1471,0.43,5.07,1,12
City of Whittier,East,87432.0,False,11318,12945,6.79,7.79,246,281
Los Angeles - Adams-Normandie,South,8202.0,False,1220,14874,0.64,7.79,18,219
Los Angeles - Alsace,West,12445.0,False,1634,13130,2.0,16.07,19,153
Los Angeles - Angeles National Forest,San Fernando,40.0,False,5,12500,0.0,0.0,0,0
Los Angeles - Angelino Heights,Metro,2502.0,False,301,12030,0.5,19.93,6,240
Los Angeles - Arleta,San Fernando,34370.0,False,7171,20864,3.36,9.79,115,335
Los Angeles - Atwater Village,Metro,14666.0,False,1457,9935,1.64,11.21,27,184
Los Angeles - Baldwin Hills,West,31125.0,False,2882,9259,6.57,21.07,65,209
Los Angeles - Bel Air,West,8429.0,False,436,5173,1.79,21.21,2,24
Los Angeles - Beverly Crest,San Fernando,12525.0,False,711,5677,2.79,22.29,5,40
Los Angeles - Beverlywood,West,13173.0,False,992,7531,2.57,19.57,2,15
Los Angeles - Boyle Heights,Metro,86884.0,True,17656,20321,6.5,7.43,308,354
Los Angeles - Brentwood,West,30955.0,False,1678,5421,4.93,15.93,17,55
Los Angeles - Brookside,Metro,581.0,False,35,6024,0.14,24.57,2,344
Los Angeles - Cadillac-Corning,Metro,7121.0,False,738,10364,0.93,13.07,10,140
Los Angeles - Canoga Park,San Fernando,65289.0,False,9626,14744,6.43,9.86,170,260
Los Angeles - Carthay,Metro,14363.0,False,1019,7095,3.43,23.93,75,522
Los Angeles - Central,South,38992.0,False,7712,19778,3.0,7.64,132,339
Los Angeles - Century City,West,12792.0,False,674,5269,1.93,15.07,14,109
Los Angeles - Century Palms/Cove,South,33766.0,False,6393,18933,4.57,13.5,98,290
Los Angeles - Chatsworth,San Fernando,37061.0,False,3812,10286,5.64,15.21,80,216
Los Angeles - Cheviot Hills,West,9171.0,False,489,5332,1.57,17.14,7,76
Los Angeles - Chinatown,Metro,8021.0,False,760,9475,1.21,15.14,15,187
Los Angeles - Cloverdale/Cochran,Metro,14553.0,False,1658,11393,2.64,18.14,23,158
Los Angeles - Country Club Park,Metro,15153.0,False,1589,10486,1.5,9.86,80,528
Los Angeles - Crenshaw District,South,13829.0,False,1527,11042,2.86,20.64,29,210
Los Angeles - Crestview,Metro,11368.0,False,1071,9421,2.0,17.57,46,405
Los Angeles - Del Rey,West,29936.0,False,2136,7135,6.07,20.29,33,110
Los Angeles - Downtown,Metro,27507.0,True,4358,15843,13.71,49.86,53,193
Los Angeles - Eagle Rock,San Fernando,39589.0,False,3764,9508,3.57,9.07,112,283
Los Angeles - East Hollywood,Metro,29287.0,False,3341,11408,2.79,9.5,114,389
Los Angeles - Echo Park,Metro,14256.0,False,1388,9736,2.21,15.5,21,147
Los Angeles - El Sereno,San Gabriel,41808.0,False,6320,15117,4.07,9.79,112,268
Los Angeles - Elysian Park,Metro,5712.0,False,531,9296,0.86,15.0,4,70
Los Angeles - Elysian Valley,Metro,10171.0,False,1325,13027,0.57,5.57,27,265
Los Angeles - Encino,San Fernando,45172.0,False,3632,8040,9.14,20.21,63,139
Los Angeles - Exposition,West,3326.0,False,376,11305,0.57,17.21,7,210
Los Angeles - Exposition Park,South,44917.0,False,6372,14186,6.71,14.93,86,191
Los Angeles - Faircrest Heights,Metro,3600.0,False,290,8056,0.93,25.86,3,83
Los Angeles - Figueroa Park Square,South,8721.0,False,1389,15927,1.64,18.86,25,287
Los Angeles - Florence-Firestone,South,47445.0,False,9413,19840,4.36,9.21,121,255
Los Angeles - Glassell Park,Metro,31604.0,False,3506,11094,3.07,9.79,52,165
Los Angeles - Gramercy Place,South Bay,10764.0,False,1397,12978,2.86,26.5,25,232
Los Angeles - Granada Hills,San Fernando,58191.0,False,6814,11710,10.79,18.57,188,323
Los Angeles - Green Meadows,South,21505.0,False,4046,18814,3.14,14.57,54,251
Los Angeles - Hancock Park,Metro,17039.0,False,1119,6567,3.21,18.86,7,41
Los Angeles - Harbor City,South Bay,29070.0,False,2652,9123,5.21,17.93,34,117
