Area,Region,Population,CF Outbreak,Cases,Case rate,"New cases, 14-day avg","New cases, 14-day avg per 100k",Deaths,Death rate
Unincorporated - Twin Lakes/Oat Mountain,San Fernando,1658.0,False,99,5971,0.14,8.64,3,181
Unincorporated - Val Verde,San Fernando,3309.0,False,345,10426,0.36,10.79,1,30
Unincorporated - Valencia,San Fernando,3072.0,False,208,6771,0.5,16.29,1,33
Unincorporated - Valinda,San Gabriel,23371.0,False,3817,16332,2.21,9.43,71,304
Unincorporated - View Park/Windsor Hills,West,11635.0,False,748,6429,2.14,18.43,15,129
Unincorporated - Walnut Park,East,16143.0,False,3103,19222,1.36,8.43,53,328
Unincorporated - West Antelope Valley,Antelope Valley,1511.0,False,58,3839,0.0,0.0,1,66
Unincorporated - West Carson,South Bay,22086.0,False,2331,10554,3.14,14.21,139,629
Unincorporated - West Chatsworth,San Fernando,12.0,False,3,25000,0.07,595.21,0,0
Unincorporated - West LA,West,952.0,False,194,20378,-2.93,-307.64,17,1786
Unincorporated - West Puente Valley,San Gabriel,9835.0,False,1729,17580,0.14,1.43,24,244
Unincorporated - West Rancho Dominguez,South,1359.0,False,205,15085,0.29,21.07,5,368
Unincorporated - West Whittier/Los Nietos,East,26925.0,False,4279,15892,1.71,6.36,84,312
Unincorporated - Westfield/Academy Hills,South Bay,1300.0,False,46,3538,0.14,10.93,0,0
Unincorporated - Westhills,San Fernando,839.0,False,47,5602,0.14,17.0,0,0
Unincorporated - White Fence Farms,Antelope Valley,3683.0,False,288,7820,0.29,7.79,2,54
Unincorporated - Whittier,San Gabriel,3784.0,False,325,8589,0.29,7.57,9,238
Unincorporated - Whittier Narrows,San Gabriel,12.0,False,25,208333,0.64,5357.14,1,8333
Unincorporated - Willowbrook,South,34913.0,False,6254,17913,6.86,19.64,93,266
Unincorporated - Wiseburn,South Bay,6027.0,False,535,8877,0.79,13.07,12,199
