Area,"New cases, 14-day avg","New cases, 14-day avg per 100k","Adjusted new cases, 14-day avg",Unstable adjusted case rate,Population
Los Angeles - El Sereno,61.57,147.29,144.93,False,41808
Los Angeles - Elysian Park,5.57,97.57,94.0,False,5712
Los Angeles - Elysian Valley,12.71,125.0,123.79,False,10171
Los Angeles - Encino,28.57,63.29,66.14,False,45172
Los Angeles - Exposition,3.14,94.5,90.43,False,3326
Los Angeles - Exposition Park,57.21,127.36,132.5,False,44917
Los Angeles - Faircrest Heights,2.93,81.36,81.36,False,3600
Los Angeles - Figueroa Park Square,14.0,160.5,160.79,False,8721
Los Angeles - Florence-Firestone,83.0,174.93,177.21,False,47445
Los Angeles - Glassell Park,39.86,126.14,125.93,False,31604
Los Angeles - Gramercy Place,14.5,134.71,139.36,False,10764
Los Angeles - Granada Hills,65.79,113.07,111.93,False,58191
Los Angeles - Green Meadows,39.21,182.36,183.0,False,21505
Los Angeles - Hancock Park,9.71,57.0,60.57,False,17039
Los Angeles - Harbor City,24.86,85.5,86.29,False,29070
Los Angeles - Harbor Gateway,50.79,116.5,115.07,False,43600
Los Angeles - Harbor Pines,1.36,56.36,52.29,True,2409
Los Angeles - Harvard Heights,25.5,141.36,139.64,False,18035
Los Angeles - Harvard Park,72.21,190.36,186.64,False,37935
Los Angeles - Highland Park,58.29,120.43,118.79,False,48391
Los Angeles - Historic Filipinotown,16.0,115.36,111.71,False,13870
Los Angeles - Hollywood,52.5,76.93,76.36,False,68254
Los Angeles - Hollywood Hills,11.79,40.07,46.21,False,29434
Los Angeles - Hyde Park,41.36,144.93,146.5,False,28541
Los Angeles - Jefferson Park,10.43,129.14,132.29,False,8073
Los Angeles - Koreatown,57.93,112.07,111.43,False,51693
Los Angeles - Lafayette Square,6.57,144.14,142.0,False,4559
Los Angeles - Lake Balboa,53.21,126.07,125.93,False,42206
Los Angeles - Lakeview Terrace,23.43,178.43,174.86,False,13133
Los Angeles - Leimert Park,16.0,105.0,106.64,False,15235
Los Angeles - Lincoln Heights,52.43,160.86,158.93,False,32597
Los Angeles - Little Armenia,9.71,121.07,121.57,False,8025
Los Angeles - Little Bangladesh,32.71,115.43,117.29,False,28343
Los Angeles - Little Tokyo,3.57,114.0,155.79,False,3133
Los Angeles - Longwood,5.21,121.14,117.64,False,4304
Los Angeles - Los Feliz,9.93,45.93,50.71,False,21608
Los Angeles - Manchester Square,9.29,108.79,120.0,False,8536
Los Angeles - Mandeville Canyon,1.21,38.86,46.79,True,3124
Los Angeles - Mar Vista,20.21,47.57,48.86,False,42471
Los Angeles - Marina Peninsula,1.43,32.79,34.86,False,4360
Los Angeles - Melrose,76.21,98.07,98.86,False,77696
Los Angeles - Mid-city,11.07,73.64,76.64,False,15030
Los Angeles - Miracle Mile,9.57,53.21,54.5,False,17985
Los Angeles - Mission Hills,36.79,152.5,151.71,False,24124
Los Angeles - Mt. Washington,30.0,124.21,124.57,False,24145
Los Angeles - North Hills,91.29,148.29,146.0,False,61575
Los Angeles - North Hollywood,205.07,135.43,132.57,False,151421
Los Angeles - Northridge,76.07,109.0,111.5,False,69797
Los Angeles - Pacific Palisades,5.36,25.14,32.64,False,21291
Los Angeles - Pacoima,170.5,221.5,218.86,False,76979
Los Angeles - Palisades Highlands,0.93,24.14,21.36,True,3846
Los Angeles - Palms,35.07,79.93,89.0,False,43877
Los Angeles - Panorama City,127.86,169.93,169.0,False,75250
Los Angeles - Park La Brea,5.29,38.93,32.93,False,13580
Los Angeles - Pico-Union,67.86,162.14,161.57,False,41842
