Area,Region,Cases,Case Rate,Deaths,Death Rate,CF Outbreak
Los Angeles - East Hollywood,Central LA,599,2045,43,147,False
Los Angeles - Echo Park,Central LA,239,1676,4,28,False
Los Angeles - El Sereno,Eastside,1197,2863,32,77,False
Los Angeles - Elysian Park,Central LA,95,1663,0,0,False
Los Angeles - Elysian Valley,Northeast LA,254,2497,3,29,False
Los Angeles - Encino,San Fernando Valley,574,1271,18,40,False
Los Angeles - Exposition,South LA,78,2345,2,60,False
Los Angeles - Exposition Park,South LA,1296,2885,23,51,False
Los Angeles - Faircrest Heights,Central LA,32,889,2,56,False
Los Angeles - Figueroa Park Square,South LA,312,3578,4,46,False
Los Angeles - Florence-Firestone,South LA,2248,4738,27,57,False
Los Angeles - Glassell Park,Northeast LA,677,2142,13,41,False
Los Angeles - Gramercy Place,South LA,237,2202,4,37,False
Los Angeles - Granada Hills,San Fernando Valley,1155,1985,64,110,False
Los Angeles - Green Meadows,South LA,929,4320,13,60,False
Los Angeles - Hancock Park,Central LA,222,1303,3,18,False
Los Angeles - Harbor City,Harbor,482,1658,11,38,False
Los Angeles - Harbor Gateway,Harbor,965,2213,13,30,False
Los Angeles - Harbor Pines,Harbor,20,830,0,0,False
Los Angeles - Harvard Heights,Central LA,550,3050,24,133,False
Los Angeles - Harvard Park,South LA,1591,4194,23,61,False
Los Angeles - Highland Park,Northeast LA,1070,2211,19,39,False
Los Angeles - Historic Filipinotown,Central LA,426,3071,15,108,False
Los Angeles - Hollywood,Central LA,1167,1710,14,21,False
Los Angeles - Hollywood Hills,Central LA,283,961,7,24,False
Los Angeles - Hyde Park,South LA,782,2740,14,49,False
Los Angeles - Jefferson Park,South LA,252,3122,0,0,False
Los Angeles - Koreatown,Central LA,1133,2192,30,58,False
Los Angeles - Lafayette Square,Central LA,81,1777,3,66,False
Los Angeles - Lake Balboa,San Fernando Valley,988,2341,19,45,False
Los Angeles - Lakeview Terrace,San Fernando Valley,533,4058,23,175,False
Los Angeles - Leimert Park,South LA,307,2015,7,46,False
Los Angeles - Lincoln Heights,Eastside,1052,3227,47,144,False
Los Angeles - Little Armenia,Central LA,390,4860,51,636,False
Los Angeles - Little Bangladesh,Central LA,479,1690,5,18,False
Los Angeles - Little Tokyo,Central LA,85,2713,2,64,False
Los Angeles - Longwood,Central LA,112,2602,0,0,False
Los Angeles - Los Feliz,Central LA,203,939,2,9,False
Los Angeles - Manchester Square,South LA,190,2226,4,47,False
Los Angeles - Mandeville Canyon,Westside,26,832,0,0,False
Los Angeles - Mar Vista,Westside,308,725,6,14,False
Los Angeles - Marina Peninsula,Westside,34,780,0,0,False
Los Angeles - Melrose,Central LA,1864,2399,70,90,False
Los Angeles - Mid-city,Central LA,279,1856,24,160,False
Los Angeles - Miracle Mile,Central LA,169,940,6,33,False
Los Angeles - Mission Hills,San Fernando Valley,751,3113,36,149,False
Los Angeles - Mt. Washington,Northeast LA,542,2245,16,66,False
Los Angeles - North Hills,San Fernando Valley,1776,2884,44,71,False
Los Angeles - North Hollywood,San Fernando Valley,3722,2458,67,44,False
Los Angeles - Northridge,San Fernando Valley,1373,1967,43,62,False
Los Angeles - Pacific Palisades,Westside,123,578,4,19,False
Los Angeles - Pacoima,San Fernando Valley,3358,4362,49,64,False
Los Angeles - Palisades Highlands,Westside,28,728,0,0,False
Los Angeles - Palms,Westside,532,1212,30,68,False
Los Angeles - Panorama City,San Fernando Valley,2811,3736,88,117,False
Los Angeles - Park La Brea,Central LA,104,766,1,7,False
Los Angeles - Pico-Union,Central LA,1748,4178,93,222,False
Los Angeles - Playa Del Rey,South Bay,27,845,0,0,False
Los Angeles - Playa Vista,Westside,137,1251,0,0,False
Los Angeles - Porter Ranch,San Fernando Valley,352,989,6,17,False
Los Angeles - Rancho Park,Westside,87,1326,0,0,False
Los Angeles - Regent Square,Central LA,30,1079,0,0,False
Los Angeles - Reseda,San Fernando Valley,2098,2738,79,103,False
Los Angeles - Reseda Ranch,San Fernando Valley,111,2394,0,0,False
Los Angeles - Reynier Village,Central LA,39,922,0,0,False
Los Angeles - San Pedro,Harbor,1921,2462,27,35,True
Los Angeles - Shadow Hills,San Fernando Valley,61,1373,0,0,False
Los Angeles - Sherman Oaks,San Fernando Valley,1018,1167,27,31,False
Los Angeles - Silverlake,Central LA,612,1388,19,43,False
Los Angeles - South Carthay,Central LA,111,1048,2,19,False
Los Angeles - South Park,South LA,2005,5282,28,74,False
Los Angeles - St Elmo Village,Central LA,140,3054,8,175,False
Los Angeles - Studio City,San Fernando Valley,238,1061,9,40,False
Los Angeles - Sun Valley,San Fernando Valley,1589,3028,29,55,False
Los Angeles - Sunland,Verdugos,434,2127,29,142,False
Los Angeles - Sycamore Square,Central LA,7,1082,0,0,False
Los Angeles - Sylmar,San Fernando Valley,3175,3853,82,100,True
Los Angeles - Tarzana,San Fernando Valley,630,2040,37,120,False
Los Angeles - Temple-Beaudry,Central LA,1213,3072,27,68,False
Los Angeles - Thai Town,Central LA,157,1601,1,10,False
Los Angeles - Toluca Lake,San Fernando Valley,99,1137,0,0,False
Los Angeles - Toluca Terrace,San Fernando Valley,23,1761,1,77,False
Los Angeles - Toluca Woods,San Fernando Valley,18,969,0,0,False
Los Angeles - Tujunga,Verdugos,491,1766,14,50,False
Los Angeles - University Hills,Eastside,52,1516,1,29,False
Los Angeles - University Park,South LA,1075,3915,19,69,False
Los Angeles - Valley Glen,San Fernando Valley,617,2056,21,70,False
Los Angeles - Valley Village,San Fernando Valley,499,2019,25,101,False
Los Angeles - Van Nuys,San Fernando Valley,2878,3088,85,91,False
Los Angeles - Venice,Westside,287,847,3,9,False
Los Angeles - Vermont Knolls,South LA,712,4140,14,81,False
Los Angeles - Vermont Square,South LA,334,4362,3,39,False
Los Angeles - Vermont Vista,South LA,1890,4589,26,63,False
Los Angeles - Vernon Central,South LA,2927,5629,41,79,False
Los Angeles - Victoria Park,Central LA,208,2476,4,48,False
Los Angeles - View Heights,South LA,45,1218,3,81,False
Los Angeles - Watts,South LA,1905,4464,29,68,False
Los Angeles - Wellington Square,Central LA,119,2421,0,0,False
Los Angeles - West Adams,South LA,871,3152,39,141,False
Los Angeles - West Hills,San Fernando Valley,522,1287,29,72,False
Los Angeles - West Los Angeles,Westside,492,1307,15,40,False
Los Angeles - West Vernon,South LA,2306,4299,50,93,False
Los Angeles - Westchester,South Bay,411,796,15,29,False
Los Angeles - Westlake,Central LA,2358,3973,139,234,False
Los Angeles - Westwood,Westside,366,676,6,11,False
Los Angeles - Wholesale District,Central LA,2346,6493,26,72,True
Los Angeles - Wilmington,Harbor,1734,3070,19,34,False
Los Angeles - Wilshire Center,Central LA,1083,2159,36,72,False
Los Angeles - Winnetka,San Fernando Valley,1211,2338,18,35,False
Los Angeles - Woodland Hills,San Fernando Valley,864,1270,31,46,False
Unincorporated - Acton,Antelope Valley,67,841,2,25,False
Unincorporated - Agua Dulce,Northwest County,26,625,0,0,False
Unincorporated - Altadena,Verdugos,679,1557,13,30,False
