Region,Change in Date,Change in Cases
Angeles Forest,7,5
Antelope Valley,7,597
Central LA,7,1307
Eastside,7,941
Harbor,7,1576
Northeast LA,7,244
Northwest County,7,268
Pomona Valley,7,576
San Fernando Valley,7,3095
San Gabriel Valley,7,2468
Santa Monica Mountains,7,38
South Bay,7,759
South LA,7,2474
Southeast,7,2871
Verdugos,7,517
Westside,7,288
Angeles Forest,14,8
Antelope Valley,14,1200
Central LA,14,2866
Eastside,14,2073
Harbor,14,3335
Northeast LA,14,509
Northwest County,14,521
Pomona Valley,14,1253
San Fernando Valley,14,6122
San Gabriel Valley,14,5592
Santa Monica Mountains,14,91
South Bay,14,1779
South LA,14,5393
Southeast,14,6820
Verdugos,14,1079
Westside,14,778
Angeles Forest,30,14
Antelope Valley,30,2379
Central LA,30,5932
Eastside,30,4073
Harbor,30,7065
Northeast LA,30,964
Northwest County,30,1150
Pomona Valley,30,2311
San Fernando Valley,30,10833
San Gabriel Valley,30,12247
Santa Monica Mountains,30,197
South Bay,30,3648
South LA,30,10660
Southeast,30,14815
Verdugos,30,2027
Westside,30,1794
